match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_accurateCross,stat_blockedScoringAttempt,stat_wonTackle,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_fouls,stat_wonContest,stat_hitWoodwork,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goals,stat_lastManTackle
11369925,home,Royal Antwerp FC,Jean Butez,jean-butez,J. Butez,G,1,188,1350,M,599114,EUR,802569600,G,1,1,False,33.0,20.0,23.0,10.0,15.0,17.0,5.0,16.0,5.0,1.0,1.0,2.0,90.0,40.0,6.1,13.0,0.00201793,0,-0.4324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369925,home,Royal Antwerp FC,Ritchie De Laet,ritchie-de-laet,R. De Laet,D,,186,92,M,30420,EUR,596678400,D,2,2,False,62.0,55.0,4.0,1.0,30.0,32.0,25.0,30.0,3.0,,,,58.0,72.0,6.6,10.0,0.0221844,0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369925,home,Royal Antwerp FC,Toby Alderweireld,toby-alderweireld,T. Alderweireld,D,,186,1445,M,44575,EUR,604800000,D,23,23,False,85.0,75.0,18.0,15.0,41.0,43.0,34.0,43.0,8.0,,,,90.0,102.0,8.5,13.0,0.280984,1,,,,5.0,1.0,2.0,2.0,True,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.1229,1.0,,,,,,,,,,,,,,,
11369925,home,Royal Antwerp FC,Soumaila Coulibaly,soumaila-coulibaly,S. Coulibaly,D,44,190,1098,M,1001858,EUR,1066089600,D,44,44,False,62.0,55.0,8.0,4.0,38.0,44.0,18.0,19.0,8.0,,,,90.0,79.0,7.3,8.0,0.0695244,1,,,,6.0,2.0,2.0,,,,1.0,,1.0,,,,,2.0,,1.0,3.0,0.0308,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11369925,home,Royal Antwerp FC,Owen Wijndal,owen-wijndal,O. Wijndal,D,5,174,794,M,836673,EUR,943747200,D,5,5,False,19.0,17.0,1.0,,9.0,9.0,8.0,11.0,1.0,,,,39.0,26.0,6.5,3.0,0.00406893,0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,
11369925,home,Royal Antwerp FC,Arthur Vermeeren,arthur-vermeeren,A. Vermeeren,M,18,180,4699,M,1149127,EUR,1107734400,M,48,48,False,46.0,42.0,4.0,3.0,10.0,10.0,32.0,38.0,3.0,,,,90.0,60.0,6.8,10.0,0.0507518,0,,Arthur Vermeeren,,1.0,,1.0,,,,2.0,,,3.0,,,,1.0,,,,,,,,1.0,arthurvermeeren,1.0,1.0,1.0,,,,,,,,
11369925,home,Royal Antwerp FC,Mandela Keita,mandela-keita,M. Keita,M,16,180,1237,M,1110136,EUR,1020988800,M,27,27,False,59.0,56.0,7.0,6.0,17.0,17.0,39.0,42.0,6.0,,,,90.0,75.0,7.7,4.0,0.0380238,1,,Mandela Keita,,6.0,2.0,2.0,1.0,,,,1.0,,3.0,1.0,,1.0,,,,2.0,0.0265,,,,1.0,,,2.0,1.0,2.0,1.0,,,,,,
11369925,home,Royal Antwerp FC,Gyrano Kerk,gyrano-kerk,G. Kerk,M,7,175,505,M,386950,EUR,817862400,M,7,7,False,20.0,13.0,1.0,,2.0,3.0,12.0,19.0,2.0,,,,59.0,40.0,6.6,15.0,0.0795925,2,,,,7.0,,3.0,3.0,,,2.0,1.0,3.0,6.0,1.0,,1.0,,,,,0.5561,2.0,1.0,,,,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,0.8669,,
11369925,home,Royal Antwerp FC,Jürgen Ekkelenkamp,jurgen-ekkelenkamp,J. Ekkelenkamp,M,32,188,1195,M,904887,EUR,954892800,M,24,24,False,32.0,27.0,1.0,1.0,6.0,9.0,21.0,25.0,1.0,,,,87.0,51.0,6.8,13.0,0.164342,4,,,,6.0,,2.0,4.0,,,2.0,1.0,2.0,4.0,,,3.0,,,,1.0,0.8834,1.0,,,,,,3.0,1.0,1.0,,2.0,1.0,,0.0984,,
11369925,home,Royal Antwerp FC,Chidera Ejuke,chidera-ejuke,C. Ejuke,M,21,176,3126,M,875890,EUR,883699200,M,19,19,False,66.0,60.0,6.0,6.0,10.0,10.0,53.0,64.0,6.0,,,,90.0,98.0,8.0,22.0,0.495839,1,,,,5.0,,,6.0,,,8.0,2.0,,7.0,,1.0,1.0,1.0,,,,0.098,5.0,3.0,,,,2.0,7.0,1.0,5.0,,,,,,,
