match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_fouls,stat_totalOffside,stat_aerialWon,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_blockedScoringAttempt,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_lastManTackle,stat_clearanceOffLine,player_sofascoreId,stat_bigChanceMissed
12117333,home,Cuiabá,Walter,walter,Walter,G,22,188.0,774,M,329055,EUR,564192000.0,G,1,1,False,True,24.0,18.0,14.0,8.0,0.0,17.0,19.0,1.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,33.0,6.3,7.0,0.00273558,0,-0.7966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117333,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188.0,291,M,953736,EUR,923443200.0,D,2,2,False,,47.0,45.0,2.0,2.0,0.0,26.0,28.0,21.0,21.0,3.0,6.0,,,,,,89.0,65.0,6.8,4.0,0.17069,0,,,,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12117333,home,Cuiabá,Marllon,marllon,Marllon,D,3,184.0,365,M,221206,EUR,703382400.0,D,4,4,False,,36.0,32.0,9.0,6.0,0.0,24.0,26.0,8.0,10.0,5.0,1.0,,,,,,90.0,44.0,6.6,4.0,0.00263686,0,,,,,,,1.0,2.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12117333,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186.0,199,M,373740,EUR,763257600.0,D,33,33,False,,46.0,38.0,13.0,7.0,0.0,26.0,28.0,12.0,19.0,3.0,4.0,,,,,,90.0,60.0,7.0,12.0,0.00898583,1,,,,1.0,,,2.0,3.0,1.0,2.0,2.0,,,,,,1.0,1.0,2.0,1.0,2.0,0.0788,,,,,,,,,,
12117333,home,Cuiabá,Ramon,ramon,Ramon,D,13,176.0,862,M,980761,EUR,984441600.0,D,23,23,False,,42.0,38.0,,,0.0,22.0,23.0,17.0,21.0,1.0,7.0,,,,,,90.0,62.0,6.6,9.0,0.0576054,0,,,,2.0,1.0,,5.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
12117333,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178.0,655,M,931479,EUR,787708800.0,M,88,88,False,,38.0,29.0,2.0,,0.0,18.0,21.0,12.0,21.0,,7.0,,1.0,,,,81.0,55.0,6.8,14.0,0.0157613,1,,,,4.0,1.0,,3.0,4.0,1.0,2.0,3.0,2.0,,,2.0,,,,1.0,,,0.0374,1.0,1.0,,,,,,,,
12117333,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188.0,116,M,840077,EUR,825120000.0,M,30,30,False,,39.0,32.0,5.0,4.0,0.0,15.0,18.0,17.0,21.0,3.0,7.0,,,,,,90.0,52.0,7.0,7.0,0.0244187,0,,,,,,3.0,8.0,9.0,3.0,1.0,,6.0,5.0,,2.0,,2.0,,1.0,,,,,,,,,,,,,
12117333,home,Cuiabá,Max,max,Max,M,8,187.0,253,M,1105838,EUR,989539200.0,M,10,10,False,,32.0,29.0,7.0,5.0,0.0,13.0,15.0,16.0,17.0,1.0,2.0,,1.0,,,,66.0,38.0,6.8,5.0,0.021428,1,,Max,,,,,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,0.0125,,,,,,,,,,
12117333,home,Cuiabá,Eliel,eliel,Eliel,F,22,175.0,94,M,1391413,EUR,1043539200.0,F,11,11,False,,11.0,9.0,1.0,,0.0,7.0,7.0,2.0,5.0,,1.0,,1.0,,,,66.0,24.0,7.1,9.0,0.00056781,2,,Eliel,,1.0,,2.0,7.0,4.0,,3.0,,1.0,1.0,1.0,,,1.0,2.0,,1.0,,1.0419,,2.0,1.0,1.0,0.9496,,,,,
12117333,home,Cuiabá,Isidro Pitta,isidro-pitta,I. Pitta,F,9,183.0,1815,M,979861,EUR,934588800.0,F,9,9,False,,22.0,18.0,1.0,1.0,1.0,8.0,9.0,10.0,13.0,,,,,,,,90.0,34.0,7.3,7.0,0.607885,2,,,,,,2.0,5.0,6.0,,4.0,,,,2.0,,2.0,2.0,1.0,2.0,1.0,,0.2361,1.0,2.0,,,,1.0,,,,
