match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_errorLeadToAShot,stat_clearanceOffLine
13472811,home,Santos,Gabriel Brazão,,,gabriel-brazao,G. Brazão,G,77,191,3074,M,905448,EUR,970704000,G,77,77,False,21.0,14.0,10.0,3.0,0.0,12.0,14.0,2.0,7.0,1.0,3.0,7.0,1.0,3.0,5.0,2.0,90.0,32.0,8.1,7.0,0.00068923,0,0.8464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472811,home,Santos,Gonzalo Escobar,,,gonzalo-escobar,G. Escobar,D,31,171,1242,M,840500,EUR,858470400,D,31,31,False,16.0,12.0,2.0,1.0,0.0,10.0,13.0,2.0,3.0,7.0,4.0,5.0,1.0,,,,90.0,41.0,7.4,9.0,0.0236505,0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13472811,home,Santos,João Basso,,,joao-basso,J. Basso,D,13,189,689,M,850955,EUR,853113600,D,3,3,False,30.0,23.0,8.0,2.0,0.0,16.0,19.0,7.0,11.0,2.0,3.0,,,,,,90.0,38.0,6.6,8.0,0.00177266,0,,1.0,1.0,4.0,,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,
13472811,home,Santos,Luan Peres,,,luan-peres,L. Peres,D,14,190,1198,M,842098,EUR,774576000,D,14,14,False,23.0,20.0,3.0,,0.0,18.0,20.0,2.0,3.0,2.0,12.0,2.0,,,,,90.0,39.0,6.9,3.0,0.0005732,0,,1.0,,3.0,,,,1.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
13472811,home,Santos,Souza,Souza,,souza,Souza,D,33,179,2869,M,1482340,EUR,1150416000,D,33,33,False,29.0,19.0,5.0,,0.0,13.0,19.0,6.0,10.0,4.0,6.0,6.0,1.0,,,,90.0,58.0,7.2,16.0,0.0267495,0,,,1.0,3.0,,2.0,,2.0,,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
13472811,home,Santos,Álvaro Barreal,,,alvaro-barreal,Á. Barreal,M,22,172,2811,M,949687,EUR,966470400,M,22,22,False,14.0,13.0,3.0,2.0,0.0,8.0,8.0,5.0,6.0,2.0,1.0,4.0,1.0,,,,66.0,26.0,6.6,6.0,0.00427717,1,,,,2.0,1.0,,,2.0,,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,0.0694,,,,,,,,,,,,
13472811,home,Santos,Tomás Rincón,,,tomas-rincon,T. Rincón,M,8,175,2716,M,46798,EUR,569030400,M,8,8,False,26.0,21.0,2.0,,0.0,13.0,14.0,8.0,12.0,3.0,1.0,7.0,,,,,90.0,34.0,6.6,7.0,0.0135342,1,,1.0,1.0,7.0,1.0,2.0,1.0,1.0,,1.0,,,4.0,,,,,,,1.0,0.0503,,,,,,,,,,,,
13472811,home,Santos,Zé Rafael,,,ze-rafael,Z. Rafael,M,6,175,2603,M,329069,EUR,740188800,M,6,6,False,14.0,12.0,,,0.0,8.0,9.0,4.0,5.0,7.0,,1.0,1.0,,,,66.0,30.0,6.9,6.0,0.00489987,1,,1.0,,5.0,,2.0,1.0,,,5.0,4.0,3.0,1.0,,2.0,,,,,,0.0682,1.0,1.0,,,,,,,,,,
13472811,home,Santos,Guilherme,,,guilherme,Guilherme,M,11,178,3515,M,844605,EUR,797731200,M,11,11,False,24.0,19.0,2.0,1.0,1.0,10.0,14.0,9.0,10.0,4.0,2.0,8.0,,,,,89.0,40.0,7.2,14.0,0.133904,0,,1.0,1.0,4.0,3.0,,,,,3.0,1.0,4.0,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,
13472811,home,Santos,Deivid Washington,Deivid Washington,,deivid-washington,D. Washington,F,36,186,6765,M,1485371,EUR,1117929600,F,36,36,False,8.0,5.0,,,0.0,1.0,2.0,4.0,6.0,4.0,1.0,4.0,2.0,,,,75.0,16.0,6.5,3.0,0.004884,2,,,1.0,2.0,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,,,0.1913,1.0,,,deividwashington_,1.0,0.2632,,,,,,
