match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_totalCross,stat_wonContest,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_totalOffside,player_sofascoreId,captain,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_punches
11369429,home,Celta Vigo,Vicente Guaita,vicente-guaita,V. Guaita,G,13,190,509,M,32023,EUR,537235200,G,25,25,False,22.0,12.0,19.0,9.0,6.0,7.0,6.0,15.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,90.0,33.0,7.6,10.0,0.00092858,0,0.1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369429,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173,142,M,795257,EUR,732844800,D,20,20,False,28.0,19.0,1.0,,6.0,7.0,13.0,21.0,1.0,6.0,,2.0,4.0,2.0,1.0,,,,,,62.0,51.0,7.0,13.0,0.0106939,1,,4.0,1.0,1.0,2.0,3.0,3.0,0.0178,,,,,,,,,,,,,,,,,,,,,
11369429,home,Celta Vigo,Unai Núñez,unai-nunez,U. Núñez,D,4,186,733,M,892521,EUR,854582400,D,4,4,False,24.0,15.0,9.0,4.0,7.0,7.0,8.0,17.0,3.0,6.0,4.0,5.0,1.0,1.0,2.0,,,,,,90.0,38.0,7.2,10.0,0.0372775,2,,5.0,,1.0,,1.0,2.0,0.285,2.0,1.0,1.0,1.0,2.0,0.4482,,,,,,,,,,,,,,,
11369429,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,28,28,False,21.0,13.0,5.0,2.0,9.0,9.0,4.0,12.0,,2.0,3.0,2.0,1.0,,1.0,,,,,,90.0,29.0,6.8,10.0,0.00629694,0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369429,home,Celta Vigo,Mihailo Ristić,mihailo-ristic,M. Ristić,D,21,180,595,M,363774,EUR,815097600,D,21,21,False,35.0,17.0,11.0,1.0,9.0,14.0,8.0,23.0,2.0,4.0,,5.0,2.0,1.0,,,,,,,90.0,51.0,6.8,23.0,0.012461,0,,1.0,,,,1.0,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,
11369429,home,Celta Vigo,Jonathan Bamba,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,M,17,17,False,23.0,17.0,,,3.0,3.0,14.0,21.0,1.0,4.0,,6.0,1.0,1.0,1.0,,,,,,73.0,37.0,7.0,13.0,0.0195098,1,,3.0,2.0,,,5.0,,0.0502,1.0,1.0,,1.0,2.0,0.0325,1.0,1.0,,,,,,,,,,,,,
11369429,home,Celta Vigo,Renato Tapia,renato-tapia,R. Tapia,M,13,185,3151,M,352376,EUR,806889600,M,5,5,False,38.0,29.0,5.0,3.0,7.0,9.0,22.0,29.0,3.0,11.0,5.0,6.0,2.0,2.0,3.0,,,,,,90.0,63.0,7.9,11.0,0.0145048,2,,6.0,3.0,2.0,,2.0,3.0,0.1498,3.0,,,,2.0,,,3.0,2.0,,,,,,,,,,,,
11369429,home,Celta Vigo,Carlos Dotor,dotor-carlos,C. Dotor,M,12,180,367,M,997221,EUR,984614400,M,6,6,False,24.0,19.0,1.0,,5.0,5.0,14.0,19.0,,1.0,,2.0,1.0,,,,,,,,89.0,31.0,6.6,8.0,0.0187315,1,,4.0,,1.0,,2.0,1.0,0.0422,2.0,,,,,,,,,,,1.0,,,,,,,,,
11369429,home,Celta Vigo,Franco Cervi,franco-cervi,F. Cervi,M,11,165,1013,M,557008,EUR,769910400,M,11,11,False,22.0,18.0,,,7.0,8.0,11.0,19.0,1.0,6.0,,5.0,4.0,3.0,1.0,,,,,,90.0,39.0,7.2,9.0,0.0182271,0,,5.0,,,,,1.0,,3.0,1.0,,,1.0,,5.0,,,,,,1.0,,,,,,,,
11369429,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5000,M,19356,EUR,554774400,F,10,10,False,35.0,31.0,3.0,3.0,4.0,6.0,30.0,39.0,2.0,4.0,,2.0,,,2.0,,,,,,80.0,52.0,7.3,13.0,0.932119,2,,5.0,,,,,2.0,0.079,1.0,,,1.0,,0.5896,10.0,,3.0,,,2.0,1.0,i.aspas10,True,3.0,1.0,1.0,,,
