match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,player_lastName,stat_totalContest,stat_wonContest,stat_fouls,captain,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_unsuccessfulTouch,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_errorLeadToAShot,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_penaltyConceded,stat_goalAssist
10438103,home,Chaves,Rodrigo Nascimento,Rodrigo Nascimento,rodrigo-nascimento,R. Nascimento,G,31,198,55,M,1128775,EUR,822614400,G,31,31,False,16.0,7.0,13.0,4.0,4.0,7.0,3.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,90.0,24.0,6.1,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438103,home,Chaves,Nélson Monte,,nelson-monte,N. Monte,D,4,187,67,M,831014,EUR,807062400,D,3,3,False,40.0,25.0,7.0,3.0,11.0,16.0,15.0,29.0,1.0,3.0,3.0,6.0,,,,,,90.0,67.0,6.5,22.0,1,5.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438103,home,Chaves,Carlos Ponck,,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,26,26,False,22.0,17.0,4.0,1.0,15.0,17.0,2.0,5.0,1.0,3.0,3.0,5.0,,,,,,90.0,32.0,6.4,5.0,0,,,3.0,1.0,,,1.0,3.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10438103,home,Chaves,Steven Vitória,,steven-vitoria,S. Vitória,D,,195,115,M,59574,EUR,537321600,D,19,19,False,16.0,11.0,4.0,3.0,8.0,11.0,3.0,5.0,2.0,4.0,3.0,3.0,,,,,,90.0,26.0,6.7,6.0,2,,,6.0,,,,1.0,,,,,,1.0,,1.0,True,4.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10438103,home,Chaves,Bruno Langa,,bruno-langa,B. Langa,D,24,178,2435,M,987490,EUR,878256000,D,5,5,False,15.0,12.0,1.0,1.0,6.0,7.0,6.0,9.0,,2.0,,5.0,,,,,,86.0,27.0,6.4,7.0,1,1.0,,2.0,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,
10438103,home,Chaves,Juninho Vieira,,juninho-vieira,Juninho,F,23,179,17759,M,833236,EUR,848534400,M,20,20,False,13.0,13.0,,,7.0,7.0,7.0,9.0,1.0,2.0,,3.0,,,,,,67.0,26.0,6.8,6.0,0,3.0,1.0,4.0,,,,,4.0,1.0,,1.0,,2.0,,,,2.0,,,,,2.0,juninhovieira_21,1.0,,,,,,,,,
10438103,home,Chaves,Guima,,ricardo-guimaraes-guima,Guima,M,30,181,615,M,370710,EUR,816307200,M,21,21,False,35.0,31.0,4.0,3.0,10.0,11.0,21.0,24.0,1.0,5.0,,10.0,,,,,,90.0,54.0,6.1,10.0,0,,,11.0,4.0,4.0,,,4.0,1.0,1.0,1.0,,3.0,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,
10438103,home,Chaves,João Pedro,,joao-pedro,J. Pedro,M,,176,61,M,251217,EUR,733795200,M,83,83,False,18.0,12.0,,,5.0,7.0,7.0,11.0,1.0,5.0,1.0,5.0,,,,,,78.0,33.0,6.4,12.0,0,,,9.0,,2.0,,,2.0,,,1.0,,2.0,,2.0,,3.0,,,,4.0,1.0,,1.0,,,,,,,,,
10438103,home,Chaves,Euller,,euller,Euller,M,7,173,63,M,336843,EUR,789177600,M,16,16,False,12.0,8.0,1.0,,1.0,1.0,8.0,17.0,,5.0,,3.0,,,,,,67.0,31.0,6.6,12.0,4,6.0,1.0,4.0,1.0,,2.0,,1.0,2.0,2.0,1.0,,3.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,
10438103,home,Chaves,João Mendes,,joao-mendes,J. Mendes,M,10,183,228,M,857376,EUR,782697600,F,8,8,False,23.0,21.0,1.0,1.0,3.0,3.0,18.0,21.0,,6.0,,4.0,,,,,,87.0,39.0,6.8,9.0,1,1.0,,11.0,1.0,3.0,,,,2.0,1.0,2.0,,2.0,1.0,5.0,,1.0,1.0,,,3.0,2.0,,,,1.0,,,,,,,
