match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_fouls,stat_keyPass,captain,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalCross,stat_dispossessed,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_blockedScoringAttempt,player_sofascoreId
14046019,home,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193.0,108,M,856743,EUR,957916800,G,1,1,False,37.0,15.0,37.0,15.0,0.0,15.0,37.0,2.0,9.0,1.0,4.0,7.0,2.0,90.0,49.0,7.5,22.0,0.0112561,0.9224,0,1.1155,0.13,-0.04,-0.3,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14046019,home,Heracles Almelo,Jannes Wieckhoff,jannes-wieckhoff,J. Wieckhoff,D,3,188.0,36,M,984880,EUR,965174400,D,3,3,False,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,,,45.0,10.0,6.3,1.0,0.00199155,,0,,0.05,,-0.23,,,,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14046019,home,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182.0,55,M,318575,EUR,831945600,D,4,4,False,17.0,14.0,4.0,2.0,0.0,5.0,8.0,6.0,3.0,,,,,81.0,32.0,6.6,3.0,0.0126519,,2,,0.2,0.0,-0.07,,,,9.0,9.0,2.0,2.0,3.0,,,1.0,1.0,True,2.0,1.0,1.0,2.0,1.0,1.0,0.2742,0.2568,-0.33,,,,,,,,,,,,,
14046019,home,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187.0,164,M,918484,EUR,991353600,D,24,24,False,9.0,5.0,2.0,,0.0,1.0,5.0,9.0,1.0,,,,,90.0,23.0,6.0,4.0,0.00040067,,0,,0.0,0.05,-0.32,,,,4.0,4.0,1.0,2.0,2.0,,,1.0,,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14046019,home,Heracles Almelo,Djevencio van der Kust,djevencio-van-der-kust,D. v. d. Kust,D,5,178.0,176,M,974530,EUR,988588800,D,15,15,False,9.0,6.0,2.0,1.0,0.0,4.0,7.0,4.0,3.0,,,,,90.0,30.0,6.2,9.0,0.0218847,,0,,0.11,0.13,-0.54,,,,2.0,2.0,,5.0,4.0,3.0,3.0,,,,,,,2.0,1.0,1.0,,,,2.0,2.0,3.0,1.0,,,,,,,,,
14046019,home,Heracles Almelo,Jan Žambůrek,jan-zamburek,J. Žambůrek,M,13,182.0,81,M,930295,EUR,982022400,M,13,13,False,6.0,4.0,,,0.0,3.0,5.0,2.0,1.0,,,,,62.0,22.0,7.0,6.0,0.139792,,1,,0.25,0.01,0.15,,,,1.0,1.0,,3.0,7.0,,4.0,3.0,3.0,,1.0,1.0,,,1.0,1.0,0.2847,,-0.26,5.0,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,
14046019,home,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188.0,83,M,1189738,EUR,1024790400,M,32,32,False,9.0,6.0,3.0,3.0,1.0,1.0,3.0,8.0,4.0,,,,,90.0,29.0,7.6,5.0,0.0840739,,1,,0.19,0.02,0.5,,,,5.0,6.0,1.0,1.0,5.0,,1.0,,1.0,,3.0,1.0,,2.0,,1.0,0.0229,,-0.11,1.0,,1.0,1.0,1.0,,,,1.0,,,,
14046019,home,Heracles Almelo,Bryan Limbombe,bryan-limbombe,B. Limbombe,M,7,172.0,160,M,996988,EUR,989798400,M,7,7,False,9.0,6.0,,,0.0,6.0,9.0,1.0,4.0,,,,,90.0,39.0,7.4,13.0,0.524613,,2,,0.6,0.42,-0.2,,,,,,1.0,7.0,9.0,1.0,,,5.0,,,,2.0,,1.0,3.0,0.0977,0.0816,-0.31,7.0,3.0,,2.0,4.0,8.0,6.0,,1.0,,,,
14046019,home,Heracles Almelo,Thomas Bruns,thomas-bruns,T. Bruns,M,10,177.0,38,M,146401,EUR,694742400,M,10,10,False,8.0,4.0,,,0.0,3.0,6.0,1.0,3.0,,,,,45.0,10.0,6.2,4.0,0.181955,,0,,0.02,0.02,-0.06,,,,1.0,2.0,4.0,7.0,1.0,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
14046019,home,Heracles Almelo,Tristan van Gilst,tristan-van-gilst,T. v. Gilst,M,17,178.0,89,M,1213453,EUR,1045526400,M,17,17,False,3.0,1.0,,,0.0,1.0,2.0,2.0,,,,,,62.0,11.0,6.2,4.0,0.00018099,,1,,-0.09,0.01,-0.02,,Tristan van Gilst,,,1.0,2.0,3.0,3.0,,,,,,2.0,1.0,,,,1.0,0.2326,,-0.57,,1.0,,,,,,,,,,,
