match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_fouls,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAGoal,player_sofascoreId,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork
11067384,home,América Mineiro,Jory,,,jory,Jory,G,1,190,55,M,839762,EUR,826675200,G,12,12,False,22.0,10.0,15.0,3.0,7.0,8.0,3.0,14.0,2.0,2.0,1.0,11.0,2.0,2.0,4.0,90.0,33.0,7.2,12.0,0.0005471,0,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067384,home,América Mineiro,Rodriguinho,Rodriguinho,,rodriguinho,Rodriguinho,M,75,170,859,M,1174770,EUR,1054771200,D,75,75,False,13.0,12.0,2.0,2.0,8.0,8.0,4.0,7.0,2.0,2.0,1.0,1.0,,,,45.0,24.0,6.5,4.0,0.00270351,1,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0096,,,,,,,,,,,,,,,,,,,,,,
11067384,home,América Mineiro,Ricardo Silva,,,ricardo-silva,R. Silva,D,45,190,76,M,599700,EUR,713664000,D,45,45,False,28.0,19.0,4.0,,16.0,20.0,3.0,8.0,1.0,4.0,3.0,4.0,,,,90.0,35.0,6.5,9.0,0.00221493,1,,,,1.0,,1.0,,2.0,0.0143,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11067384,home,América Mineiro,Danilo Avelar,,,danilo-avelar,Danilo Avelar,D,,184,107,M,121221,EUR,613353600,D,22,22,False,21.0,13.0,4.0,,5.0,8.0,8.0,13.0,,,3.0,2.0,,,,45.0,28.0,7.1,8.0,0.00615979,0,,,1.0,3.0,,,,,,,,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
11067384,home,América Mineiro,Marlon Lopes,,,marlon-lopes,Marlon,D,6,177,100,M,870933,EUR,761097600,D,6,6,False,41.0,33.0,6.0,3.0,14.0,15.0,19.0,28.0,,8.0,,10.0,,,,90.0,72.0,7.2,12.0,0.010568,0,,2.0,1.0,3.0,,,,2.0,,2.0,1.0,1.0,,,2.0,5.0,5.0,,,,,,,,,,,,,,
11067384,home,América Mineiro,Juninho,,,juninho,Juninho,M,28,173,218,M,330691,EUR,561945600,M,8,8,False,24.0,12.0,2.0,,4.0,8.0,9.0,18.0,,2.0,4.0,5.0,,,,90.0,40.0,6.6,16.0,0.0300414,1,,2.0,1.0,3.0,2.0,,2.0,1.0,0.1619,1.0,1.0,,,,1.0,,,True,1.0,1.0,0.1142,1.0,,,,,,,,,
11067384,home,América Mineiro,Alê,,,ale,Alê,M,16,184,96,M,869564,EUR,644630400,M,16,16,False,46.0,44.0,1.0,1.0,24.0,25.0,20.0,21.0,2.0,4.0,1.0,6.0,,,,73.0,54.0,6.0,5.0,0.0280882,0,,,,4.0,1.0,,2.0,2.0,,,,2.0,,,1.0,,,,,,,,1.0,,,,,,,,
11067384,home,América Mineiro,Emmanuel Martínez,,,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,54.0,49.0,,,15.0,16.0,36.0,41.0,2.0,6.0,1.0,6.0,,,,90.0,75.0,6.7,11.0,0.220545,2,,3.0,1.0,9.0,3.0,1.0,1.0,,0.0529,4.0,2.0,1.0,,,1.0,2.0,1.0,,2.0,,,2.0,2.0,1.0,,,,,,,
11067384,home,América Mineiro,Martín Benítez,,,martin-benitez,M. Benítez,M,7,173,425,M,155715,EUR,771811200,M,10,10,False,32.0,23.0,5.0,3.0,5.0,6.0,18.0,28.0,1.0,9.0,,,,,,64.0,54.0,6.9,16.0,0.0396105,3,,2.0,1.0,6.0,,1.0,,7.0,0.0836,6.0,2.0,,,,,,,,,1.0,0.1372,1.0,1.0,1.0,,,,,,,
11067384,home,América Mineiro,Felipe Azevedo,,,felipe-azevedo,Felipe Azevedo,M,11,175,88,M,166471,EUR,537235200,F,11,11,False,24.0,17.0,3.0,2.0,8.0,9.0,9.0,16.0,,6.0,,7.0,,,,65.0,40.0,7.0,14.0,0.00856052,1,,1.0,,3.0,,,3.0,3.0,0.0302,1.0,1.0,1.0,,,1.0,2.0,2.0,,,1.0,0.0844,1.0,2.0,,,,,,,,
