match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,captain,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_shotOffTarget,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
11067343,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189.0,1142,M,358524,EUR,829353600,G,22,22,False,38.0,18.0,32.0,13.0,8.0,11.0,10.0,27.0,1.0,1.0,2.0,9.0,2.0,1.0,4.0,1.0,1.0,1.0,90.0,48.0,7.6,20.0,0.00373418,0,0.7288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067343,home,Bahia,Gilberto,gilberto,Gilberto,D,2,181.0,1500,M,261687,EUR,731462400,D,2,2,False,48.0,41.0,3.0,2.0,30.0,33.0,11.0,17.0,2.0,4.0,2.0,4.0,,,,,,,90.0,72.0,6.3,12.0,0.0225833,1,,2.0,2.0,9.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0488,,,,,,,,,,,,,,,,,
11067343,home,Bahia,Kanu,kanu,Kanu,D,4,186.0,926,M,871705,EUR,857692800,D,4,4,False,54.0,46.0,7.0,2.0,35.0,39.0,11.0,15.0,5.0,6.0,4.0,7.0,,,,,,,90.0,64.0,7.1,8.0,0.00455944,0,,,1.0,2.0,1.0,,,,,2.0,,1.0,,,True,,,,,,,,,,,,,,,,
11067343,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187.0,899,M,794838,EUR,674697600,D,31,31,False,52.0,41.0,9.0,5.0,30.0,33.0,11.0,19.0,4.0,6.0,5.0,8.0,,,,,,,90.0,61.0,7.5,11.0,0.00347341,0,,,2.0,3.0,,,,,,1.0,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,
11067343,home,Bahia,Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,364,M,924073,EUR,802051200,D,38,38,False,34.0,29.0,3.0,3.0,11.0,15.0,19.0,22.0,,2.0,2.0,4.0,,,,,,,90.0,57.0,7.4,14.0,0.197846,0,,3.0,2.0,6.0,1.0,,2.0,,,1.0,1.0,,2.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,
11067343,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182.0,1796,M,872039,EUR,800236800,M,16,16,False,17.0,13.0,,,6.0,8.0,7.0,9.0,1.0,4.0,,3.0,,,,,,,80.0,26.0,6.7,7.0,0.0178585,1,,,2.0,5.0,2.0,,,,,,3.0,2.0,1.0,0.1468,,1.0,1.0,,,,1.0,1.0,0.1027,,,,,,,,
11067343,home,Bahia,Yago Felipe,yago-felipe,Y. Felipe,M,41,174.0,406,M,552164,EUR,791769600,M,20,20,False,45.0,34.0,6.0,5.0,20.0,25.0,15.0,21.0,1.0,9.0,,3.0,,,,,,,89.0,64.0,7.4,13.0,0.0881615,0,,1.0,,5.0,1.0,1.0,,,,,1.0,3.0,3.0,,,5.0,,,1.0,,1.0,,,,,,,,,,
11067343,home,Bahia,Rezende,rezende,Rezende,D,5,186.0,736,M,868030,EUR,789004800,M,5,5,False,51.0,48.0,1.0,1.0,25.0,26.0,23.0,25.0,,15.0,1.0,8.0,,,,,,,90.0,76.0,7.9,5.0,0.0143921,0,,,1.0,5.0,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,3.0,,,11.0,7.0,,,,,,,,,,,,,,
11067343,home,Bahia,Biel,biel,Biel,F,20,169.0,2141,M,1106140,EUR,986083200,M,10,10,False,7.0,5.0,,,,,6.0,8.0,,3.0,,,,,,,,,62.0,22.0,6.5,7.0,0.0575235,2,,1.0,1.0,7.0,3.0,1.0,,,,,4.0,3.0,2.0,0.1008,,,,,1.0,,1.0,2.0,0.1335,Gabriel,Teixeira Aragão,,,,,,
11067343,home,Bahia,Everaldo,everaldo,Everaldo,F,9,181.0,2414,M,386212,EUR,678672000,F,9,9,False,12.0,7.0,1.0,,1.0,1.0,6.0,11.0,6.0,8.0,,3.0,,,,,,,79.0,27.0,7.4,10.0,0.102802,4,,,3.0,7.0,,2.0,3.0,1.0,1.0,,1.0,1.0,,0.159,,,,,,,1.0,2.0,0.4772,,,1.0,1.0,,,,
11067343,home,Bahia,Cauly,cauly,Cauly,M,8,175.0,2903,M,255873,EUR,811123200,F,8,8,False,28.0,23.0,,,3.0,3.0,20.0,26.0,,3.0,,2.0,,,,,,,79.0,38.0,6.7,11.0,0.156823,0,,1.0,,2.0,,2.0,2.0,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
11067343,home,Bahia,Ademir,ademir,Ademir,F,7,172.0,1700,M,922546,EUR,792892800,F,7,7,True,8.0,5.0,1.0,,1.0,2.0,4.0,7.0,1.0,2.0,,2.0,,,,,,,28.0,15.0,6.5,9.0,0.0239755,0,,1.0,,1.0,,1.0,,,,,4.0,1.0,,,,,,,,,1.0,,,,,,,,,,
11067343,home,Bahia,Diego Rosa,diego-rosa,D. Rosa,M,33,180.0,532,M,1002415,EUR,1034380800,M,17,17,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,11.0,2.0,6.5,1.0,1.415e-05,0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11067343,home,Bahia,Vinicius Mingotti,vinicius-mingotti,Vinicius Mingotti,F,9,185.0,107,M,989407,EUR,947203200,F,21,21,True,3.0,2.0,,,,,2.0,3.0,1.0,3.0,,,,,,,,,11.0,5.0,6.7,1.0,0.00340114,0,,,2.0,2.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
11067343,home,Bahia,Luciano Juba,luciano-juba,L. Juba,D,46,176.0,3659,M,1017264,EUR,935884800,M,46,46,True,6.0,3.0,2.0,,,1.0,3.0,7.0,,,1.0,,,,,,,,10.0,9.0,6.3,5.0,0.00499281,0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11067343,home,Bahia,Léo Cittadini,leo-cittadini,L. Cittadini,M,20,178.0,378,M,332171,EUR,762307200,M,18,18,True,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,2.0,,,0.00030562,0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
