match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_wasFouled,player_sofascoreId,stat_totalCross,stat_bigChanceCreated,stat_dispossessed,stat_bigChanceMissed,player_firstName,player_lastName,stat_accurateCross,stat_onTargetScoringAttempt,captain,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_goalAssist
10388308,home,VfB Stuttgart,Florian Müller,florian-muller,F. Müller,G,21,190,205,M,842858,EUR,879379200,G,1,1,False,36.0,24.0,22.0,10.0,19.0,24.0,5.0,12.0,6.0,5.0,8.0,1.0,1.0,90.0,47.0,8.2,12.0,0.0,0.0,0.00174198,0,1.3223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388308,home,VfB Stuttgart,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2692,M,829022,EUR,881798400,D,5,5,False,25.0,19.0,9.0,5.0,14.0,15.0,5.0,10.0,7.0,,,,,90.0,51.0,7.7,9.0,0.0356,0.0,0.106284,1,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
10388308,home,VfB Stuttgart,Waldemar Anton,waldemar-anton,W. Anton,D,3,189,2193,M,799046,EUR,837820800,D,2,2,False,29.0,22.0,7.0,4.0,19.0,20.0,3.0,9.0,1.0,,,,,90.0,48.0,7.4,7.0,0.0,0.0,0.00230808,0,,1.0,3.0,8.0,,,,,7.0,,3.0,5.0,3.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
10388308,home,VfB Stuttgart,Hiroki Itō,hiroki-ito,H. Itō,D,21,188,6725,M,873106,EUR,926467200,D,21,21,False,38.0,23.0,13.0,6.0,17.0,24.0,6.0,15.0,7.0,,,,,90.0,58.0,7.0,18.0,0.0118,0.0,0.0820755,1,,,2.0,3.0,1.0,,1.0,,6.0,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,hiroki_ito38,1.0,1.0,,,,,,,,,,,
10388308,home,VfB Stuttgart,Josha Vagnoman,josha-vagnoman,J. Vagnoman,D,4,186,549,M,906278,EUR,976492800,M,4,4,False,20.0,18.0,1.0,1.0,9.0,11.0,9.0,9.0,6.0,,,,,90.0,40.0,6.8,6.0,0.224,0.0,0.00813644,1,,,4.0,5.0,3.0,2.0,1.0,,3.0,,2.0,,,1.0,,1.0,3.0,1.0,,,,,2.0,1.0,,,,,,,,,
10388308,home,VfB Stuttgart,Chris Führich,chris-fuhrich,C. Führich,M,10,178,1574,M,891510,EUR,884304000,M,22,22,False,28.0,23.0,4.0,2.0,12.0,14.0,12.0,15.0,6.0,,,,,77.0,45.0,7.2,10.0,0.0909,0.0759,0.228415,2,,,5.0,5.0,2.0,,1.0,,,,1.0,4.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,,,1.0,1.0,,,,,
10388308,home,VfB Stuttgart,Wataru Endo,wataru-endo,W. Endo,M,3,178,19849,M,143040,EUR,729216000,M,3,3,False,35.0,23.0,3.0,1.0,18.0,22.0,5.0,13.0,8.0,,,,,90.0,49.0,7.3,13.0,0.0361,0.0,0.00844283,1,,1.0,5.0,8.0,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,2.0,2.0,,endowataru,,,,,,,,,True,,,,
10388308,home,VfB Stuttgart,Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,8,183,451,M,997104,EUR,1017360000,M,32,32,False,25.0,20.0,5.0,2.0,10.0,14.0,10.0,11.0,8.0,,,,,89.0,39.0,7.4,8.0,0.0631,0.4144,0.0531583,1,,1.0,4.0,3.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,
10388308,home,VfB Stuttgart,Silas,silas-katompa-mvumpa,S. K. Mvumpa,M,26,189,7725,M,949062,EUR,907632000,M,14,14,False,13.0,9.0,,,4.0,6.0,5.0,7.0,3.0,,,,,89.0,33.0,5.9,11.0,0.137,0.0,0.0192297,2,,3.0,13.0,4.0,5.0,2.0,,,,1.0,,,,2.0,3.0,1.0,,3.0,2.0,silas,,,1.0,,,,,,,,2.0,1.0,
10388308,home,VfB Stuttgart,Saša Kalajdžić,sasa-kalajdzic,S. Kalajdžić,F,10,200,1157,M,870038,EUR,868233600,F,9,9,False,18.0,9.0,1.0,1.0,4.0,6.0,5.0,12.0,1.0,,,,,64.0,25.0,6.8,12.0,0.1961,0.0,0.0411325,1,,2.0,7.0,5.0,1.0,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,1.0,,,,,,,,,,1.0
