match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_lastManTackle
14572987,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23571,M,d_degea,69378,EUR,657936000,G,43,43,False,32.0,22.0,20.0,10.0,0.0,17.0,20.0,5.0,12.0,1.0,10.0,2.0,4.0,1.0,90.0,43.0,7.1,11.0,0.00235386,0.3229,0,0.3808,0.1,-0.11,0.2,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572987,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2512,M,,847467,EUR,873936000,D,5,5,False,46.0,38.0,5.0,3.0,0.0,27.0,31.0,11.0,15.0,1.0,9.0,,,,86.0,65.0,7.1,11.0,0.0184409,,0,,-0.05,0.32,-0.06,,1.0,1.0,5.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
14572987,home,Fiorentina,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1742,M,,208988,EUR,746755200,D,18,18,False,48.0,38.0,5.0,4.0,0.0,31.0,34.0,7.0,14.0,7.0,6.0,,,,90.0,63.0,7.5,11.0,0.107134,,2,,0.12,0.07,0.26,,,6.0,2.0,7.0,,,,2.0,1.0,1.0,,,,2.0,1.0,2.0,1.0,0.0543,1.0,-0.27,,,,,,,,,,,,,
14572987,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1093,M,,893998,EUR,924825600,D,6,6,False,48.0,41.0,8.0,4.0,0.0,23.0,25.0,19.0,26.0,3.0,2.0,,,,90.0,69.0,7.3,16.0,0.127227,,2,,0.39,0.19,0.2,,1.0,2.0,7.0,6.0,1.0,4.0,,1.0,,,,1.0,4.0,1.0,,1.0,,0.0618,2.0,0.0,True,3.0,1.0,1.0,1.0,,,,,,,,
14572987,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3362,M,,822518,EUR,911260800,M,2,2,False,22.0,15.0,2.0,1.0,0.0,7.0,11.0,9.0,16.0,2.0,6.0,,,,72.0,49.0,6.9,16.0,0.0759772,,0,,0.27,0.28,0.13,,,,4.0,3.0,,4.0,2.0,1.0,,,,2.0,1.0,2.0,,,,,1.0,,,5.0,1.0,,,1.0,,,,,,,
14572987,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2131,M,,548178,EUR,867542400,M,8,8,False,21.0,16.0,2.0,1.0,0.0,6.0,7.0,10.0,17.0,4.0,3.0,,,,59.0,33.0,6.9,9.0,0.00959761,,0,,0.04,-0.19,0.3,,,,,2.0,,,,2.0,1.0,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,
14572987,home,Fiorentina,Nicolò Fagioli,,,nicolo-fagioli,N. Fagioli,M,44,178,4329,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,43.0,40.0,2.0,1.0,0.0,26.0,29.0,15.0,21.0,,6.0,,,,90.0,53.0,6.6,11.0,0.0466712,,1,,0.32,0.1,-0.01,,,,3.0,,1.0,,,,,,,1.0,,2.0,,1.0,,0.0641,,-0.18,,7.0,1.0,,,,,,,,,,
14572987,home,Fiorentina,Cher Ndour,,,ndour-cher,C. Ndour,M,27,190,2165,M,,1114422,EUR,1090886400,M,27,27,False,26.0,21.0,2.0,,1.0,12.0,13.0,9.0,13.0,3.0,2.0,,,,90.0,42.0,8.4,7.0,0.0144351,,2,,-0.09,0.3,0.23,,1.0,2.0,5.0,6.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,2.0,1.0,1.0,,0.197,1.0,0.53,,,,,,,1.0,1.0,1.0,0.623,,,
14572987,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3163,M,,377118,EUR,773366400,M,21,21,False,29.0,22.0,4.0,1.0,0.0,12.0,13.0,10.0,16.0,1.0,3.0,,,,59.0,38.0,6.9,9.0,0.0519818,,0,,0.17,-0.38,-0.03,,,4.0,2.0,5.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,
14572987,home,Fiorentina,Edin Džeko,,,edin-dzeko,E. Džeko,F,10,193,23278,M,EDzeko,14990,EUR,511401600,F,9,9,False,31.0,21.0,4.0,3.0,0.0,4.0,6.0,17.0,25.0,2.0,1.0,,,,72.0,46.0,6.8,16.0,0.0450824,,2,,0.21,0.3,-0.13,,,1.0,5.0,1.0,3.0,,,,,,1.0,2.0,,1.0,,,,0.448,4.0,0.17,,,,1.0,,,1.0,1.0,,0.6699,1.0,,
