match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,injury
10407342,FT,1.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,
10407342,,1.0,3.0,,90,6.0,,1,,,goal,165551639.0,False,regular,963070.0,Théo Ndicka Matam,,,,
10407342,,,,,90,3.0,,1,,,card,120402872.0,True,yellow,842160.0,Stefan Knežević,Stefan Knežević,Foul,False,
10407342,,,,,86,,,5,,,substitution,121224071.0,False,injury,,,,,,True
10407342,,,,,86,,,5,,,substitution,121224070.0,False,regular,,,,,,False
10407342,,,,,79,,,12,,,substitution,121224036.0,True,regular,,,,,,False
10407342,,,,,79,,,12,,,substitution,121224035.0,True,regular,,,,,,False
10407342,,,,,79,,,12,,,substitution,121224034.0,True,injury,,,,,,True
10407342,,,,,79,,,12,,,substitution,121224037.0,False,regular,,,,,,False
10407342,,,,,76,,,15,,,substitution,121224022.0,False,injury,,,,,,True
10407342,,,,,75,,,16,,,substitution,121224011.0,False,regular,,,,,,False
10407342,,1.0,2.0,,66,,,25,,,goal,165551487.0,False,regular,959635.0,Nick Bätzner,,,,
10407342,,,,,56,,,35,,,substitution,121223898.0,True,regular,,,,,,False
10407342,,1.0,1.0,,55,,,36,,,goal,165551418.0,True,regular,961902.0,Ken Nkuba,,,,
10407342,,,,,51,,,40,,,card,120402711.0,False,yellow,960257.0,Zech Medley,Zech Medley,Foul,False,
10407342,,,,,46,,,45,,,substitution,121223835.0,True,regular,,,,,,False
10407342,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,
10407342,,,,,39,,,7,,,card,120402623.0,True,yellow,961902.0,Ken Nkuba,Ken Nkuba,Foul,False,
10407342,,0.0,1.0,,28,,,18,,,goal,165551139.0,False,regular,889388.0,Robbie D'Haese,,,,
