match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,captain,stat_bigChanceCreated,stat_dispossessed,stat_goals,stat_goodHighClaim,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_totalOffside
13981501,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192.0,3101,M,865646,EUR,962409600,G,29,29,False,22.0,16.0,9.0,4.0,0.0,13.0,14.0,3.0,8.0,1.0,1.0,2.0,10.0,2.0,90.0,30.0,6.6,6.0,0.00039025,0,-0.4687,0.01,0.02,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981501,home,Atalanta,Odilon Kossounou,odilon-kossounou,O. Kossounou,D,3,191.0,9985,M,973437,EUR,978566400,D,3,3,False,52.0,51.0,2.0,2.0,0.0,26.0,27.0,25.0,25.0,,,4.0,9.0,,90.0,60.0,6.5,1.0,0.0145923,0,,0.17,0.04,-0.1,odilonkossounou,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981501,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191.0,2306,M,1157713,EUR,916185600,D,4,4,False,53.0,50.0,8.0,6.0,0.0,29.0,30.0,21.0,23.0,1.0,1.0,2.0,3.0,,90.0,59.0,6.5,4.0,0.0136683,2,,0.25,0.03,-0.16,,,2.0,,2.0,1.0,2.0,1.0,1.0,0.2795,-0.56,,,,,,,,,,,,,,,,,,,,,,,,
13981501,home,Atalanta,Honest Ahanor,honest-ahanor,H. Ahanor,D,69,184.0,1976,M,1634980,EUR,1203724800,D,69,69,False,25.0,25.0,1.0,1.0,0.0,10.0,10.0,15.0,15.0,2.0,4.0,2.0,,,71.0,35.0,6.2,1.0,0.00543958,3,,0.03,0.09,-0.3,,1.0,2.0,,,1.0,3.0,,1.0,0.3586,-0.64,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13981501,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182.0,2125,M,132318,EUR,708220800,M,77,77,False,64.0,58.0,2.0,1.0,0.0,24.0,26.0,34.0,38.0,,3.0,2.0,6.0,,90.0,86.0,6.9,10.0,0.210626,4,,0.31,0.1,-0.06,,1.0,2.0,2.0,,,2.0,,1.0,0.1109,-0.31,,,,,,3.0,2.0,4.0,3.0,1.0,1.0,0.0493,1.0,,,,,,,,,,,
13981501,home,Atalanta,Éderson,ederson,Éderson,M,13,183.0,7659,M,946888,EUR,931305600,M,13,13,False,66.0,62.0,8.0,6.0,0.0,21.0,22.0,41.0,44.0,1.0,4.0,,7.0,,90.0,76.0,6.9,7.0,0.026274,2,,0.08,0.1,-0.04,ederson99,1.0,2.0,1.0,1.0,,,,1.0,0.1847,-0.41,,2.0,,,1.0,1.0,,,,1.0,1.0,0.1211,,,,,,,,,,,,
13981501,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185.0,1856,M,100389,EUR,670204800,M,15,15,False,23.0,20.0,2.0,1.0,0.0,6.0,6.0,14.0,17.0,,1.0,1.0,,,20.0,26.0,6.7,3.0,0.00375091,1,,0.11,0.05,0.16,,,,,,,1.0,,,0.0203,-0.04,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,
13981501,home,Atalanta,Lorenzo Bernasconi,lorenzo-bernasconi,L. Bernasconi,M,47,190.0,638,M,1012177,EUR,1068940800,M,47,47,False,27.0,22.0,1.0,,0.0,7.0,9.0,15.0,18.0,,,,,,71.0,47.0,6.5,12.0,0.219463,2,,0.25,-0.03,-0.08,,1.0,3.0,1.0,,,,1.0,2.0,0.1302,0.01,2.0,,,,,7.0,2.0,,,,2.0,,2.0,,,,1.0,,,,,,,
13981501,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189.0,7385,M,190437,EUR,792288000,F,8,8,False,50.0,47.0,3.0,2.0,1.0,14.0,15.0,33.0,35.0,1.0,4.0,,3.0,,82.0,58.0,7.3,7.0,0.107367,0,,0.48,0.01,-0.03,pasalicmario,1.0,4.0,1.0,1.0,,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,3.0,,,,,,,,,,,
13981501,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192.0,14835,M,960441,EUR,984182400,F,17,17,False,26.0,24.0,1.0,1.0,0.0,2.0,2.0,22.0,24.0,,3.0,,1.0,,81.0,41.0,7.0,11.0,0.258882,0,,0.37,0.14,-0.06,cdk,,6.0,,,,,,2.0,,,1.0,,,,3.0,3.0,1.0,3.0,,,,,1.0,,,,1.0,2.0,,,,,,
