match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_lastManTackle,stat_totalTackle,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,captain,player_sofascoreId,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_penaltyConceded
14572753,home,BSC Young Boys,Marvin Keller,marvin-keller,M. Keller,G,1,187.0,238,M,1005744,EUR,1017792000,G,1,1,False,41.0,30.0,19.0,9.0,0.0,26.0,33.0,4.0,8.0,5.0,1.0,1.0,90.0,43.0,7.4,11.0,0.0025989,84.619706197943,16.0,15.54,4.935,0.3783,0,0.3154,0.13,-0.05,0.16,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Saidy Janko,saidy-janko,S. Janko,D,17,178.0,272,M,348362,EUR,814320000,D,17,17,False,40.0,35.0,5.0,3.0,0.0,19.0,21.0,16.0,19.0,6.0,,,84.0,59.0,7.2,11.0,0.0583459,199.68182626282,31.0,6.195,13.86,,0,,0.25,-0.43,0.56,,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Gregory Wüthrich,gregory-wuthrich,G. Wüthrich,D,5,192.0,175,M,331465,EUR,786499200,D,5,5,False,54.0,48.0,3.0,,0.0,29.0,30.0,19.0,24.0,2.0,,,90.0,67.0,7.8,6.0,0.0119703,248.41443417063,34.0,108.78,18.165,,0,,0.15,0.18,1.0,,,,1.0,1.0,4.0,,,3.0,1.0,2.0,,1.0,3.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Loris Benito,loris-benito,L. Benito,D,23,184.0,189,M,67308,EUR,694742400,D,23,23,False,66.0,58.0,10.0,4.0,0.0,38.0,39.0,20.0,27.0,3.0,,,90.0,73.0,6.9,9.0,0.01382,369.4333760611,43.0,200.76,27.09,,0,,0.17,0.2,0.17,,,,,,,,,4.0,,,,,,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Jaouen Hadjam,jaouen-hadjam,J. Hadjam,D,3,184.0,9146,M,1049534,EUR,1048636800,D,3,3,False,49.0,39.0,3.0,1.0,0.0,16.0,21.0,23.0,28.0,9.0,,,90.0,79.0,7.0,19.0,0.0342844,213.53679714433,34.0,80.85,8.295,,2,,0.16,0.26,0.16,,2.0,,1.0,7.0,6.0,1.0,6.0,1.0,,1.0,2.0,,,3.0,1.0,,Jaouen Hadjam,,,jaouen.h3,2.0,4.0,2.0,2.0,0.0621,-0.15,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Rayan Raveloson,rayan-raveloson,R. Raveloson,M,45,182.0,2758,M,757742,EUR,853372800,M,45,45,False,40.0,32.0,3.0,2.0,0.0,11.0,13.0,21.0,27.0,4.0,,,90.0,47.0,7.1,9.0,0.0355002,207.24479254233,28.0,70.35,42.735,,2,,0.22,0.19,0.15,,1.0,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,0.1787,-0.1,1.0,1.0,0.2139,,,,,,,,,,,
14572753,home,BSC Young Boys,Sandro Lauper,sandro-lauper,S. Lauper,D,30,185.0,108,M,801072,EUR,846201600,M,30,30,False,31.0,28.0,1.0,1.0,0.0,13.0,14.0,15.0,17.0,3.0,,,90.0,34.0,6.7,4.0,0.0096252,107.1286895537,19.0,21.525,7.875,,0,,-0.07,0.07,-0.02,,,,,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14572753,home,BSC Young Boys,Darian Maleš,darian-males,D. Maleš,M,39,188.0,208,M,988277,EUR,988848000,M,39,39,False,31.0,26.0,3.0,2.0,0.0,9.0,9.0,17.0,22.0,3.0,,,73.0,42.0,7.7,9.0,0.0505057,232.88980174927,28.0,92.295,27.72,,3,,-0.29,0.45,0.17,,2.0,,,2.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,0.2988,0.43,2.0,1.0,0.592,1.0,1.0,,,,,,,,,
14572753,home,BSC Young Boys,Dominik Pech,dominik-pech,D. Pech,M,13,181.0,155,M,1418636,EUR,1157328000,M,13,13,False,21.0,20.0,1.0,1.0,0.0,1.0,1.0,19.0,20.0,2.0,,,73.0,29.0,6.6,6.0,0.0423697,168.16330083308,20.0,97.125,25.2,,0,,0.16,0.03,-0.01,,1.0,,,4.0,1.0,,2.0,,,,1.0,2.0,,,,,Dominik Pech,,,,,1.0,,3.0,,,,,,,2.0,,,,,,,,,
14572753,home,BSC Young Boys,Alan Virginius,alan-virginius,A. Virginius,F,7,175.0,548,M,1048014,EUR,1041552000,M,7,7,False,25.0,22.0,,,0.0,5.0,7.0,17.0,18.0,3.0,,,76.0,36.0,7.8,10.0,0.122894,151.94365672688,23.0,56.7,21.525,,1,,0.7,0.22,-0.01,,3.0,1.0,,2.0,1.0,,,,,,,,,,,1.0,,,,,2.0,,,2.0,0.2554,-0.08,1.0,,0.4803,,1.0,1.0,1.0,1.0,,,,,,
