match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_goalAssist,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded
10913532,home,Al-Fateh,Jacob Rinne,,,jacob-rinne,J. Rinne,G,35,188.0,92,M,289025,EUR,740534400.0,G,1,1,False,25.0,18.0,15.0,8.0,17.0,22.0,1.0,3.0,2.0,2.0,90.0,29.0,7.1,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913532,home,Al-Fateh,Ali Alzubaidi,,,ali-alzubaidi,A. Alzubaidi,D,2,177.0,7,M,160903,EUR,726105600.0,D,27,27,False,66.0,54.0,5.0,3.0,18.0,21.0,36.0,50.0,10.0,,90.0,96.0,7.0,22.0,0,5.0,2.0,1.0,11.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,
10913532,home,Al-Fateh,Ziyad Aljari,Ziyad Aljari,,ziyad-aljari,Z. Aljari,D,4,182.0,17,M,1049202,EUR,1005782400.0,D,3,3,False,38.0,31.0,8.0,3.0,20.0,24.0,11.0,14.0,3.0,,90.0,42.0,6.8,7.0,0,,,1.0,1.0,1.0,,,,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,
10913532,home,Al-Fateh,Marwane Saadane,,,marwane-saadane,M. Saadane,D,17,185.0,1277,M,847714,EUR,695606400.0,D,17,17,False,61.0,52.0,8.0,4.0,29.0,31.0,23.0,30.0,5.0,,90.0,71.0,7.8,10.0,1,,1.0,6.0,2.0,8.0,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,,,,,,,,,
10913532,home,Al-Fateh,Tawfiq Buhumaid,,,tawfiq-buhumaid,T. Buhumaid,D,25,179.0,6,M,871425,EUR,562464000.0,D,25,25,False,40.0,36.0,4.0,2.0,17.0,20.0,20.0,23.0,5.0,,90.0,58.0,7.4,8.0,0,3.0,,1.0,3.0,9.0,,,3.0,2.0,,,3.0,5.0,3.0,2.0,,,,,1.0,1.0,,,,,,,,
10913532,home,Al-Fateh,Mourad Batna,,,batna-mourad,M. Batna,M,11,185.0,1192,M,880790,EUR,646444800.0,M,11,11,False,48.0,42.0,1.0,1.0,8.0,9.0,37.0,47.0,9.0,,90.0,86.0,6.7,26.0,4,8.0,,,10.0,6.0,1.0,6.0,7.0,4.0,,,,1.0,1.0,,2.0,,,,1.0,3.0,2.0,2.0,4.0,1.0,,,,
10913532,home,Al-Fateh,Sofiane Bendebka,,,sofiane-bendebka,S. Bendebka,M,28,180.0,1218,M,845609,EUR,713318400.0,M,28,28,False,74.0,61.0,7.0,4.0,24.0,28.0,37.0,47.0,9.0,,87.0,86.0,6.7,17.0,0,1.0,,1.0,9.0,5.0,4.0,,3.0,1.0,,,2.0,2.0,2.0,3.0,,,,,1.0,,,,,,,,,
10913532,home,Al-Fateh,Mohammed Petros,,,petros,Petros,M,,182.0,273,M,552678,EUR,612403200.0,M,6,6,False,78.0,71.0,7.0,6.0,26.0,27.0,45.0,51.0,9.0,,90.0,91.0,6.9,9.0,2,,1.0,1.0,7.0,5.0,3.0,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,1.0,,,,2.0,,,2.0,,,1.0,,,
10913532,home,Al-Fateh,Cristian Tello,,,cristian-tello,C. Tello,M,,178.0,644,M,114157,EUR,681868800.0,M,37,37,False,37.0,26.0,1.0,1.0,10.0,13.0,16.0,24.0,4.0,,83.0,52.0,7.3,14.0,3,,1.0,1.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,
10913532,home,Al-Fateh,Tristan Dingomé,,,tristan-dingome,T. Dingomé,M,,174.0,26,,188269,EUR,666748800.0,F,91,91,False,28.0,22.0,2.0,1.0,8.0,8.0,15.0,22.0,2.0,,67.0,35.0,6.8,8.0,1,2.0,1.0,,5.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,,,,,
10913532,home,Al-Fateh,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181.0,1082,M,893307,EUR,958262400.0,F,9,9,False,15.0,9.0,,,1.0,1.0,8.0,14.0,2.0,,90.0,29.0,6.4,12.0,1,,2.0,1.0,7.0,4.0,2.0,2.0,1.0,,1.0,,,,,,1.0,,,,3.0,,1.0,,3.0,,,,,
