match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,player_firstName,player_lastName,stat_challengeLost,stat_dispossessed,stat_hitWoodwork,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_punches,stat_outfielderBlock
10388325,home,FC Bayern München,Manuel Neuer,manuel-neuer,M. Neuer,G,1,193,36498,M,MNeuer,8959,EUR,512265600,G,1,1,False,True,16.0,15.0,4.0,3.0,14.0,14.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,90.0,23.0,6.6,1.0,0.0,0.0,0.00013449,0,-0.1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388325,home,FC Bayern München,Benjamin Pavard,benjamin-pavard,B. Pavard,D,28,186,10858,M,benpavard21,787505,EUR,827971200,D,5,5,False,,74.0,61.0,6.0,2.0,17.0,22.0,46.0,56.0,4.0,7.0,8.0,,,,90.0,100.0,8.1,16.0,0.0793,0.0922,0.483346,4,,4.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,
10388325,home,FC Bayern München,Dayot Upamecano,dayot-upamecano,D. Upamecano,D,2,185,14152,M,Upamecano,798583,EUR,909446400,D,2,2,False,,69.0,64.0,8.0,6.0,25.0,26.0,39.0,43.0,1.0,3.0,6.0,,,,90.0,81.0,6.3,8.0,0.1709,0.0,0.0318466,0,,,,2.0,5.0,,,,3.0,2.0,1.0,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,
10388325,home,FC Bayern München,Lucas Hernández,lucas-hernandez,L. Hernández,D,21,183,10289,M,lucashernandez21,352370,EUR,824256000,D,21,21,False,,72.0,68.0,11.0,10.0,29.0,29.0,39.0,43.0,,,8.0,,,,90.0,75.0,6.9,4.0,0.0,0.0,0.0428437,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388325,home,FC Bayern München,Alphonso Davies,alphonso-davies,A. Davies,D,19,185,29613,M,ADavies19,843665,EUR,973123200,D,19,19,False,,68.0,56.0,2.0,,20.0,21.0,36.0,48.0,,2.0,8.0,,,,90.0,86.0,7.2,18.0,0.0696,0.0349,0.319702,2,,1.0,,,3.0,,,2.0,1.0,,,,,1.0,,3.0,,2.0,4.0,2.0,,,,,,,,,,,
10388325,home,FC Bayern München,Joshua Kimmich,joshua-kimmich,J. Kimmich,M,6,176,42486,M,Jok_32,259117,EUR,792201600,M,6,6,False,,101.0,89.0,18.0,15.0,20.0,23.0,73.0,92.0,1.0,5.0,8.0,,,,90.0,131.0,8.3,26.0,0.0685,0.1464,0.393017,1,,14.0,4.0,1.0,8.0,,,1.0,1.0,3.0,4.0,3.0,,1.0,,5.0,,2.0,,,,,4.0,2.0,1.0,,,,,,
10388325,home,FC Bayern München,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8484,M,marcel7sabitzer,133908,EUR,763862400,M,18,18,False,,62.0,59.0,5.0,4.0,17.0,17.0,42.0,45.0,,4.0,7.0,,,,67.0,73.0,7.2,7.0,0.0209,0.0292,0.141284,1,,,,,5.0,,,1.0,,2.0,4.0,2.0,,3.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,
10388325,home,FC Bayern München,Kingsley Coman,kingsley-coman,K. Coman,M,21,178,32905,M,KingComan,280441,EUR,834624000,M,11,11,False,,49.0,46.0,,,6.0,7.0,43.0,50.0,,8.0,5.0,,,,90.0,81.0,7.3,17.0,0.0979,0.0,0.583115,2,,8.0,3.0,,7.0,,2.0,,,,1.0,1.0,3.0,1.0,1.0,3.0,,2.0,9.0,4.0,,,,1.0,,,,,,,
10388325,home,FC Bayern München,Leroy Sané,leroy-sane,L. Sané,M,10,184,41295,M,LeroySane,293519,EUR,821318400,M,10,10,False,,30.0,29.0,,,3.0,3.0,26.0,28.0,,6.0,1.0,,,,85.0,56.0,7.8,10.0,0.7922,1.5623,0.274018,8,,1.0,,,5.0,,1.0,4.0,,,1.0,1.0,,2.0,1.0,3.0,,5.0,7.0,5.0,,,1.0,1.0,,1.0,3.0,1.0,,,
10388325,home,FC Bayern München,Thomas Müller,thomas-muller,T. Müller,F,13,186,37471,M,esmuellert,35166,EUR,621648000,F,25,25,False,,29.0,23.0,,,4.0,4.0,19.0,28.0,4.0,5.0,2.0,,,,90.0,47.0,7.4,17.0,0.3915,0.5202,0.49516,2,,3.0,,1.0,5.0,1.0,,2.0,1.0,,,,1.0,1.0,,4.0,,3.0,1.0,,,,,2.0,,,,,,,
