match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_dispossessed,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_totalOffside,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
11598376,home,Aston Villa,Emiliano Martínez,,,emiliano-martinez,E. Martínez,G,23,195,60790,M,158263,EUR,715392000,G,1,1,True,,,,,,,,,,,,,,,,,,,0,EmiMartínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,home,Aston Villa,Filip Marschall,,,filip-marschall,F. Marschall,G,1,196,131,M,994557,EUR,1051142400,G,42,42,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,home,Aston Villa,Diego Carlos,,,diego-carlos,D. Carlos,D,34,185,2746,M,604232,EUR,732153600,D,3,3,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,home,Aston Villa,Bertrand Traoré,,,bertrand-traore,B. Traoré,F,25,180,34499,M,218160,EUR,810345600,M,9,9,True,,,,,,,,,,,,,,,,,,,0,bertrandtraore10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,away,Everton,Jordan Pickford,,,jordan-pickford,J. Pickford,G,1,185,7587,M,138530,EUR,762998400,G,1,1,False,33.0,18.0,24.0,9.0,13.0,14.0,5.0,19.0,5.0,,1.0,2.0,2.0,1.0,90.0,39.0,6.7,15.0,0,jpickford1,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11598376,away,Everton,Michael Keane,,,michael-keane,M. Keane,D,5,188,1569,M,110846,EUR,726710400,D,5,5,False,35.0,26.0,5.0,1.0,18.0,22.0,8.0,15.0,4.0,,,,,,90.0,57.0,6.9,12.0,0,,2.0,,8.0,,2.0,5.0,2.0,,,,,2.0,,4.0,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,
11598376,away,Everton,James Tarkowski,,,james-tarkowski,J. Tarkowski,D,6,185,2542,M,145188,EUR,722131200,D,6,6,False,29.0,24.0,6.0,3.0,18.0,19.0,6.0,10.0,2.0,,,,,,90.0,40.0,6.8,5.0,1,,,,2.0,,2.0,,,,,,1.0,1.0,,5.0,1.0,,1.0,1.0,,True,,,,1.0,,,,,,
11598376,away,Everton,Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195,2594,M,979563,EUR,1025136000,D,32,32,False,31.0,28.0,4.0,4.0,19.0,20.0,9.0,11.0,7.0,,,,,,90.0,38.0,7.1,3.0,1,,,,4.0,,1.0,2.0,2.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,
11598376,away,Everton,Nathan Patterson,Nathan,Patterson,patterson-nathan,N. Patterson,D,2,189,657,M,1020141,EUR,1003190400,M,2,2,False,32.0,24.0,2.0,,14.0,15.0,10.0,19.0,6.0,,,,,,90.0,54.0,6.5,15.0,0,,2.0,,5.0,,1.0,3.0,2.0,2.0,,1.0,1.0,9.0,4.0,2.0,,,,3.0,,,2.0,1.0,,,,,,,,
11598376,away,Everton,James Garner,,,james-garner,J. Garner,M,37,182,3005,M,927361,EUR,984441600,M,37,37,False,27.0,22.0,2.0,1.0,10.0,10.0,12.0,17.0,6.0,,,,,,90.0,50.0,8.2,8.0,2,,,,12.0,1.0,1.0,7.0,3.0,1.0,1.0,,,2.0,,,,,2.0,1.0,,,4.0,3.0,1.0,,,,1.0,,,
11598376,away,Everton,Amadou Onana,,,amadou-onana,A. Onana,M,24,195,7169,M,923973,EUR,997920000,M,8,8,False,36.0,28.0,8.0,4.0,13.0,16.0,15.0,20.0,10.0,,,,,,78.0,44.0,7.7,9.0,1,its_onana,,,3.0,1.0,,2.0,1.0,,2.0,1.0,1.0,3.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,
11598376,away,Everton,Vitaliy Mykolenko,,,vitaliy-mykolenko,V. Mykolenko,D,16,180,4073,M,876643,EUR,927936000,M,19,19,False,8.0,7.0,1.0,,3.0,3.0,4.0,5.0,2.0,,,,,,45.0,14.0,6.4,1.0,0,mikola_16,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
11598376,away,Everton,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1167,M,829570,EUR,848448000,F,11,11,False,11.0,8.0,2.0,1.0,4.0,4.0,5.0,11.0,2.0,,,,,,65.0,27.0,7.2,11.0,0,,4.0,1.0,4.0,,2.0,1.0,1.0,2.0,2.0,,1.0,6.0,2.0,,,,1.0,1.0,2.0,,2.0,1.0,,,,1.0,,,1.0,
11598376,away,Everton,Arnaut Danjuma,,,arnaut-danjuma,A. Danjuma,F,7,178,3513,M,827064,EUR,854668800,F,10,10,False,13.0,10.0,,,3.0,4.0,7.0,10.0,6.0,,,,,,72.0,21.0,6.6,6.0,3,,1.0,,3.0,,,,,,1.0,,1.0,3.0,1.0,,,,1.0,1.0,,,2.0,1.0,,3.0,,,,,,
11598376,away,Everton,Dominic Calvert-Lewin,,,dominic-calvert-lewin,D. Calvert-Lewin,F,9,187,5843,M,372344,EUR,858470400,F,9,9,False,12.0,8.0,,,2.0,4.0,6.0,8.0,2.0,,,,,,72.0,21.0,6.9,6.0,4,CalvertLewin14,,,3.0,1.0,,,,1.0,1.0,1.0,1.0,3.0,,,,,1.0,1.0,,,2.0,1.0,3.0,,,,1.0,,,2.0
11598376,away,Everton,Ashley Young,,,ashley-young,A. Young,D,15,180,1704,M,10589,EUR,489715200,D,18,18,True,16.0,11.0,3.0,,6.0,7.0,5.0,11.0,3.0,,,,,,45.0,29.0,6.3,10.0,1,,2.0,,1.0,,1.0,1.0,1.0,,1.0,,,4.0,1.0,3.0,,,,,1.0,,2.0,,,1.0,,,,,,
11598376,away,Everton,Dwight McNeil,Dwight,McNeil,dwight-mcneil,D. McNeil,M,7,183,1967,M,935543,EUR,943228800,F,7,7,True,6.0,6.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,,,,,,25.0,8.0,6.6,1.0,0,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
11598376,away,Everton,Idrissa Gueye,,,idrissa-gueye,I. Gueye,M,27,174,21279,M,106337,EUR,622771200,M,27,27,True,5.0,2.0,,,1.0,2.0,1.0,3.0,,,,,,,18.0,11.0,6.9,3.0,0,iganagueye,,,5.0,,,3.0,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
11598376,away,Everton,Beto,,,beto,Beto,F,9,194,3386,M,987489,EUR,886204800,F,14,14,True,7.0,6.0,,,1.0,2.0,5.0,5.0,3.0,,,,,,18.0,12.0,6.6,3.0,0,,,,,,1.0,,,1.0,,2.0,,5.0,1.0,1.0,,,,2.0,,,,,,,,1.0,,,,
11598376,away,Everton,Abdoulaye Doucouré,,,abdoulaye-doucoure,A. Doucouré,M,8,182,1262,M,96535,EUR,725846400,M,16,16,True,3.0,3.0,,,3.0,3.0,,,1.0,,,,,,12.0,6.0,6.0,2.0,0,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,
11598376,away,Everton,João Virgínia,João,Virgínia,joao-virginia,J. Virgínia,G,12,191,817,M,930666,EUR,939513600,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,away,Everton,Ben Godfrey,,,ben-godfrey,B. Godfrey,D,14,183,617,M,754698,EUR,884822400,D,22,22,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,away,Everton,Youssef Chermiti,,,youssef-chermiti,Y. Chermiti,F,9,192,1801,M,1145627,EUR,1085356800,F,28,28,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,away,Everton,Lewis Dobbin,,,lewis-dobbin,L. Dobbin,F,17,175,469,M,998832,EUR,1041552000,F,61,61,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
