match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_wasFouled,stat_totalCross,stat_fouls,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceCreated,stat_goals,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12441746,home,PEC Zwolle,Mike Hauptmeijer,mike-hauptmeijer,M. Hauptmeijer,G,1,190,66,M,376448,EUR,858643200,G,40,40,False,29.0,14.0,20.0,5.0,0.0,12.0,17.0,2.0,12.0,8.0,1.0,1.0,5.0,6.0,90.0,40.0,6.4,15.0,0.00031813,0,-0.3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441746,home,PEC Zwolle,Olivier Aertssen,olivier-aertssen,O. Aertssen,D,3,185,170,M,1049446,EUR,1091836800,D,3,3,False,30.0,21.0,5.0,2.0,0.0,6.0,8.0,15.0,22.0,2.0,,,,,90.0,66.0,7.0,13.0,0.0223681,1,,,,1.0,5.0,8.0,1.0,2.0,5.0,4.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,0.0303,2.0,,,,,,,,,,,,,,,,
12441746,home,PEC Zwolle,Simon Graves,simon-graves-jensen,S. G. Jensen,D,28,191,126,M,927155,EUR,922060800,D,28,28,False,45.0,40.0,6.0,3.0,0.0,21.0,21.0,19.0,24.0,5.0,,,,,90.0,58.0,6.5,5.0,0.00728647,0,,,,1.0,2.0,4.0,1.0,,,,,9.0,,1.0,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,
12441746,home,PEC Zwolle,Anselmo Garcia McNulty,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,4,4,False,57.0,45.0,16.0,7.0,0.0,24.0,26.0,21.0,32.0,1.0,,,,,90.0,67.0,6.5,13.0,0.0296642,0,,,,1.0,3.0,1.0,,,,,,7.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,
12441746,home,PEC Zwolle,Damian van der Haar,damian-van-der-haar,D. v. d. Haar,D,33,183,49,M,1172732,EUR,1074211200,D,33,33,False,47.0,42.0,6.0,5.0,0.0,21.0,22.0,22.0,28.0,3.0,,,,,90.0,69.0,6.4,12.0,0.0841545,1,,Damian van der Haar,,,4.0,1.0,2.0,,1.0,,,,,,1.0,1.0,2.0,0.0141,1.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,
12441746,home,PEC Zwolle,Anouar El Azzouzi,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,M,6,6,False,53.0,37.0,5.0,1.0,0.0,13.0,18.0,24.0,35.0,4.0,1.0,,,,90.0,81.0,6.7,20.0,0.0212407,2,,,,3.0,9.0,14.0,2.0,1.0,4.0,2.0,1.0,7.0,,3.0,5.0,4.0,1.0,0.0588,,6.0,,1.0,,1.0,,,1.0,0.052,,,,,,,
12441746,home,PEC Zwolle,Davy van den Berg,davy-van-den-berg,D. v. d. Berg,M,6,185,272,M,1001468,EUR,949622400,M,10,10,False,39.0,37.0,1.0,,0.0,16.0,16.0,21.0,26.0,5.0,,,,,90.0,62.0,7.8,11.0,0.0351932,4,,,,3.0,5.0,5.0,,1.0,,,1.0,3.0,,,3.0,2.0,4.0,0.3402,2.0,1.0,,1.0,3.0,2.0,,1.0,2.0,0.2981,True,1.0,1.0,,,,
12441746,home,PEC Zwolle,Dylan Mbayo,dylan-mbayo,D. Mbayo,M,15,175,265,M,923968,EUR,1002758400,M,11,11,False,15.0,14.0,,,0.0,2.0,2.0,12.0,16.0,2.0,,,,,89.0,29.0,6.3,10.0,0.0143998,1,,Dylan,Mbayo,1.0,5.0,2.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,4.0,0.0259,,,,1.0,3.0,2.0,,,,,,,,1.0,,,
12441746,home,PEC Zwolle,Jamiro Monteiro,monteiro-jamiro,J. Monteiro,M,35,175,308,M,815080,EUR,754444800,M,35,35,False,46.0,42.0,4.0,3.0,1.0,15.0,16.0,29.0,34.0,11.0,,,,,90.0,68.0,7.5,12.0,0.246675,1,,Jamiro,Monteiro,,4.0,8.0,,2.0,2.0,2.0,,1.0,,,,,4.0,0.0189,2.0,,,6.0,4.0,2.0,2.0,,1.0,0.0093,,,,,,,
12441746,home,PEC Zwolle,Filip Krastev,filip-krastev,F. Krastev,M,10,178,1203,M,935556,EUR,1003104000,M,50,50,False,37.0,26.0,1.0,,1.0,4.0,6.0,22.0,31.0,4.0,,,,,90.0,69.0,6.8,23.0,0.0529936,0,,,,3.0,13.0,7.0,3.0,5.0,3.0,2.0,,2.0,,1.0,4.0,3.0,6.0,,4.0,1.0,,,,2.0,,,,,,,,,,,
