match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_challengeLost,stat_interceptionWon,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_totalCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_keyPass,stat_goals,captain,stat_accurateCross,stat_totalOffside,stat_wonContest,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork
10388440,home,Borussia M'gladbach,Tobias Sippel,tobias-sippel,T. Sippel,G,21,180,101,M,8772,EUR,574992000,G,21,21,False,44.0,27.0,21.0,4.0,25.0,25.0,2.0,19.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,90.0,52.0,6.8,17.0,0.0,0.0,0.000638,0,0.5886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,32.0,27.0,5.0,2.0,17.0,21.0,10.0,11.0,,7.0,3.0,1.0,,,,90.0,57.0,6.7,9.0,0.0,0.0,0.00839504,0,,3.0,1.0,2.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,72.0,61.0,11.0,4.0,52.0,55.0,9.0,17.0,2.0,3.0,4.0,5.0,,,,90.0,83.0,6.7,11.0,0.0,0.0,0.0153598,0,,2.0,,,1.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Tony Jantschke,tony-jantschke,T. Jantschke,D,,177,28,M,33901,EUR,639446400,D,24,24,False,57.0,52.0,4.0,,48.0,50.0,4.0,7.0,3.0,4.0,4.0,1.0,,,,80.0,66.0,6.9,5.0,0.0,0.0,0.00161639,0,,2.0,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,577726,EUR,797990400,D,25,25,False,52.0,40.0,3.0,2.0,15.0,19.0,25.0,35.0,4.0,7.0,4.0,9.0,,,,90.0,85.0,6.9,18.0,0.0959,0.0843,0.0277018,3,,5.0,,1.0,3.0,1.0,,2.0,,,,2.0,rbens,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,48.0,45.0,3.0,1.0,27.0,28.0,18.0,20.0,1.0,6.0,4.0,5.0,,,,90.0,58.0,6.8,3.0,0.0,0.0,0.0151238,0,,3.0,,,2.0,1.0,3.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,
10388440,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6974,M,974087,EUR,990057600,M,17,17,False,58.0,49.0,3.0,1.0,23.0,24.0,26.0,34.0,1.0,6.0,1.0,11.0,,,,90.0,74.0,7.5,13.0,0.0379,0.1782,0.0822149,1,,4.0,2.0,1.0,2.0,2.0,3.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,1.0,3.0,,,,,,,,,,
10388440,home,Borussia M'gladbach,Jonas Hofmann,jonas-hofmann,J. Hofmann,F,7,176,2115,M,142390,EUR,711072000,M,23,23,False,46.0,37.0,2.0,2.0,16.0,21.0,21.0,32.0,,3.0,1.0,12.0,,,,89.0,69.0,7.3,20.0,0.1706,0.4935,0.0237084,3,,4.0,,1.0,1.0,1.0,2.0,,2.0,1.0,,1.0,,7.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,
10388440,home,Borussia M'gladbach,Christoph Kramer,christoph-kramer,C. Kramer,M,,191,168,M,110967,EUR,666921600,M,6,6,False,44.0,34.0,1.0,1.0,15.0,16.0,20.0,29.0,1.0,2.0,1.0,3.0,,,,90.0,52.0,6.4,12.0,0.044,0.0,0.152149,1,,9.0,2.0,,1.0,1.0,,2.0,2.0,,,3.0,,1.0,,,1.0,,,,,2.0,,True,1.0,1.0,,,,,,
10388440,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,M,14,14,False,32.0,29.0,3.0,3.0,4.0,5.0,26.0,31.0,,4.0,1.0,5.0,,,,87.0,56.0,7.7,17.0,0.0699,0.0536,0.521712,1,,8.0,1.0,7.0,,,3.0,,,1.0,,1.0,,4.0,,1.0,,4.0,,,2.0,3.0,,,1.0,,1.0,2.0,,,,
10388440,home,Borussia M'gladbach,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25626,M,791702,EUR,870825600,F,10,10,False,20.0,18.0,,,5.0,5.0,13.0,15.0,1.0,4.0,,3.0,,,,90.0,33.0,7.5,8.0,0.313,0.7065,0.108983,3,,3.0,,1.0,1.0,,1.0,2.0,,,,2.0,m_thuram,,1.0,1.0,1.0,6.0,,,,1.0,1.0,,,1.0,1.0,,,,,
