match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_totalOffside,stat_keyPass,player_sofascoreId,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_hitWoodwork,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
10438112,home,Benfica,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,99,99,False,11.0,10.0,2.0,2.0,9.0,10.0,1.0,1.0,6.0,1.0,90.0,17.0,6.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438112,home,Benfica,Alexander Bah,,,alexander-bah,A. Bah,D,6,183,2276,M,850976,EUR,881625600,D,6,6,False,67.0,57.0,2.0,1.0,25.0,29.0,34.0,40.0,6.0,,90.0,102.0,7.7,16.0,0,2.0,2.0,1.0,2.0,5.0,10.0,1.0,1.0,2.0,6.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10438112,home,Benfica,Nicolás Otamendi,,,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,74915,EUR,571622400,D,30,30,False,76.0,70.0,6.0,5.0,48.0,53.0,22.0,23.0,12.0,,90.0,100.0,7.4,8.0,3,,,2.0,2.0,4.0,6.0,,,8.0,3.0,3.0,,1.0,,,,Notamendi30,True,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10438112,home,Benfica,Morato,,,morato,F. Morato,D,4,190,2248,M,985086,EUR,993859200,D,91,91,False,64.0,58.0,5.0,2.0,34.0,34.0,24.0,30.0,6.0,,90.0,71.0,6.6,7.0,0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,
10438112,home,Benfica,Alejandro Grimaldo,,,alejandro-grimaldo,A. Grimaldo,M,20,171,13008,M,177177,EUR,811555200,D,3,3,False,51.0,45.0,,,21.0,21.0,26.0,36.0,5.0,,90.0,83.0,7.2,14.0,0,6.0,2.0,1.0,,3.0,7.0,1.0,,2.0,2.0,1.0,3.0,,,,4.0,grimaldo35,,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,
10438112,home,Benfica,Florentino Luís,,,florentino-luis,F. Luís,M,16,184,3615,M,855845,EUR,935020800,M,61,61,False,103.0,94.0,9.0,7.0,38.0,39.0,56.0,64.0,8.0,,90.0,116.0,7.4,10.0,0,,,,1.0,2.0,5.0,,,3.0,2.0,,,2.0,,,2.0,,,,2.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,
10438112,home,Benfica,Enzo Fernández,,,enzo-fernandez,E. Fernández,M,8,177,121227,M,974505,EUR,979689600,M,13,13,False,113.0,104.0,11.0,10.0,48.0,51.0,57.0,63.0,5.0,,90.0,127.0,7.1,13.0,4,1.0,1.0,1.0,,6.0,3.0,2.0,,,2.0,1.0,1.0,1.0,,,1.0,Enzo8,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,
10438112,home,Benfica,David Neres,,,david-neres,D. Neres,F,7,175,15134,M,850993,EUR,857347200,M,7,7,False,44.0,35.0,,,10.0,10.0,27.0,41.0,3.0,,79.0,70.0,7.7,20.0,3,7.0,2.0,,,3.0,5.0,1.0,,,,,1.0,1.0,,,4.0,davidneres,,,5.0,4.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,
10438112,home,Benfica,Rafa Silva,,,rafa-silva,R. Silva,M,27,170,16782,M,252577,EUR,737596800,M,27,27,False,33.0,25.0,2.0,2.0,1.0,1.0,24.0,33.0,4.0,,79.0,46.0,7.3,11.0,3,1.0,,,,3.0,4.0,,1.0,,,,4.0,2.0,,2.0,5.0,Rafa_Silva,,1.0,,,,3.0,,1.0,,,1.0,,,,,,,,,,,
10438112,home,Benfica,João Mário,,,joao-mario,J. Mário,M,10,179,3804,M,97001,EUR,727401600,M,20,20,False,46.0,40.0,2.0,1.0,3.0,4.0,39.0,49.0,6.0,,90.0,64.0,8.8,12.0,4,7.0,2.0,,,3.0,1.0,,2.0,,,,,2.0,,,3.0,JoaoMario,,,2.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,
