match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_totalContest,stat_wasFouled,stat_dispossessed,stat_blockedScoringAttempt,stat_challengeLost,stat_interceptionWon,stat_penaltyConceded,captain,stat_accurateCross,stat_wonContest,stat_punches,stat_penaltyWon,stat_totalOffside
12514158,home,Casa Pia,Cassiano,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,90,90,False,13.0,10.0,,,0.0,4.0,5.0,7.0,9.0,,1.0,2.0,,,,,88.0,23.0,6.6,7.0,0.0226158,1,,,,5.0,7.0,,,,1.0,,,3.0,2.0,0.2427,0.8758,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,
12514158,home,Casa Pia,Andrian Kraev,andrian-kraev,A. Kraev,M,6,191,280,M,857374,EUR,918950400,M,89,89,True,10.0,8.0,2.0,1.0,0.0,4.0,4.0,4.0,6.0,1.0,2.0,,,,,,15.0,11.0,6.7,2.0,0.0085522,0,,,,1.0,2.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
12514158,home,Casa Pia,Max Svensson,max-svensson,M. Svensson,F,9,182,45,M,1085569,EUR,1005177600,F,9,9,True,9.0,7.0,,,0.0,2.0,2.0,5.0,7.0,1.0,7.0,2.0,,,,,15.0,20.0,7.4,4.0,0.171692,2,,,,,1.0,,,1.0,,,,2.0,1.0,0.0641,,1.0,,,1.0,1.0,3.0,2.0,,1.0,,,,,,3.0,,,
12514158,home,Casa Pia,Nuno Moreira,nuno-moreira,N. Moreira,M,17,173,4313,M,851285,EUR,929491200,M,7,7,True,2.0,1.0,1.0,,0.0,,,1.0,3.0,,1.0,,,,,,2.0,7.0,,4.0,0.00054276,0,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
12514158,home,Casa Pia,Samuel Obeng,samuel-obeng,S. Obeng,F,20,183,624,M,950142,EUR,863654400,F,77,77,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,2.0,1.0,,,0.00034447,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,home,Casa Pia,Ricardo Batista,ricardo-batista,R. Batista,G,33,193,111,M,9668,EUR,532656000,G,33,33,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,home,Casa Pia,André Geraldes,andre-geraldes,A. Geraldes,D,18,181,32,M,125039,EUR,673142400,D,18,18,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,home,Casa Pia,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,home,Casa Pia,Fahem Benaissa-Yahia,fahem-benaissa-yahia,F. Benaissa-Yahia,M,50,188,115,M,1529932,EUR,1020038400,D,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,home,Casa Pia,Beni Mukendi,beni-mukendi,B. Mukendi,M,16,180,646,M,1002367,EUR,1021939200,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Simão,simao,Simão,G,93,187,92,M,981817,EUR,738979200,G,93,93,False,27.0,18.0,14.0,6.0,0.0,14.0,18.0,4.0,9.0,2.0,2.0,7.0,,4.0,,4.0,90.0,37.0,7.3,10.0,0.00067013,0,1.5349,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,
12514158,away,AVS - Futebol SAD,Ignacio Rodríguez,ignacio-rodriguez,I. Rodríguez,D,4,188,64,M,1104158,EUR,1068422400,D,4,4,False,54.0,38.0,9.0,3.0,0.0,24.0,30.0,14.0,24.0,2.0,5.0,2.0,,,,,90.0,64.0,6.7,16.0,0.0307675,0,,Ignacio Rodríguez,,1.0,5.0,,,,,,4.0,,3.0,,,,,,3.0,3.0,,,,,1.0,1.0,,,,,,,
12514158,away,AVS - Futebol SAD,Cristian Castro,cristian-castro,C. Castro,D,42,192,155,M,1067320,EUR,980380800,D,42,42,False,57.0,50.0,5.0,1.0,0.0,37.0,37.0,13.0,20.0,2.0,2.0,5.0,,,,,90.0,62.0,6.4,8.0,0.00992117,0,,Cristian Castro,,1.0,3.0,,,,,,3.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
12514158,away,AVS - Futebol SAD,Baptiste Roux,baptiste-roux,B. Roux,D,5,190,62,M,1049576,EUR,943574400,D,6,6,False,52.0,42.0,5.0,2.0,0.0,28.0,31.0,14.0,21.0,3.0,5.0,6.0,,,,,90.0,61.0,6.9,11.0,0.0133507,0,,,,1.0,3.0,,,,,,4.0,,1.0,,,,,1.0,2.0,2.0,,,,,1.0,,,,,,,,
12514158,away,AVS - Futebol SAD,Fernando Fonseca,fernando-fonseca,F. Fonseca,D,2,182,49,M,792666,EUR,858297600,M,2,2,False,36.0,21.0,5.0,2.0,0.0,7.0,14.0,15.0,24.0,2.0,5.0,6.0,,,,,90.0,65.0,6.9,18.0,0.0436608,0,,,,,3.0,,,,,,5.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,1.0,,,,
12514158,away,AVS - Futebol SAD,Gustavo Assunção,gustavo-assuncao,G. Assunção,M,12,178,266,M,981217,EUR,954374400,M,12,12,False,67.0,58.0,3.0,1.0,0.0,34.0,36.0,24.0,31.0,1.0,4.0,3.0,,,,,89.0,79.0,7.4,14.0,0.0286176,1,,,,1.0,7.0,,,,1.0,1.0,2.0,4.0,2.0,0.7884,0.873,1.0,,,,,,3.0,1.0,,3.0,,,,,,,1.0,
12514158,away,AVS - Futebol SAD,Luís Silva,luis-silva,L. Silva,M,7,182,16,M,170131,EUR,717724800,M,7,7,False,51.0,44.0,6.0,4.0,0.0,20.0,20.0,24.0,31.0,1.0,5.0,4.0,,,,,82.0,59.0,6.9,8.0,0.018557,0,,,,,2.0,,,,,,2.0,,2.0,,,,,,3.0,2.0,,1.0,,,,,,True,,,,,
12514158,away,AVS - Futebol SAD,Kiki Afonso,kiki-afonso,K. Afonso,D,24,181,59,M,324345,EUR,787017600,M,24,24,False,19.0,17.0,,,0.0,8.0,8.0,9.0,16.0,1.0,2.0,1.0,,,,,60.0,32.0,6.7,8.0,0.0194449,0,,,,,2.0,,,,,,1.0,1.0,2.0,,,,5.0,1.0,,,,1.0,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,John Mercado,john-mercado,John Mercado,F,7,184,889,M,1002514,EUR,1023062400,F,17,17,False,23.0,16.0,,,0.0,5.0,6.0,11.0,19.0,2.0,2.0,3.0,,,,,82.0,36.0,6.3,17.0,0.0199207,0,,,,2.0,5.0,,,,,,1.0,4.0,1.0,,,1.0,2.0,,,,3.0,,,,,,,,,,,,1.0
12514158,away,AVS - Futebol SAD,Lucas Piazón,lucas-piazon,L. Piazón,M,12,182,408,M,156025,EUR,759024000,F,14,14,False,37.0,32.0,,,0.0,9.0,9.0,23.0,29.0,1.0,3.0,7.0,,,,,90.0,53.0,7.1,13.0,0.0273439,2,,,,,3.0,,,1.0,1.0,,,4.0,,0.1285,0.1172,1.0,1.0,,,,3.0,,2.0,,,2.0,,,,2.0,,,
12514158,away,AVS - Futebol SAD,Zé Luís,ze-luis,Z. Luís,F,,185,236,M,101973,EUR,664675200,F,29,29,False,22.0,16.0,,,0.0,6.0,6.0,10.0,17.0,2.0,5.0,3.0,,,,,81.0,32.0,7.0,8.0,0.00941347,2,,,,1.0,1.0,,,,1.0,,1.0,1.0,,0.018,0.0553,,1.0,1.0,,,1.0,2.0,,1.0,,,,,,1.0,,,1.0
12514158,away,AVS - Futebol SAD,Babatunde Akinsola,akinsola-babatunde,B. Akinsola,F,11,175,163,M,1133063,EUR,1047254400,F,11,11,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,5.0,,1.0,1.0,,,,,30.0,18.0,6.6,7.0,0.00383432,0,,,,,1.0,,,,,,1.0,3.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Nenê,nene,Nenê,F,18,183,194,M,44685,EUR,428198400,F,18,18,True,4.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,,,2.0,,,,,9.0,6.0,6.6,1.0,0.00025666,1,,,,,,,,1.0,,,,1.0,,0.0049,,,,,,,,,,,,,,,,,,,1.0
12514158,away,AVS - Futebol SAD,Gustavo Mendonca,mendonca-gustavo,G. Mendonça,M,23,176,44,M,1006114,EUR,1047340800,M,23,23,True,9.0,8.0,,,0.0,3.0,4.0,5.0,5.0,1.0,3.0,1.0,,,,,8.0,13.0,6.8,2.0,0.0236226,1,,,,,1.0,,,1.0,,,,,1.0,0.0261,,,,,,,,2.0,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Vasco Lopes,vasco-lopes,V. Lopes,F,7,185,105,M,1111214,EUR,936230400,F,10,10,True,9.0,7.0,,,0.0,3.0,4.0,4.0,5.0,,1.0,2.0,,,,,8.0,13.0,6.5,4.0,0.00365021,0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Jonatan Lucca,jonatan-lucca,J. Lucca,M,,184,49,M,268407,EUR,770515200,M,47,47,True,,,,,0.0,,,,,,,,,,,,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Pedro Trigueira,pedro-trigueira,P. Trigueira,G,88,192,38,M,61123,EUR,568252800,G,88,88,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Léo Alaba,leo-alaba,L. Alaba,D,22,179,54,M,1105945,EUR,930787200,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Issiaka Kamate,kamate-issiaka,I. Kamate,M,41,186,932,M,1176557,EUR,1091404800,M,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514158,away,AVS - Futebol SAD,Rodrigo Ribeiro,ribeiro-rodrigo,R. Ribeiro,F,21,185,1511,M,1215904,EUR,1114646400,F,20,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
