match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialLost,player_sofascoreId,captain,stat_aerialWon,stat_wasFouled,stat_hitWoodwork,stat_outfielderBlock,stat_keyPass,stat_onTargetScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_clearanceOffLine
10389960,home,RC Strasbourg,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,1,1,False,15.0,8.0,12.0,5.0,7.0,9.0,1.0,6.0,6.0,1.0,1.0,2.0,4.0,90.0,27.0,7.5,8.0,0.0,0.0,0.00023228,0,0.5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389960,home,RC Strasbourg,Colin Dagba,dagba-colin,C. Dagba,D,2,168,499,M,941300,EUR,905299200,D,2,2,False,37.0,29.0,3.0,1.0,14.0,14.0,15.0,25.0,6.0,1.0,,,,69.0,70.0,6.8,16.0,0.0867,0.0,0.0193935,1,,2.0,7.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,
10389960,home,RC Strasbourg,Ismael Doukouré,ismael-doukoure,I. Doukouré,D,6,183,1100,M,1049517,EUR,1059004800,D,29,29,False,30.0,27.0,2.0,,17.0,18.0,10.0,12.0,8.0,1.0,,,,90.0,47.0,7.0,5.0,0.0,0.0,0.00395056,0,,,7.0,3.0,,,2.0,1.0,,3.0,1.0,2.0,1.0,2.0,Ismael Doukoure,,4.0,,,,,,,,,,,,,,
10389960,home,RC Strasbourg,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182,4730,M,289977,EUR,776390400,D,24,24,False,38.0,27.0,9.0,4.0,16.0,19.0,11.0,19.0,11.0,,,,,90.0,51.0,7.4,11.0,0.0,0.0,0.00503951,0,,,1.0,8.0,,,,,,6.0,1.0,3.0,2.0,1.0,,,,alex_djiku,True,4.0,1.0,,,,,,,,,,
10389960,home,RC Strasbourg,Maxime Le Marchand,maxime-le-marchand,M. Le Marchand,D,23,184,46,,55052,EUR,624067200,D,23,23,False,38.0,29.0,4.0,3.0,11.0,15.0,18.0,24.0,6.0,2.0,,,,89.0,58.0,7.3,16.0,0.0316,0.0,0.0798986,1,,1.0,4.0,6.0,,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,,,,,,2.0,,1.0,1.0,,,,,,,,
10389960,home,RC Strasbourg,Jean-Eudes Aholou,jean-eudes-aholou,J. Aholou,M,6,187,438,M,156004,EUR,764121600,M,6,6,False,37.0,19.0,2.0,,4.0,5.0,15.0,32.0,4.0,2.0,,,,69.0,49.0,6.7,22.0,0.0,0.0,0.0966861,0,,,3.0,3.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,
10389960,home,RC Strasbourg,Habib Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,1128532,EUR,1073088000,M,19,19,False,32.0,24.0,6.0,2.0,14.0,15.0,10.0,18.0,10.0,1.0,,,,88.0,45.0,7.3,10.0,0.0127,0.3175,0.0054751,1,,1.0,1.0,6.0,,,1.0,1.0,,1.0,,4.0,3.0,,Habib,Diarra,1.0,,,,1.0,,,,1.0,,,,,,
10389960,home,RC Strasbourg,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,28999,M,845273,EUR,898905600,M,17,17,False,25.0,21.0,3.0,2.0,8.0,8.0,18.0,25.0,8.0,,,,,90.0,45.0,8.1,8.0,0.0267,0.0,0.607287,1,,8.0,2.0,7.0,,,3.0,2.0,1.0,,2.0,1.0,,,,,1.0,,,,4.0,,,5.0,,5.0,,,,,
10389960,home,RC Strasbourg,Adrien Thomasson,adrien-thomasson,A. Thomasson,M,28,177,523,M,231946,EUR,755481600,M,10,10,False,46.0,33.0,,,14.0,14.0,19.0,33.0,7.0,2.0,,,,90.0,59.0,6.7,17.0,0.7289,0.9464,0.223773,4,,1.0,3.0,3.0,,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,2.0,1.0,1.0,
10389960,home,RC Strasbourg,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1367,M,343971,EUR,762134400,F,25,25,False,7.0,6.0,,,1.0,1.0,5.0,6.0,1.0,2.0,,,,45.0,11.0,6.6,3.0,0.1223,0.246,0.00439228,1,,,3.0,,,,,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,
