match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_dispossessed,captain,stat_totalClearance,stat_lastManTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,stat_penaltyMiss,stat_totalOffside,stat_penaltyWon,stat_penaltyConceded,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_punches,stat_clearanceOffLine,stat_errorLeadToAShot
11352580,home,Liverpool,Alisson,alisson,Alisson,G,1,193,64760,M,AlissonBecker,243609,EUR,717984000,G,1,1,False,42.0,37.0,6.0,1.0,37.0,39.0,3.0,1.0,6.0,1.0,1.0,1.0,90.0,50.0,6.4,5.0,0.00014409,0,-0.6061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Trent Alexander-Arnold,trent-alexander-arnold,T. Alexander-Arnold,D,12,180,210733,M,TrentAA,795064,EUR,907718400,D,66,66,False,61.0,41.0,18.0,7.0,14.0,16.0,58.0,5.0,10.0,1.0,,,90.0,93.0,7.0,32.0,0.228304,3,,29.0,13.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,0.3089,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Ibrahima Konaté,ibrahima-konate,I. Konaté,D,5,195,27499,M,ibrahimakonate,826215,EUR,927590400,D,5,5,False,55.0,49.0,8.0,5.0,30.0,31.0,24.0,11.0,3.0,4.0,,,90.0,67.0,6.9,7.0,0.0842133,1,,19.0,,,3.0,,,,,,1.0,,,2.0,1.0,0.0525,1.0,,,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Virgil van Dijk,virgil-van-dijk,V. van Dijk,D,4,195,98613,M,VvD,151545,EUR,678931200,D,4,4,False,64.0,60.0,10.0,7.0,35.0,35.0,29.0,2.0,10.0,,,,90.0,71.0,6.7,6.0,0.00977492,1,,25.0,,,2.0,,1.0,,,,1.0,,,1.0,1.0,0.0707,,,,,1.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Joe Gomez,joe-gomez,J. Gomez,D,2,188,14125,M,joegomez5,318927,EUR,864345600,D,2,2,False,44.0,38.0,4.0,3.0,17.0,18.0,27.0,3.0,7.0,,,,90.0,62.0,6.7,11.0,0.0193343,0,,21.0,1.0,,4.0,,3.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
11352580,home,Liverpool,Dominik Szoboszlai,dominik-szoboszlai,D. Szoboszlai,M,8,187,72138,M,DomSzobo,869856,EUR,972432000,M,8,8,False,39.0,33.0,2.0,2.0,9.0,9.0,34.0,4.0,5.0,,,,64.0,59.0,7.2,12.0,0.338078,3,,25.0,4.0,1.0,3.0,,3.0,2.0,,,3.0,,1.0,2.0,1.0,0.1431,3.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Wataru Endo,wataru-endo,W. Endo,M,3,178,19869,M,endowataru,143040,EUR,729216000,M,3,3,False,69.0,63.0,6.0,3.0,29.0,32.0,39.0,3.0,3.0,2.0,,,75.0,83.0,7.1,8.0,0.262356,2,,35.0,2.0,1.0,7.0,3.0,,,,1.0,1.0,,3.0,1.0,,0.0769,3.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,
11352580,home,Liverpool,Curtis Jones,curtis-jones,C. Jones,M,17,185,17569,M,curtisjones,927353,EUR,980812800,M,17,17,False,54.0,49.0,,,16.0,17.0,37.0,6.0,10.0,2.0,,,90.0,75.0,8.6,9.0,0.0505089,5,,33.0,,,4.0,1.0,2.0,2.0,,,2.0,,,2.0,2.0,1.3651,2.0,,,1.0,,1.0,,,,2.0,1.0,,3.0,1.0,0.9664,,,,,,,,,,,,
11352580,home,Liverpool,Mohamed Salah,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,39.0,25.0,2.0,1.0,5.0,5.0,36.0,2.0,2.0,1.0,,,90.0,64.0,9.2,23.0,1.1684,6,,21.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,,2.0,,,,,2.7032,5.0,,,,,2.0,,,,3.0,1.0,,4.0,2.0,2.8263,1.0,3.0,1.0,,,,,,,,,
11352580,home,Liverpool,Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,9,9,False,11.0,8.0,,,2.0,2.0,9.0,3.0,2.0,,,,64.0,28.0,6.8,8.0,0.615651,8,,6.0,,,10.0,1.0,2.0,1.0,3.0,3.0,,,,1.0,,1.7017,2.0,,,5.0,1.0,1.0,,,,2.0,2.0,,5.0,,2.1933,1.0,1.0,,1.0,,,,,,,,
