match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,captain,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_errorLeadToAShot,stat_wasFouled,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_fouls,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_penaltyConceded,stat_blockedScoringAttempt,stat_bigChanceMissed,player_firstName,player_lastName,stat_totalOffside,stat_hitWoodwork,stat_lastManTackle,stat_penaltyMiss
14025077,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,47.0,27.0,37.0,17.0,0.0,13.0,15.0,14.0,32.0,1.0,1.0,2.0,11.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,90.0,57.0,8.7,20.0,0.0033391,0.7979,0,1.5401,0.23,0.09,0.4,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025077,home,Everton,Jake O'Brien,jake-obrien,J. O'Brien,D,15,197,1429,M,,998253,EUR,989884800,D,15,15,False,27.0,18.0,3.0,,0.0,11.0,12.0,7.0,15.0,4.0,6.0,2.0,1.0,,,,,,,,,90.0,45.0,6.7,16.0,0.00585719,,0,,-0.15,-0.34,0.14,,3.0,1.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025077,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,6,6,False,43.0,32.0,11.0,4.0,0.0,24.0,26.0,8.0,17.0,5.0,8.0,10.0,3.0,,,,,,,,,90.0,56.0,6.9,11.0,0.00268317,,0,,-0.13,0.05,-0.19,,,,2.0,,1.0,,,True,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14025077,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188,1573,M,,110846,EUR,726710400,D,5,5,False,25.0,23.0,7.0,5.0,0.0,15.0,16.0,8.0,9.0,2.0,4.0,11.0,1.0,,,,,,,,,90.0,38.0,7.3,2.0,0.00784674,,0,,0.24,0.01,0.16,,,,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14025077,home,Everton,James Garner,james-garner,J. Garner,M,37,182,3008,M,,927361,EUR,984441600,D,37,37,False,39.0,30.0,4.0,1.0,0.0,16.0,19.0,14.0,20.0,2.0,3.0,9.0,5.0,,,,,,,,,90.0,69.0,8.1,12.0,0.0663066,,2,,0.28,0.04,-0.09,,2.0,1.0,6.0,,,1.0,1.0,,1.0,5.0,,,,1.0,1.0,1.0,1.0,0.0414,0.0606,2.0,0.54,,,,,,,,,,,,,
14025077,home,Everton,Tim Iroegbunam,tim-iroegbunam,T. Iroegbunam,M,42,182,764,M,,1085950,EUR,1056931200,M,42,42,False,22.0,12.0,1.0,1.0,0.0,8.0,11.0,4.0,11.0,3.0,7.0,,6.0,,,,,,,,,71.0,36.0,6.9,11.0,0.00176933,,1,,-0.11,0.11,0.23,,,,3.0,1.0,1.0,,,,,,1.0,,3.0,1.0,,,3.0,0.0799,,,-0.07,2.0,2.0,,,,,,,,,,,
14025077,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,40.0,35.0,,,0.0,14.0,15.0,21.0,25.0,3.0,8.0,1.0,2.0,,,,,,,,,90.0,52.0,7.4,7.0,0.014911,,0,,0.17,0.08,0.27,,,,3.0,1.0,1.0,2.0,1.0,,2.0,,1.0,,2.0,,,,2.0,,,,,,,1.0,,,,,,,,,,
14025077,home,Everton,Iliman Ndiaye,iliman-ndiaye,I. Ndiaye,M,10,180,54701,M,ilimanndiaye10,914309,EUR,952300800,M,10,10,False,11.0,10.0,,,0.0,4.0,4.0,6.0,7.0,,8.0,,4.0,,,,,,,,,64.0,30.0,7.5,8.0,0.00336475,,2,,-0.02,0.19,0.17,,,,7.0,2.0,5.0,3.0,1.0,,,1.0,3.0,,2.0,,2.0,1.0,1.0,0.7257,1.1491,,0.35,,2.0,3.0,,,,,,,,,,
14025077,home,Everton,Kiernan Dewsbury-Hall,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178,10632,M,kdh_8,861970,EUR,905040000,M,22,22,False,40.0,35.0,5.0,3.0,0.0,10.0,11.0,25.0,29.0,1.0,5.0,,2.0,,,,,,,,,90.0,58.0,7.3,10.0,0.172665,,0,,0.43,0.3,-0.06,,4.0,2.0,5.0,,1.0,,,,4.0,,1.0,,3.0,,,,1.0,,,4.0,,,2.0,3.0,1.0,1.0,,,,,,,,
14025077,home,Everton,Jack Grealish,jack-grealish,J. Grealish,M,18,180,58418,M,JGrealish,189061,EUR,810691200,M,18,18,False,35.0,29.0,1.0,,2.0,5.0,6.0,24.0,29.0,1.0,6.0,,7.0,,,,,,,,,89.0,57.0,8.7,16.0,0.698578,,1,,0.92,0.39,0.29,,2.0,,8.0,3.0,5.0,3.0,3.0,,1.0,,1.0,,1.0,,,,,0.0094,,3.0,-0.21,1.0,,1.0,1.0,,1.0,,,,,,,
