match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_wasFouled,stat_bigChanceMissed,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_dispossessed,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyWon
11406760,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3101,M,865646,EUR,962409600,G,29,29,False,17.0,8.0,11.0,2.0,7.0,8.0,1.0,9.0,10.0,1.0,3.0,1.0,5.0,90.0,28.0,7.3,9.0,0.00017358,0,0.5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406760,home,Atalanta,Marten de Roon,marten-de-roon,M. de Roon,M,15,185,1856,M,100389,EUR,670204800,D,15,15,False,72.0,62.0,11.0,5.0,29.0,32.0,33.0,40.0,6.0,,,,,90.0,83.0,6.7,10.0,0.0550366,2,,True,1.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0595,,,,,,,,,,,,,,,,,,,,,,,,
11406760,home,Atalanta,Isak Hien,hien-isak,I. Hien,D,4,191,2306,M,1157713,EUR,916185600,D,4,4,False,37.0,35.0,3.0,2.0,28.0,29.0,7.0,8.0,5.0,,,,,90.0,46.0,6.7,2.0,0.00203961,0,,,2.0,4.0,7.0,,,4.0,,1.0,1.0,,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11406760,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,151003,EUR,730080000,D,19,19,False,53.0,46.0,6.0,3.0,24.0,28.0,22.0,25.0,2.0,,,,,90.0,64.0,7.1,7.0,0.02161,2,,,3.0,3.0,5.0,,2.0,1.0,5.0,2.0,2.0,,,0.2773,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11406760,home,Atalanta,Hans Hateboer,hans-hateboer,H. Hateboer,D,33,185,622,M,356352,EUR,758073600,M,33,33,False,42.0,40.0,,,11.0,13.0,31.0,32.0,,,,,,90.0,63.0,7.4,4.0,0.0978473,1,,,,1.0,4.0,,,1.0,,1.0,,,1.0,0.0212,2.0,,,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.1145,3.0,,,,,,,,,,,,
11406760,home,Atalanta,Mario Pašalić,mario-pasalic,M. Pašalić,M,20,189,7385,M,190437,EUR,792288000,M,8,8,False,62.0,54.0,4.0,2.0,17.0,19.0,37.0,43.0,5.0,,,,,75.0,72.0,7.1,10.0,0.165482,2,,,2.0,4.0,1.0,1.0,1.0,1.0,,,,,,0.261,1.0,,1.0,,,,,1.0,,1.0,0.2236,,pasalicmario,1.0,,,,,,,,,,
11406760,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7659,M,946888,EUR,931305600,M,13,13,False,61.0,56.0,5.0,5.0,28.0,30.0,28.0,32.0,5.0,,,,,88.0,75.0,7.4,9.0,0.0447837,3,,,2.0,4.0,4.0,,,,1.0,,,,,0.0923,3.0,,,1.0,,1.0,1.0,2.0,,,0.144,,ederson99,2.0,,,1.0,,,,,,,
11406760,home,Atalanta,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2490,M,965011,EUR,1026345600,M,22,22,False,26.0,22.0,2.0,,11.0,11.0,13.0,20.0,3.0,,,,,58.0,35.0,6.6,7.0,0.196366,0,,,,1.0,,1.0,,,,,,,,,,,,5.0,2.0,,,,,,,1.0,,,,,,,,,,,,
11406760,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192,14835,M,960441,EUR,984182400,F,17,17,False,26.0,20.0,2.0,1.0,2.0,2.0,18.0,26.0,3.0,,,,,58.0,47.0,9.2,14.0,0.0432946,4,,,1.0,7.0,6.0,,1.0,,,2.0,2.0,,,1.2195,,3.0,,2.0,,3.0,1.0,3.0,,,1.2783,2.0,cdk,4.0,,,,1.0,2.0,1.0,,,,
11406760,home,Atalanta,Teun Koopmeiners,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,803033,EUR,888624000,F,7,7,False,67.0,59.0,4.0,,12.0,13.0,49.0,60.0,7.0,,,,,90.0,87.0,7.3,19.0,0.431217,4,,,,9.0,2.0,1.0,3.0,,,,,,2.0,0.5453,,1.0,1.0,6.0,2.0,5.0,1.0,,,1.0,,3.0,teunkoopmeiners,2.0,,,1.0,1.0,,1.0,1.0,2.0,,
