match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,captain,stat_onTargetScoringAttempt,stat_goalAssist,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_bigChanceCreated
11360028,home,SSV Jahn Regensburg,Felix Gebhardt,Felix,Gebhardt,felix-gebhardt,F. Gebhardt,G,1,188,53,M,927379,EUR,1014940800,G,1,1,False,17.0,9.0,14.0,6.0,5.0,5.0,4.0,12.0,1.0,2.0,2.0,2.0,1.0,1.0,90.0,20.0,6.5,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Benedikt Saller,Benedikt,Saller,benedikt-saller,B. Saller,D,6,177,10,M,142118,EUR,717120000,D,6,6,False,24.0,21.0,4.0,2.0,9.0,9.0,12.0,17.0,,3.0,,,,,76.0,36.0,6.1,8.0,0,2.0,7.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Florian Ballas,,,florian-ballas,F. Ballas,D,,196,15,M,164963,EUR,726451200,D,4,4,False,23.0,12.0,9.0,3.0,5.0,8.0,7.0,15.0,,3.0,,,,,90.0,32.0,6.8,12.0,2,,3.0,9.0,,,1.0,2.0,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Louis Breunig,Louis,Breunig,louis-breunig,L. Breunig,D,16,188,35,M,1127405,EUR,1068768000,D,16,16,False,16.0,11.0,2.0,,9.0,10.0,3.0,7.0,2.0,3.0,,,,,90.0,24.0,6.5,6.0,0,1.0,5.0,2.0,,,1.0,,1.0,4.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Bryan-Anthony Chibuike Hein,,,bryan-anthony-chibuike-hein,B. C. Hein,D,,182,21,M,1440822,EUR,1001376000,D,3,3,False,10.0,1.0,5.0,,,3.0,1.0,8.0,1.0,4.0,,,,,87.0,33.0,6.0,18.0,0,1.0,5.0,3.0,,,2.0,,2.0,1.0,,,,,,2.0,3.0,,,2.0,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Rasim Bulić,,,rasim-bulic,R. Bulić,D,6,196,37,M,987471,EUR,976406400,M,5,5,False,17.0,7.0,5.0,2.0,1.0,6.0,6.0,11.0,,3.0,,,,,90.0,27.0,6.6,13.0,0,,5.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Andreas Geipl,Andreas,Geipl,andreas-geipl,A. Geipl,M,8,180,13,M,142221,EUR,703814400,M,8,8,False,34.0,20.0,9.0,3.0,5.0,6.0,15.0,28.0,,8.0,,,,,90.0,51.0,6.9,17.0,4,,4.0,5.0,2.0,1.0,2.0,,1.0,,2.0,3.0,,,,2.0,3.0,,,,,True,1.0,,,,,,,
11360028,home,SSV Jahn Regensburg,Konrad Faber,,,konrad-faber,K. Faber,D,2,176,61,M,939622,EUR,878601600,M,11,11,False,18.0,14.0,3.0,1.0,6.0,7.0,9.0,17.0,,8.0,,,,,90.0,40.0,7.4,11.0,0,6.0,3.0,9.0,,1.0,1.0,4.0,1.0,,,,,,3.0,,3.0,1.0,2.0,3.0,2.0,,,1.0,,,,,,
11360028,home,SSV Jahn Regensburg,Christian Viet,,,christian-viet,C. Viet,M,10,183,1628,M,882005,EUR,922492800,M,10,10,False,21.0,14.0,,,5.0,7.0,9.0,14.0,1.0,4.0,,,,,65.0,30.0,6.2,11.0,1,,5.0,4.0,1.0,3.0,,,,,3.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,
11360028,home,SSV Jahn Regensburg,Dominik Kother,,,dominik-kother,D. Kother,M,31,180,80,M,987600,EUR,953164800,M,27,27,False,14.0,10.0,6.0,3.0,4.0,5.0,8.0,17.0,1.0,4.0,,,,,88.0,36.0,7.3,12.0,2,8.0,10.0,2.0,1.0,,2.0,2.0,6.0,3.0,,1.0,,,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,
