match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_challengeLost,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_goals,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,captain,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_hitWoodwork
10407196,home,KAA Gent,Paul Nardi,,,paul-nardi,P. Nardi,G,16,187,115,M,155717,EUR,769219200,G,1,1,False,18.0,12.0,10.0,4.0,11.0,11.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,20.0,7.1,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407196,home,KAA Gent,Joseph Okumu,,,joseph-okumu,J. Okumu,D,2,193,662,M,985933,EUR,864604800,D,2,2,False,55.0,42.0,9.0,4.0,26.0,32.0,17.0,24.0,2.0,14.0,,,,90.0,73.0,7.3,17.0,2,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10407196,home,KAA Gent,Michael Ngadeu,,,michael-ngadeu,M. Ngadeu,D,5,190,816,M,245705,EUR,659318400,D,5,5,False,44.0,43.0,6.0,6.0,33.0,34.0,10.0,10.0,3.0,2.0,,,,90.0,48.0,7.2,1.0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10407196,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,603,M,801003,EUR,870912000,D,23,23,False,60.0,47.0,11.0,4.0,35.0,40.0,12.0,20.0,4.0,4.0,,,,90.0,72.0,7.0,16.0,1,,,,1.0,3.0,1.0,2.0,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
10407196,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,40.0,32.0,5.0,4.0,15.0,18.0,17.0,24.0,,7.0,,,,90.0,82.0,7.8,20.0,2,2.0,,2.0,2.0,10.0,10.0,,,,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,7.0,3.0,1.0,1.0,2.0,1.0,,,,,,,
10407196,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,164,M,45990,EUR,572832000,M,24,24,False,60.0,53.0,10.0,5.0,20.0,22.0,34.0,41.0,,6.0,,,,75.0,68.0,6.9,9.0,1,3.0,1.0,1.0,2.0,2.0,2.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,
10407196,home,KAA Gent,Elisha Owusu,,,elisha-owusu,E. Owusu,M,42,179,1294,M,904424,EUR,878860800,M,6,6,False,27.0,22.0,1.0,,10.0,14.0,12.0,13.0,,8.0,,,,58.0,34.0,6.2,8.0,0,,,1.0,,7.0,3.0,1.0,,,,,,,3.0,,,1.0,,1.0,,,,3.0,,,,,,,,
10407196,home,KAA Gent,Núrio Fortuna,Núrio,Fortuna,nurio-fortuna,N. Fortuna,D,25,177,290,M,385388,EUR,796003200,M,25,25,False,22.0,18.0,2.0,,7.0,7.0,12.0,18.0,1.0,3.0,,,,79.0,40.0,7.5,10.0,3,3.0,1.0,,1.0,4.0,3.0,1.0,,1.0,1.0,,,1.0,2.0,3.0,1.0,,,1.0,,,1.0,2.0,1.0,1.0,,,,,,
10407196,home,KAA Gent,Vadis Odjidja-Ofoe,Vadis,Odjidja-Ofoe,vadis-odjidja-ofoe,V. Odjidja-Ofoe,M,8,185,357,M,17806,EUR,604022400,F,8,8,False,36.0,25.0,3.0,3.0,8.0,12.0,17.0,24.0,,4.0,,,,76.0,47.0,8.0,14.0,4,,,1.0,,4.0,,1.0,,1.0,,,,,,1.0,3.0,,,1.0,,1.0,1.0,1.0,,,True,,,,,
10407196,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1406,M,836289,EUR,855273600,F,11,11,False,17.0,11.0,1.0,,4.0,6.0,7.0,11.0,,3.0,,,,75.0,27.0,6.0,10.0,3,,,5.0,3.0,11.0,3.0,1.0,2.0,1.0,,,,,,1.0,2.0,2.0,,2.0,,1.0,,2.0,2.0,,,,,,,
