match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalCross,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,stat_totalOffside,stat_keyPass,stat_dispossessed,stat_penaltyConceded,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_blockedScoringAttempt,stat_wonContest,captain,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_crossNotClaimed,stat_goodHighClaim,stat_punches,stat_penaltyWon
11406879,home,Salernitana,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,20.0,16.0,5.0,1.0,16.0,18.0,2.0,6.0,1.0,1.0,1.0,90.0,26.0,6.1,5.0,7.119e-05,0,-1.0863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406879,home,Salernitana,Niccolò Pierozzi,,,niccolo-pierozzi,N. Pierozzi,M,27,184,211,M,,970938,EUR,1000252800,D,27,27,False,18.0,15.0,1.0,,8.0,8.0,10.0,1.0,,,,41.0,23.0,6.4,5.0,0.00163157,0,,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406879,home,Salernitana,Jérôme Boateng,,,jerome-boateng,J. Boateng,D,,192,1892,,,19382,EUR,589248000,D,5,5,False,49.0,42.0,6.0,2.0,26.0,28.0,22.0,3.0,,,,59.0,56.0,6.9,8.0,0.0575849,0,,16.0,4.0,2.0,4.0,,,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11406879,home,Salernitana,Marco Pellegrino,Marco Pellegrino,,pellegrino-marco,M. Pellegrino,D,26,184,1270,M,,1095023,EUR,1026950400,D,24,24,False,68.0,62.0,2.0,,43.0,46.0,23.0,6.0,,,,90.0,75.0,6.0,8.0,0.00493916,0,,19.0,2.0,6.0,2.0,1.0,,,,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11406879,home,Salernitana,Alessandro Zanoli,,,zanoli-alessandro,A. Zanoli,M,59,186,923,M,,922928,EUR,970531200,M,59,59,False,14.0,12.0,1.0,,3.0,4.0,13.0,1.0,,,,45.0,32.0,6.1,9.0,0.00589132,0,,9.0,,4.0,3.0,,,,1.0,1.0,3.0,,,,,,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
11406879,home,Salernitana,Giulio Maggiore,,,giulio-maggiore,G. Maggiore,M,18,184,222,M,,848185,EUR,889660800,M,25,25,False,38.0,37.0,3.0,3.0,18.0,19.0,19.0,2.0,,,,76.0,53.0,7.1,2.0,0.00702348,2,,19.0,1.0,7.0,4.0,3.0,2.0,1.0,,2.0,,2.0,6.0,,,,,,,3.0,2.0,,2.0,0.0575,,,,,,,,,,,,,
11406879,home,Salernitana,Toma Bašić,,,toma-basic,T. Bašić,M,26,189,1423,M,,798002,EUR,848880000,M,26,26,False,76.0,68.0,11.0,8.0,23.0,25.0,53.0,5.0,,,,90.0,90.0,7.1,11.0,0.120535,1,,46.0,,5.0,2.0,,,,2.0,1.0,2.0,2.0,,2.0,,4.0,1.0,,1.0,,,,,0.0224,1.0,1.0,,,,,,,,,,,
11406879,home,Salernitana,Domagoj Bradarić,,,domagoj-bradaric,D. Bradarić,M,12,178,1470,M,,897594,EUR,944784000,M,3,3,False,68.0,64.0,2.0,2.0,30.0,30.0,44.0,3.0,,,,90.0,96.0,7.2,15.0,0.0682315,1,,35.0,,3.0,6.0,,,2.0,2.0,,6.0,1.0,,,,2.0,1.0,,3.0,2.0,2.0,,,0.0182,1.0,1.0,2.0,,,,,,,,,,
11406879,home,Salernitana,Antonio Candreva,,,antonio-candreva,A. Candreva,F,87,180,936,M,,27982,EUR,541468800,F,87,87,False,57.0,49.0,4.0,3.0,17.0,19.0,54.0,5.0,,,,90.0,92.0,7.5,25.0,0.178986,3,,35.0,,3.0,1.0,1.0,,2.0,1.0,,16.0,,,,,3.0,2.0,,,,,,,0.0465,3.0,2.0,,True,1.0,1.0,1.0,0.1137,,,,,
11406879,home,Salernitana,Grigoris Kastanos,,,grigoris-kastanos,G. Kastanos,M,28,179,526,M,,791566,EUR,886118400,F,20,20,False,27.0,21.0,2.0,2.0,4.0,5.0,24.0,6.0,,,,59.0,46.0,7.3,14.0,0.0255743,1,,17.0,2.0,5.0,7.0,,,2.0,4.0,1.0,2.0,2.0,1.0,,,,2.0,,1.0,,,,,0.0634,,,1.0,,,,1.0,0.1954,,,,,
