match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,from
14288937,FT,0.0,5.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14288937,,,,,90,2.0,,1,,,card,Jovane Cabral,Simulation,False,124534507.0,True,yellow,845802.0,Jovane Cabral,,,
14288937,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,3.0,,
14288937,,,,,84,,,7,,,card,Peixinho,Foul,False,124534483.0,False,yellow,1513647.0,Peixinho,,,
14288937,,,,,81,,,10,,,card,Jandro Orellana,Foul,False,124534478.0,False,yellow,877920.0,Jandro Orellana,,,
14288937,,,,,80,,,11,,,substitution,,,,125364924.0,True,regular,,,,False,
14288937,,,,,78,,,13,,,substitution,,,,125364922.0,False,regular,,,,False,
14288937,,,,,73,,,18,,,card,Robson Lucas Oliveira Botelho,Foul,False,124534457.0,True,yellow,2058164.0,Robson Lucas Oliveira Botelho,,,
14288937,,0.0,5.0,,70,,,21,,,goal,,,,335488270.0,False,regular,930246.0,Yanis Begraoui,,,
14288937,,,,,67,,,24,,,substitution,,,,125364905.0,True,regular,,,,False,
14288937,,,,,67,,,24,,,substitution,,,,125364892.0,True,regular,,,,False,
14288937,,,,,67,,,24,,,substitution,,,,125364906.0,False,regular,,,,False,
14288937,,,,,66,,,25,,,substitution,,,,125364894.0,False,regular,,,,False,
14288937,,,,,66,,,25,,,substitution,,,,125364893.0,False,regular,,,,False,
14288937,,,,,66,,,25,,,substitution,,,,125364891.0,False,regular,,,,False,
14288937,,0.0,4.0,,64,,,27,,,goal,,,,335488021.0,False,regular,929894.0,Alejandro Marqués,,,
14288937,,0.0,3.0,,54,,,37,,,goal,,,,335487174.0,False,penalty,930246.0,Yanis Begraoui,,,penalty
14288937,,0.0,2.0,,51,,,40,,,goal,,,,335487096.0,False,regular,930246.0,Yanis Begraoui,,,
14288937,,,,,46,,,45,,,substitution,,,,125364832.0,True,regular,,,,False,
14288937,,,,,46,,,45,,,substitution,,,,125364829.0,True,regular,,,,False,
14288937,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14288937,,,,,45,,,1,,,card,Abraham Marcus,Violent conduct,False,124534355.0,True,red,1090543.0,Abraham Marcus,,,
14288937,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,4.0,,
14288937,,0.0,1.0,,3,,,43,,,goal,,,,335483098.0,False,regular,548044.0,João Carvalho,,,
