match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_bigChanceCreated,stat_wasFouled,captain,stat_penaltyConceded,stat_accurateCross,stat_blockedScoringAttempt,stat_penaltyWon,stat_bigChanceMissed,stat_hitWoodwork,stat_errorLeadToAShot,stat_totalOffside
12499707,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,28.0,24.0,7.0,3.0,0.0,22.0,23.0,2.0,5.0,1.0,1.0,8.0,1.0,3.0,1.0,4.0,1.0,1.0,90.0,40.0,7.3,5.0,0.00057865,0,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499707,home,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,D,22,22,False,46.0,38.0,6.0,4.0,0.0,18.0,18.0,20.0,28.0,,5.0,,,,,,,,90.0,73.0,7.0,12.0,0.0204339,0,,4.0,1.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12499707,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,65.0,53.0,7.0,,0.0,31.0,34.0,22.0,31.0,8.0,8.0,,,,,,,,90.0,77.0,6.8,13.0,0.0197651,1,,3.0,1.0,,,6.0,2.0,,,,,,2.0,1.0,0.0995,,,,,,,,,,,,,,,,,,,
12499707,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,60.0,56.0,3.0,2.0,0.0,39.0,42.0,17.0,18.0,2.0,4.0,5.0,,,,,,,90.0,70.0,7.5,4.0,0.0174872,2,,4.0,,1.0,1.0,4.0,,1.0,1.0,,1.0,,3.0,1.0,0.1266,,,1.0,1.0,1.0,0.529,,,,,,,,,,,,,
12499707,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,45.0,38.0,6.0,5.0,0.0,23.0,24.0,15.0,23.0,2.0,5.0,4.0,,,,,,,89.0,74.0,7.0,14.0,0.127851,0,,4.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,1.0,2.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,
12499707,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,38.0,30.0,5.0,3.0,0.0,9.0,9.0,21.0,30.0,2.0,11.0,5.0,,,,,,,85.0,60.0,7.2,13.0,0.228928,0,,6.0,,3.0,,1.0,,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,3.0,,1.0,1.0,,5.0,,,,,,,,,
12499707,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,60.0,54.0,1.0,1.0,0.0,34.0,35.0,20.0,26.0,2.0,5.0,3.0,,,,,,,90.0,72.0,6.6,8.0,0.313005,1,,5.0,,1.0,1.0,3.0,1.0,2.0,,,2.0,,4.0,1.0,0.0378,,,,,,,1.0,,,,True,1.0,,,,,,,
12499707,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,32.0,25.0,,,0.0,5.0,5.0,22.0,32.0,,1.0,2.0,,,,,,,81.0,47.0,7.1,12.0,0.0766637,2,,,,,,1.0,,1.0,,1.0,,1.0,,,0.1792,,,2.0,,,0.1341,5.0,,,,,,2.0,,,,,,
12499707,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,M,14,14,False,48.0,35.0,,,1.0,11.0,11.0,25.0,40.0,,3.0,3.0,,,,,,,89.0,65.0,7.6,22.0,0.711478,1,,9.0,2.0,3.0,,,,,,2.0,1.0,3.0,2.0,,0.0588,,,,,,,3.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,,
12499707,home,Borussia M'gladbach,Robin Hack,robin-hack,R. Hack,M,25,176,520,M,876858,EUR,904176000,M,25,25,False,33.0,25.0,3.0,2.0,0.0,10.0,10.0,16.0,28.0,1.0,2.0,1.0,,,,,,,81.0,54.0,5.9,20.0,0.182631,1,,11.0,5.0,3.0,1.0,,,,,1.0,2.0,,2.0,,0.1104,,,1.0,,,0.0784,5.0,,,,,,1.0,,,1.0,,,
12499707,home,Borussia M'gladbach,Tim Kleindienst,tim-kleindienst,T. Kleindienst,F,11,194,2514,M,228981,EUR,809827200,F,11,11,False,38.0,27.0,3.0,,0.0,8.0,9.0,19.0,31.0,4.0,5.0,2.0,,,,,,,90.0,62.0,9.0,20.0,0.201267,7,,13.0,2.0,,,1.0,1.0,1.0,,5.0,4.0,3.0,8.0,2.0,2.1177,,,4.0,2.0,,2.5599,2.0,,2.0,,,,,1.0,,1.0,,,
12499707,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,True,11.0,8.0,,,0.0,3.0,3.0,6.0,9.0,,1.0,,,,,,,,9.0,15.0,7.7,3.0,0.205772,0,,1.0,,1.0,1.0,,1.0,,,,1.0,3.0,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,
