match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_lastManTackle,stat_wasFouled,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,stat_bigChanceCreated,captain,stat_hitWoodwork,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_totalOffside
12765127,home,Pafos FC,Ivica Ivušić,ivica-ivusic,I. Ivušić,G,1,195.0,1529,M,190417,EUR,791596800,G,1,1,False,11.0,10.0,2.0,1.0,0.0,10.0,10.0,1.0,1.0,4.0,90.0,14.0,6.7,1.0,3.181e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12765127,home,Pafos FC,Bruno,bruno,Bruno,D,7,179.0,665,M,800106,EUR,769910400,D,7,7,False,35.0,26.0,1.0,1.0,0.0,6.0,7.0,40.0,,5.0,68.0,61.0,6.8,26.0,0.2273,0,,,21.0,12.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
12765127,home,Pafos FC,Derrick Luckassen,derrick-luckassen,D. Luckassen,D,23,186.0,348,M,363782,EUR,804729600,D,23,23,False,74.0,65.0,9.0,6.0,0.0,23.0,26.0,50.0,2.0,4.0,90.0,88.0,7.9,12.0,0.0528207,1,,,42.0,2.0,,1.0,5.0,3.0,9.0,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1046,,,,,,,,,,,,,,,,,,,
12765127,home,Pafos FC,David Goldar,david-goldar,D. Goldar,D,5,180.0,125,M,546180,EUR,779587200,D,5,5,False,63.0,55.0,10.0,5.0,0.0,26.0,27.0,36.0,4.0,5.0,90.0,80.0,7.7,9.0,0.0118561,5,,,29.0,,,4.0,7.0,5.0,9.0,,,,,2.0,1.0,1.0,1.0,,3.0,,1.0,0.4788,1.0,1.0,1.0,1.0,1.0,0.3658,,,,,,,,,,,,,
12765127,home,Pafos FC,Jonathan Silva,jonathan-silva,J. Silva,D,33,178.0,273,M,155711,EUR,772848000,D,19,19,False,51.0,47.0,5.0,5.0,0.0,14.0,15.0,39.0,,4.0,68.0,66.0,7.1,9.0,0.0369212,0,,,33.0,3.0,,,1.0,2.0,4.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,
12765127,home,Pafos FC,Ivan Šunjić,ivan-sunjic,I. Šunjić,M,26,185.0,1159,M,283833,EUR,844819200,M,26,26,False,51.0,43.0,4.0,3.0,0.0,11.0,13.0,38.0,1.0,6.0,90.0,63.0,7.4,10.0,0.0514807,3,,,32.0,,,,1.0,2.0,3.0,,,,,,2.0,2.0,2.0,,1.0,,2.0,0.1799,,2.0,,,,0.3133,,,,,,,,,,,,,
12765127,home,Pafos FC,Pêpê,pepe,Pêpê,M,88,182.0,438,M,896354,EUR,864086400,M,88,88,False,73.0,64.0,11.0,9.0,0.0,16.0,17.0,59.0,1.0,6.0,90.0,93.0,7.1,16.0,0.115744,1,,,48.0,3.0,,,,5.0,1.0,,2.0,2.0,,1.0,1.0,,,2.0,,,1.0,0.0202,,,1.0,,,,,,,,,,,,,,,,
12765127,home,Pafos FC,Muamer Tanković,muamer-tankovic,M. Tanković,M,22,180.0,371,M,151131,EUR,793411200,M,22,22,False,43.0,33.0,3.0,1.0,0.0,9.0,11.0,43.0,,5.0,90.0,70.0,8.5,17.0,0.59595,8,,,31.0,11.0,7.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,,,2.0,7.0,4.0,,,0.9343,1.0,3.0,1.0,,,0.3275,,1.0,,,,,,,,,,,
12765127,home,Pafos FC,Vlad Dragomir,vlad-dragomir,V. Dragomir,M,30,178.0,1174,M,559058,EUR,924912000,M,30,30,False,34.0,28.0,2.0,1.0,0.0,8.0,9.0,27.0,,5.0,90.0,53.0,7.9,9.0,0.161519,2,,,21.0,2.0,1.0,3.0,1.0,5.0,5.0,,1.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,,,1.0,0.1715,,1.0,1.0,,,0.4788,,1.0,,,,,,,,,,,
12765127,home,Pafos FC,Domingos Quina,domingos-quina,D. Quina,M,8,173.0,417,M,842582,EUR,942883200,M,8,8,False,26.0,25.0,,,0.0,4.0,4.0,27.0,,2.0,57.0,40.0,7.1,7.0,0.141888,2,,,22.0,5.0,1.0,,,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,0.0379,,,,,1.0,,,,,,,,,,,,,,
