match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,captain,stat_clearanceOffLine,stat_outfielderBlock,stat_lastManTackle,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_totalContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_errorLeadToAShot,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_ownGoals,stat_goals
14566935,home,Galatasaray,Uğurcan Çakır,ugurcan-cakir,U. Çakır,G,1,192.0,4886,M,754330,EUR,828662400,G,1,1,False,39.0,33.0,21.0,15.0,0.0,23.0,23.0,10.0,16.0,2.0,4.0,2.0,3.0,2.0,90.0,47.0,7.8,7.0,0.00689756,21.528,5.15827,0.0,52.657582161741,7.0,30.555,8.925,0.4415,0,-0.2635,0.12,-0.03,-0.01,0.23,3.59,1.45,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Roland Sallai,roland-sallai,R. Sallai,F,7,182.0,8501,M,355088,EUR,864259200,D,7,7,False,39.0,30.0,6.0,4.0,0.0,16.0,21.0,14.0,18.0,4.0,6.0,,,,90.0,58.0,6.9,11.0,0.00651466,31.968,10.87244,14.0,64.170286795785,8.0,-2.94,10.605,,0,,-0.14,0.08,-0.03,,2.89,5.59,1.46,0.65,0.28,,,rolandsallai,2.0,1.0,1.0,1.0,7.0,2.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187.0,12299,M,566102,EUR,834537600,D,6,6,False,53.0,48.0,4.0,1.0,0.0,31.0,32.0,17.0,21.0,10.0,2.0,,,,90.0,68.0,6.8,5.0,0.00957785,31.212,10.10453,8.0,103.29061606566,15.0,33.18,13.23,,0,,0.06,0.04,0.17,,3.01,5.02,1.43,0.47,0.18,,,DAVINSON,,,4.0,6.0,5.0,2.0,1.0,1.0,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185.0,6104,M,178963,EUR,778896000,D,42,42,False,57.0,46.0,11.0,3.0,0.0,34.0,37.0,12.0,20.0,8.0,6.0,,,,90.0,75.0,8.1,13.0,0.00663825,30.348,9.87208,6.0,98.431012672166,12.0,66.78,23.31,,0,,0.03,0.04,1.0,,2.95,5.1,1.3,0.39,0.12,,,abdulkerimbard1,1.0,,2.0,2.0,4.0,,2.0,,1.0,,1.0,,1.0,True,1.0,3.0,1.0,24.76514881845,1.0,,,,,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Eren Elmalı,eren-elmali,E. Elmalı,D,17,180.0,4102,M,981483,EUR,962928000,D,17,17,False,22.0,17.0,3.0,1.0,0.0,12.0,14.0,5.0,8.0,5.0,2.0,,,,90.0,47.0,6.4,8.0,0.00347767,32.688,10.66582,13.0,26.050572679162,4.0,-4.2,4.935,,1,,-0.03,0.03,-0.08,,3.1,5.0,1.65,0.58,0.33,,,,,,,4.0,2.0,1.0,2.0,2.0,2.0,,1.0,,2.0,,,1.0,,,,1.0,1.0,0.0218,-0.08,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168.0,8760,M,754794,EUR,823996800,M,34,34,False,37.0,32.0,5.0,3.0,0.0,13.0,15.0,19.0,22.0,2.0,3.0,,,,88.0,45.0,6.9,5.0,0.0278335,28.368,10.24601,5.0,70.635345783543,8.0,38.115,17.745,,1,,0.03,0.09,0.13,,2.54,5.52,1.62,0.49,0.08,,,ltorreira34,,,1.0,1.0,4.0,2.0,,,,3.0,1.0,,,,,,,18.178013120251,1.0,,1.0,0.0158,-0.1,,,,,,,,,,,,,,,
14566935,home,Galatasaray,Mario Lemina,mario-lemina,M. Lemina,M,99,184.0,8827,M,307284,EUR,746841600,M,99,99,False,66.0,57.0,5.0,2.0,0.0,34.0,36.0,23.0,30.0,4.0,8.0,,,,90.0,83.0,6.9,13.0,0.011148,29.772,11.13349,8.0,36.444658513421,8.0,2.1,2.94,,1,,-0.06,0.13,-0.05,,2.89,5.4,1.99,0.67,0.17,,,,1.0,,3.0,3.0,7.0,3.0,3.0,2.0,2.0,,1.0,,2.0,,,,,,,1.0,,0.0078,-0.09,1.0,1.0,0.0466,,,,,,,,,,,,
14566935,home,Galatasaray,Leroy Sané,leroy-sane,L. Sané,M,10,184.0,41260,M,293519,EUR,821318400,M,10,10,False,41.0,33.0,,,0.0,16.0,19.0,17.0,22.0,1.0,7.0,,,,90.0,59.0,6.5,15.0,0.0456587,32.796,10.30953,17.0,133.41807111598,11.0,74.865,30.555,,0,,0.27,0.43,-0.17,,3.26,4.28,1.6,0.77,0.41,,,LeroySane,,,,6.0,5.0,,4.0,2.0,4.0,,,1.0,2.0,,,,,86.527873309698,5.0,2.0,,,,1.0,,,2.0,1.0,1.0,,,,,,,,,
14566935,home,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173.0,9047,M,857738,EUR,962928000,M,11,11,False,26.0,24.0,,,0.0,10.0,11.0,14.0,15.0,,2.0,,,,65.0,34.0,6.7,5.0,0.166693,30.6,7.89487,9.0,80.118865971949,8.0,61.32,17.535,,0,,0.28,0.27,-0.19,,1.95,4.19,1.11,0.48,0.17,,,yunusakgun17,,,,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,,,60.448235951138,4.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
14566935,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186.0,13210,M,904096,EUR,959040000,M,53,53,False,27.0,22.0,1.0,1.0,0.0,7.0,9.0,15.0,18.0,1.0,2.0,,,,80.0,43.0,6.4,12.0,0.21727,31.824,9.0527,13.0,138.47736303626,12.0,78.33,49.77,,2,,0.01,0.29,-0.17,,2.65,4.32,1.23,0.58,0.28,,,barisalperyilmaz,4.0,2.0,1.0,9.0,3.0,,,,3.0,1.0,2.0,3.0,2.0,,,,,79.364954572814,3.0,3.0,1.0,0.2909,-0.51,1.0,,,,,,,1.0,1.0,1.0,,,,,
