match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_challengeLost,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle
10385552,home,Chelsea,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195,19994,M,edou_mendy,845074,EUR,699408000,G,16,16,False,27.0,14.0,21.0,8.0,8.0,10.0,6.0,17.0,1.0,1.0,6.0,1.0,1.0,4.0,4.0,90.0,36.0,7.3,13.0,0.0,0.0,0.0007668,0,0.2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385552,home,Chelsea,Reece James,,,reece-james,R. James,D,24,180,49594,M,ReeceJ,885908,EUR,944611200,D,24,24,False,58.0,53.0,7.0,6.0,23.0,27.0,32.0,35.0,2.0,5.0,7.0,1.0,,,,90.0,79.0,8.0,7.0,0.0713,0.0,0.525611,2,,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
10385552,home,Chelsea,Trevoh Chalobah,,,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,14,14,False,56.0,49.0,3.0,3.0,33.0,37.0,16.0,19.0,1.0,1.0,4.0,,,,,90.0,62.0,6.6,9.0,0.0,0.0,0.00378685,0,,,,,1.0,2.0,,,,,,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,
10385552,home,Chelsea,Thiago Silva,,,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,62.0,54.0,15.0,7.0,31.0,34.0,23.0,28.0,4.0,10.0,4.0,,,,,90.0,77.0,7.7,8.0,0.0997,0.0,0.0113974,1,,,,,1.0,1.0,1.0,1.0,,,1.0,,4.0,2.0,,5.0,4.0,,,,,,,,,,,,,
10385552,home,Chelsea,Marc Cucurella,,,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,32,32,False,48.0,43.0,2.0,1.0,16.0,16.0,27.0,36.0,1.0,3.0,6.0,1.0,,,,89.0,76.0,6.9,16.0,0.0,0.0,0.0212635,0,,1.0,4.0,,1.0,3.0,2.0,,,,,,2.0,,1.0,1.0,1.0,,2.0,,3.0,,,,,,,,,
10385552,home,Chelsea,Ruben Loftus-Cheek,,,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,12,12,False,28.0,23.0,1.0,1.0,8.0,10.0,15.0,19.0,1.0,4.0,8.0,,,,,90.0,46.0,6.6,10.0,0.4083,0.5382,0.0215475,1,,,1.0,,3.0,6.0,3.0,2.0,,,,,4.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,
10385552,home,Chelsea,Conor Gallagher,,,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,29.0,25.0,1.0,,10.0,11.0,15.0,18.0,,3.0,4.0,,,,,28.0,35.0,5.2,5.0,0.0,0.0,0.00765965,0,,,,,,2.0,,,,,,,,,,3.0,3.0,3.0,,,1.0,,,,,,,,,
10385552,home,Chelsea,Jorginho,,,jorginho,Jorginho,M,21,180,32466,M,jorginhofrello,132874,EUR,693187200,M,5,5,False,54.0,49.0,5.0,5.0,19.0,20.0,30.0,34.0,,2.0,5.0,,,,,75.0,62.0,6.6,8.0,0.0,0.0,0.0122579,0,,,,,,4.0,1.0,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,True,,,,,
10385552,home,Chelsea,Mason Mount,,,mason-mount,M. Mount,M,7,181,41304,M,MMount,836694,EUR,915926400,M,19,19,False,16.0,12.0,1.0,1.0,7.0,7.0,5.0,10.0,1.0,4.0,1.0,,,,,45.0,27.0,7.1,7.0,0.0,0.0,0.00274036,0,,,1.0,,,,,,,,,,,,1.0,3.0,1.0,,1.0,,2.0,,,,,,,,,
10385552,home,Chelsea,Kai Havertz,,,kai-havertz,K. Havertz,F,29,193,67778,M,KaiHav,836705,EUR,929059200,F,29,29,False,31.0,21.0,,,6.0,6.0,15.0,25.0,4.0,7.0,1.0,2.0,,,,90.0,50.0,6.5,17.0,0.0,0.0,0.0104233,0,,,,,7.0,15.0,1.0,,,,,,4.0,,,1.0,,4.0,,1.0,3.0,2.0,,,,3.0,,,,
