match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_accurateCross,stat_dispossessed,stat_wasFouled,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_punches,stat_goals
10382268,home,FC Groningen,Michael Verrips,,,michael-verrips,M. Verrips,G,34,195,102,M,583506,EUR,849571200,G,20,20,False,True,37.0,21.0,25.0,9.0,14.0,16.0,7.0,21.0,1.0,9.0,1.0,1.0,2.0,3.0,1.0,1.0,90.0,50.0,5.9,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382268,home,FC Groningen,Radinio Balker,,,balker-radinio,R. Balker,D,12,190,152,M,947049,EUR,904780800,D,12,12,False,,27.0,19.0,3.0,1.0,11.0,12.0,8.0,16.0,1.0,5.0,,,,,,,90.0,46.0,6.3,15.0,0,1.0,5.0,6.0,8.0,9.0,2.0,3.0,3.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,
10382268,home,FC Groningen,Thijmen Blokzijl,Thijmen Blokzijl,,thijmen-blokzijl,T. Blokzijl,D,3,181,296,M,1121401,EUR,1109289600,D,42,42,False,,52.0,40.0,13.0,6.0,30.0,35.0,10.0,17.0,5.0,6.0,,,,,,,90.0,66.0,6.6,12.0,1,,3.0,3.0,5.0,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10382268,home,FC Groningen,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,29,29,False,,53.0,41.0,18.0,9.0,32.0,36.0,9.0,18.0,6.0,5.0,,,,,,,90.0,66.0,6.8,14.0,0,1.0,4.0,2.0,5.0,3.0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,
10382268,home,FC Groningen,Jetro Willems,,,jetro-willems,J. Willems,D,15,177,182,M,138828,EUR,764985600,D,15,15,False,,49.0,31.0,16.0,7.0,15.0,22.0,16.0,29.0,1.0,10.0,,,,,,,90.0,73.0,6.9,25.0,2,2.0,,3.0,1.0,7.0,,1.0,3.0,3.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,
10382268,home,FC Groningen,Johan Hove,,,johan-hove,J. Hove,M,8,177,335,M,839953,EUR,968284800,M,8,8,False,,42.0,29.0,11.0,8.0,14.0,19.0,17.0,29.0,1.0,11.0,,,,,,,90.0,62.0,7.5,19.0,0,6.0,3.0,2.0,6.0,9.0,,1.0,5.0,3.0,1.0,2.0,,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,
10382268,home,FC Groningen,Laros Duarte,,,laros-duarte,L. M. D. Duarte,M,6,180,315,M,798177,EUR,857088000,M,6,6,False,,12.0,10.0,,,4.0,5.0,6.0,7.0,,1.0,,,,,,,45.0,17.0,6.2,3.0,1,,,,2.0,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,
10382268,home,FC Groningen,Tomáš Suslov,,,tomas-suslov,T. Suslov,F,10,175,1255,M,964154,EUR,1023408000,M,7,7,False,,30.0,19.0,1.0,,4.0,6.0,16.0,29.0,,7.0,,,,,,,83.0,54.0,7.5,19.0,1,5.0,2.0,1.0,4.0,10.0,1.0,1.0,5.0,2.0,4.0,1.0,,,1.0,1.0,1.0,,3.0,3.0,,,1.0,,,,,
10382268,home,FC Groningen,Elvis Manu,,,elvis-manu,E. Manu,F,,178,104,,143382,EUR,745200000,F,28,28,False,,13.0,8.0,1.0,,,,8.0,15.0,,3.0,,,,,,,66.0,30.0,6.6,14.0,1,2.0,2.0,,10.0,4.0,1.0,,2.0,1.0,2.0,2.0,1.0,,1.0,,,4.0,2.0,,,,,1.0,1.0,,,
10382268,home,FC Groningen,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3729,M,986395,EUR,1042070400,F,9,9,False,,17.0,13.0,1.0,,5.0,7.0,8.0,11.0,1.0,3.0,,,,,,,90.0,37.0,6.6,10.0,2,1.0,4.0,1.0,8.0,5.0,1.0,,,,2.0,,1.0,,4.0,3.0,,2.0,1.0,,,,1.0,,1.0,,,
10382268,home,FC Groningen,Isak Dybvik Määttä,,,isak-dybvik-maatta,I. D. Määttä,F,25,188,289,M,980915,EUR,1000857600,F,18,18,False,,27.0,18.0,1.0,,6.0,7.0,12.0,22.0,,2.0,,,,,,,90.0,48.0,6.6,21.0,1,2.0,1.0,1.0,7.0,4.0,3.0,,2.0,1.0,2.0,1.0,,,,,,2.0,1.0,,,,1.0,,1.0,,,
10382268,home,FC Groningen,Oliver Antman,,,oliver-antman,O. Antman,M,18,185,1317,M,975743,EUR,997833600,F,21,21,True,,9.0,6.0,1.0,1.0,2.0,2.0,4.0,8.0,,1.0,,,,,,,45.0,21.0,6.5,10.0,1,1.0,1.0,,4.0,2.0,1.0,,1.0,1.0,2.0,,,,3.0,1.0,,,,2.0,,,1.0,,,,,
10382268,home,FC Groningen,Liam van Gelderen,,,liam-van-gelderen,L. v. Gelderen,D,4,178,172,M,910049,EUR,985305600,D,19,19,True,,14.0,9.0,3.0,,4.0,5.0,5.0,9.0,1.0,4.0,,,,,,,24.0,27.0,6.7,6.0,1,,2.0,,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10382268,home,FC Groningen,Matěj Chaluš,,,matej-chalus,M. Chaluš,D,37,189,35,M,824543,EUR,886377600,D,37,37,True,,4.0,4.0,,,1.0,1.0,3.0,3.0,,1.0,,,,,,,13.0,9.0,6.5,2.0,0,,4.0,,6.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,
10382268,home,FC Groningen,Jan de Boer,,,jan-de-boer,J. d. Boer,G,12,202,63,M,978865,EUR,958780800,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
