match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,player_firstName,player_lastName,stat_totalOffside,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine,stat_errorLeadToAShot
12501544,home,Atalanta,Marco Carnesecchi,marco-carnesecchi,M. Carnesecchi,G,29,192,3101,M,865646,EUR,962409600,G,29,29,False,29.0,17.0,16.0,4.0,0.0,15.0,18.0,2.0,11.0,1.0,1.0,2.0,8.0,5.0,7.0,1.0,90.0,43.0,7.5,12.0,0.00029072,0,-0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501544,home,Atalanta,Odilon Kossounou,odilon-kossounou,O. Kossounou,D,3,191,9985,M,973437,EUR,978566400,D,3,3,False,46.0,43.0,5.0,3.0,0.0,21.0,22.0,22.0,24.0,1.0,3.0,3.0,5.0,,,,90.0,56.0,6.5,4.0,0.014997,0,,odilonkossounou,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12501544,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,151003,EUR,730080000,D,19,19,False,49.0,45.0,5.0,2.0,0.0,32.0,34.0,13.0,15.0,4.0,8.0,15.0,3.0,,,,90.0,70.0,6.8,4.0,0.00583533,0,,,6.0,7.0,,1.0,,3.0,2.0,,1.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,
12501544,home,Atalanta,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2490,M,965011,EUR,1026345600,D,22,22,False,66.0,58.0,5.0,1.0,0.0,33.0,36.0,25.0,35.0,,,4.0,7.0,,,,90.0,87.0,6.7,13.0,0.0115504,0,,,,2.0,2.0,1.0,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
12501544,home,Atalanta,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2480,M,826185,EUR,958521600,M,16,16,False,19.0,13.0,2.0,,1.0,4.0,6.0,11.0,15.0,,1.0,1.0,1.0,,,,72.0,31.0,7.3,9.0,0.238829,0,,,,,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,
12501544,home,Atalanta,Ibrahim Sulemana,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,105905,EUR,1053561600,M,6,6,False,27.0,24.0,2.0,1.0,0.0,10.0,12.0,14.0,15.0,2.0,4.0,,3.0,,,,58.0,34.0,6.4,5.0,0.0116664,1,,,,3.0,2.0,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2745,,,,,,,,,,,,
12501544,home,Atalanta,Marco Brescianini,marco-brescianini,M. Brescianini,M,4,188,1111,M,928800,EUR,948326400,M,44,44,False,29.0,25.0,3.0,,0.0,11.0,13.0,14.0,16.0,1.0,2.0,,3.0,,,,55.0,33.0,6.7,5.0,0.0333177,1,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,0.029,,,,,,,,,,,,
12501544,home,Atalanta,Marco Palestra,palestra-marco,M. Palestra,M,2,186,2182,M,1397736,EUR,1109808000,M,27,27,False,10.0,10.0,,,0.0,5.0,5.0,6.0,6.0,,2.0,,2.0,,,,45.0,17.0,6.6,1.0,0.0645329,0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,
12501544,home,Atalanta,Charles De Ketelaere,charles-de-ketelaere,C. De Ketelaere,F,17,192,14835,M,960441,EUR,984182400,F,17,17,False,41.0,31.0,3.0,1.0,0.0,9.0,9.0,22.0,34.0,,2.0,,2.0,,,,90.0,56.0,6.2,17.0,0.168637,1,,cdk,2.0,5.0,,,,1.0,1.0,,,,,2.0,,,,2.0,2.0,1.0,,,0.045,,,,1.0,1.0,,,,,,,
12501544,home,Atalanta,Daniel Maldini,daniel-maldini,D. Maldini,F,27,187,4629,M,970928,EUR,1002758400,F,70,70,False,15.0,14.0,,,0.0,7.0,7.0,7.0,12.0,,1.0,,2.0,,,,45.0,36.0,8.2,15.0,0.0218627,3,,dani.malda,1.0,7.0,,,1.0,,,5.0,1.0,,,4.0,,,1.0,1.0,5.0,1.0,,1.0,0.4426,,,,,,2.0,2.0,1.4424,,,,
