match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,playerName,reason,rescinded,injury
12501544,FT,2.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12501544,,2.0,3.0,,90,1.0,,1,,,goal,316497361.0,False,regular,1004790.0,Jacob Ondrejka,,,,,
12501544,,,,,90,0.0,,1,,,injuryTime,,,,,,5.0,,,,
12501544,,,,,89,,,2,,,card,123513052.0,False,yellow,983510.0,Botond Balogh,,Botond Balogh,Foul,False,
12501544,,,,,88,,,3,,,substitution,124059394.0,False,injury,,,,,,,True
12501544,,,,,78,,,13,,,substitution,124059319.0,False,regular,,,,,,,False
12501544,,,,,72,,,19,,,substitution,124059249.0,True,regular,,,,,,,False
12501544,,2.0,2.0,,71,,,20,,,goal,316496563.0,False,regular,1004790.0,Jacob Ondrejka,,,,,
12501544,,,,,58,,,33,,,substitution,124059154.0,True,regular,,,,,,,False
12501544,,,,,55,,,36,,,substitution,124059140.0,True,regular,,,,,,,False
12501544,,2.0,1.0,,49,,,42,,,goal,316495569.0,False,regular,1394202.0,Antoine Hainaut,,,,,
12501544,,,,,47,,,44,,,card,123512819.0,True,yellow,151003.0,Berat Djimsiti,,Berat Djimsiti,Foul,False,
12501544,,,,,46,,,45,,,substitution,124059090.0,False,regular,,,,,,,False
12501544,,,,,46,,,45,,,substitution,124059089.0,False,regular,,,,,,,False
12501544,,,,,46,,,45,,,substitution,124059088.0,True,regular,,,,,,,False
12501544,,,,,46,,,45,,,substitution,124059078.0,True,regular,,,,,,,False
12501544,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12501544,,,,,45,0.0,,1,,,injuryTime,,,,,,2.0,,,,
12501544,,2.0,0.0,,33,,,13,,,goal,316493614.0,True,regular,970928.0,Daniel Maldini,,,,,
12501544,,1.0,0.0,,32,,,14,,,goal,316493563.0,True,regular,970928.0,Daniel Maldini,,,,,
12501544,,,,,8,,,38,,,substitution,124058449.0,False,injury,,,,,,,True
