match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_totalTackle,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonTackle,stat_errorLeadToAGoal,stat_wonContest,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_totalOffside,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_errorLeadToAShot,stat_goalAssist,stat_goals
11368658,home,Rayo Vallecano,Stole Dimitrievski,,,stole-dimitrievski,S. Dimitrievski,G,1,188,843,M,97951,EUR,756777600,G,1,1,False,24.0,20.0,10.0,6.0,15.0,17.0,5.0,7.0,13.0,1.0,90.0,32.0,6.7,4.0,0.00142695,0,-0.5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368658,home,Rayo Vallecano,Iván Balliu,,,ivan-balliu,I. Balliu,D,20,175,688,M,152446,EUR,694224000,D,20,20,False,57.0,51.0,3.0,2.0,18.0,18.0,33.0,41.0,3.0,,80.0,76.0,6.8,11.0,0.0378282,1,,2.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0193,,,,,,,,,,,,,,,,,,,,,,,,,,
11368658,home,Rayo Vallecano,Abdul Mumin,,,abdul-mumin,A. Mumin,D,16,188,1245,M,846147,EUR,897091200,D,16,16,False,62.0,51.0,13.0,7.0,30.0,32.0,21.0,31.0,9.0,,90.0,77.0,7.2,12.0,0.00826266,1,,1.0,1.0,,,2.0,3.0,1.0,0.0141,4.0,10.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
11368658,home,Rayo Vallecano,Florian Lejeune,,,florian-lejeune,F. Lejeune,D,24,190,1047,M,88528,EUR,674697600,D,24,24,False,78.0,66.0,9.0,4.0,25.0,26.0,41.0,52.0,4.0,,90.0,90.0,7.5,14.0,0.0352354,4,,,3.0,,1.0,,1.0,1.0,0.1003,5.0,5.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.3092,,,,,,,,,,,,,,,
11368658,home,Rayo Vallecano,Josep Chavarría,,,josep-chavarria,J. Chavarría,D,3,174,630,M,1010421,EUR,892166400,D,3,3,False,73.0,62.0,3.0,1.0,22.0,27.0,41.0,57.0,4.0,,90.0,108.0,6.7,25.0,0.0437035,1,,11.0,4.0,,,,,,0.0697,3.0,5.0,,1.0,1.0,1.0,2.0,,1.0,1.0,0.0214,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11368658,home,Rayo Vallecano,Isi Palazón,,,isi-palazon,I. Palazón,M,7,169,2151,M,899982,EUR,788486400,M,7,7,False,35.0,29.0,1.0,1.0,7.0,7.0,23.0,32.0,1.0,,59.0,48.0,7.1,12.0,0.118682,1,,4.0,5.0,2.0,,,,1.0,0.0067,,2.0,1.0,1.0,,2.0,,1.0,,,,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,
11368658,home,Rayo Vallecano,Óscar Valentín,,,oscar-valentin,Ó. Valentín,M,23,177,443,M,900008,EUR,777340800,M,23,23,False,43.0,39.0,1.0,,18.0,19.0,21.0,24.0,10.0,,90.0,61.0,7.1,5.0,0.016452,2,,,8.0,,,1.0,,2.0,0.3009,,9.0,1.0,7.0,2.0,,4.0,,1.0,1.0,0.0546,,2.0,,5.0,,,,True,1.0,,,,,,
11368658,home,Rayo Vallecano,Unai López,,,unai-lopez,U. López,M,17,169,518,M,588566,EUR,815011200,M,17,17,False,72.0,66.0,9.0,7.0,21.0,22.0,45.0,51.0,2.0,,66.0,83.0,7.6,8.0,0.172747,0,,1.0,3.0,1.0,,1.0,1.0,2.0,,1.0,3.0,,2.0,,4.0,,,,,,,,,2.0,,,,,,,,,,,
11368658,home,Rayo Vallecano,Álvaro García,,,alvaro-garcia,Á. García,M,18,168,1132,M,345111,EUR,720144000,M,18,18,False,25.0,17.0,,,1.0,2.0,16.0,30.0,1.0,,80.0,46.0,7.0,21.0,0.0263444,2,,7.0,7.0,3.0,,,1.0,1.0,0.1661,,2.0,,1.0,,1.0,2.0,,2.0,2.0,0.3901,,,2.0,1.0,,1.0,,,,1.0,,,,,
11368658,home,Rayo Vallecano,Radamel Falcao,,,radamel-falcao,R. Falcao,F,9,177,11646,M,25682,EUR,508377600,F,9,9,False,10.0,9.0,,,2.0,2.0,7.0,8.0,,,59.0,19.0,6.5,3.0,0.0425913,5,,,3.0,,1.0,1.0,,3.0,0.2947,1.0,1.0,2.0,,,,,,2.0,1.0,0.4134,,,1.0,,,,,,1.0,,Falcao,,,,
