match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_challengeLost,stat_dispossessed,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_goalAssist,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_outfielderBlock
11370002,home,Club Brugge KV,Simon Mignolet,simon-mignolet,S. Mignolet,G,22,193,1240,M,10406,EUR,573609600,G,22,22,False,37.0,25.0,28.0,16.0,18.0,24.0,7.0,13.0,10.0,1.0,3.0,90.0,46.0,7.0,12.0,0.00327541,0,-0.1314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370002,home,Club Brugge KV,Maxim De Cuyper,maxim-de-cuyper,M. De Cuyper,D,29,183,4477,M,997152,EUR,977443200,D,55,55,False,54.0,41.0,13.0,7.0,22.0,26.0,20.0,32.0,5.0,,,90.0,80.0,7.2,21.0,0.0695586,3,,4.0,1.0,1.0,2.0,3.0,6.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,0.1609,0.2916,2.0,,,,,,,,,,,,,,,,
11370002,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,False,46.0,38.0,15.0,8.0,30.0,33.0,8.0,13.0,3.0,,,90.0,51.0,6.3,8.0,0.00547381,0,,,,,,,,,,,,4.0,,,,,,,Jorne,Spileers,,,,,,,,,,,,,,
11370002,home,Club Brugge KV,Brandon Mechele,brandon-mechele,B. Mechele,D,44,188,823,M,248331,EUR,728179200,D,44,44,False,48.0,40.0,11.0,6.0,25.0,31.0,15.0,17.0,5.0,,,90.0,59.0,6.8,8.0,0.0187478,0,,,,1.0,,2.0,3.0,,,,,6.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
11370002,home,Club Brugge KV,Bjorn Meijer,bjorn-meijer,B. Meijer,D,14,190,695,M,1047509,EUR,1047945600,D,14,14,False,42.0,36.0,4.0,2.0,15.0,16.0,22.0,28.0,5.0,,,87.0,59.0,7.1,9.0,0.121026,0,,2.0,1.0,2.0,3.0,5.0,8.0,,,,,3.0,2.0,2.0,,,,1.0,Bjorn Meijer,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,
11370002,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,False,20.0,12.0,2.0,,6.0,9.0,9.0,15.0,6.0,,,62.0,36.0,7.6,10.0,0.487169,1,,4.0,3.0,,1.0,3.0,7.0,,,,1.0,,5.0,5.0,1.0,0.0414,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,
11370002,home,Club Brugge KV,Hugo Vetlesen,hugo-vetlesen,H. Vetlesen,M,10,174,784,M,877236,EUR,951696000,M,10,10,False,34.0,26.0,2.0,,9.0,10.0,17.0,24.0,2.0,,,90.0,46.0,6.9,10.0,0.1373,1,,,,1.0,2.0,4.0,5.0,2.0,1.0,,,,1.0,1.0,1.0,0.0618,,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,
11370002,home,Club Brugge KV,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,29.0,23.0,1.0,1.0,5.0,6.0,18.0,25.0,3.0,,,90.0,43.0,6.8,11.0,0.0878837,1,,2.0,,2.0,,6.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,0.0956,0.0358,2.0,,,1.0,,,2.0,1.0,,,,,,,,,
11370002,home,Club Brugge KV,Hans Vanaken,hans-vanaken,H. Vanaken,M,20,194,2941,M,118085,EUR,714614400,M,20,20,False,50.0,42.0,7.0,6.0,21.0,21.0,21.0,30.0,3.0,,,90.0,65.0,7.6,13.0,0.381656,3,,1.0,,1.0,4.0,6.0,8.0,,,1.0,1.0,1.0,3.0,1.0,2.0,0.4141,0.185,2.0,,,1.0,1.0,3.0,2.0,1.0,,1.0,1.0,True,1.0,1.0,,,
11370002,home,Club Brugge KV,Antonio Nusa,nusa-antonio,A. Nusa,M,7,180,11508,M,1121923,EUR,1113696000,M,32,32,False,28.0,22.0,2.0,,5.0,5.0,18.0,29.0,6.0,,,88.0,52.0,6.5,21.0,0.132592,3,,6.0,1.0,2.0,,11.0,2.0,2.0,1.0,1.0,2.0,,1.0,,3.0,0.2032,0.1491,1.0,,,,,1.0,3.0,4.0,,,,,,,nusaantonio,,
