match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_fouls,stat_accurateCross,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_blockedScoringAttempt,stat_wonContest,stat_hitWoodwork,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
13981610,home,Parma,Edoardo Corvi,,,edoardo-corvi,E. Corvi,G,40,183,241,M,990411,EUR,985305600,G,40,40,False,38.0,26.0,13.0,2.0,0.0,25.0,32.0,1.0,6.0,13.0,1.0,3.0,6.0,90.0,55.0,6.2,12.0,0.00017473,50.443138677841,10.0,20.16,6.72,0.2096,0,-0.8032,-0.03,-0.03,-0.03,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981610,home,Parma,Sascha Britschgi,,,sascha-britschgi,S. Britschgi,D,27,182,440,M,1963449,EUR,1156636800,D,27,27,False,45.0,33.0,1.0,,0.0,19.0,22.0,14.0,23.0,3.0,,,,90.0,66.0,6.3,17.0,0.0138263,211.79537980248,25.0,136.5,18.165,,0,,-0.17,0.25,-0.25,,2.0,1.0,2.0,4.0,1.0,1.0,1.0,37.268296096391,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981610,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183,860,M,928103,EUR,942192000,D,15,15,False,53.0,47.0,7.0,3.0,0.0,38.0,42.0,9.0,11.0,2.0,,,,90.0,71.0,6.4,7.0,0.00258346,150.23076408644,25.0,-1.155,9.87,,1,,0.07,0.11,-0.23,,,1.0,3.0,2.0,5.0,1.0,2.0,,,,True,2.0,2.0,1.0,2.0,0.0737,-0.2,,,,,,,,,,,,,,,,,
13981610,home,Parma,Alessandro Circati,,,alessandro-circati,A. Circati,D,39,190,800,M,1155423,EUR,1065744000,D,39,39,False,49.0,35.0,9.0,4.0,0.0,27.0,35.0,8.0,14.0,2.0,,,,90.0,65.0,6.7,16.0,0.0178355,128.76541987777,17.0,13.86,23.52,,0,,-0.07,0.05,0.46,,,1.0,1.0,7.0,1.0,2.0,,24.17192950511,1.0,,,4.0,5.0,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,
13981610,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180,818,M,891346,EUR,912988800,D,14,14,False,30.0,21.0,6.0,2.0,0.0,13.0,18.0,8.0,12.0,5.0,,,,90.0,53.0,6.9,17.0,0.19611,149.79372179801,16.0,138.495,21.21,,0,,0.33,0.17,-0.17,,8.0,1.0,4.0,2.0,,,1.0,37.626454132797,2.0,2.0,,1.0,2.0,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,
13981610,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170,2308,M,934384,EUR,990835200,M,10,10,False,39.0,29.0,4.0,3.0,0.0,15.0,18.0,14.0,21.0,1.0,,,,75.0,50.0,6.8,12.0,0.0166366,132.36202454121,16.0,57.645,21.315,,1,,0.12,0.12,-0.03,,,,3.0,3.0,1.0,,2.0,22.252795082865,1.0,,,,3.0,,,0.0105,-0.04,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
13981610,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180,1230,M,1110136,EUR,1020988800,M,16,16,False,36.0,32.0,,,0.0,21.0,23.0,11.0,13.0,6.0,,,,86.0,53.0,7.4,8.0,0.00870291,84.784598759838,11.0,-11.34,5.355,,0,,0.1,0.03,0.52,,,,6.0,,2.0,3.0,1.0,,,,,,2.0,,2.0,,,1.0,,,1.0,4.0,1.0,1.0,,1.0,,,,,,,,
13981610,home,Parma,Oliver Sørensen,,,oliver-sorensen,O. Sørensen,M,22,184,646,M,957921,EUR,1015718400,M,22,22,False,23.0,17.0,3.0,,0.0,9.0,12.0,8.0,11.0,1.0,,,,90.0,34.0,6.8,7.0,0.012646,10.211259667641,2.0,-1.68,4.2,,0,,0.19,-0.02,-0.04,,,,5.0,2.0,1.0,,2.0,,,,,1.0,2.0,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,
13981610,home,Parma,Gaetano Oristanio,,,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,21,21,False,8.0,6.0,1.0,1.0,0.0,,1.0,6.0,7.0,,,,,62.0,23.0,6.0,13.0,0.00328257,45.053902773206,7.0,5.145,10.5,,0,,-0.1,-0.09,-0.02,,1.0,,,1.0,,5.0,,,,,,2.0,6.0,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,
13981610,home,Parma,Mateo Pellegrino,,,pellegrino-mateo,M. Pellegrino,F,9,192,3039,M,1099296,EUR,983404800,F,9,9,False,18.0,13.0,,,0.0,6.0,8.0,7.0,10.0,1.0,,,,75.0,28.0,6.4,10.0,0.0059592,68.085328914325,10.0,28.665,11.445,,0,,-0.01,0.07,0.19,,,2.0,5.0,1.0,,2.0,3.0,,,,,4.0,9.0,,,,,,2.0,,,,,3.0,,,,,,,,,,
