match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialWon,stat_errorLeadToAShot,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_hitWoodwork,stat_ownGoals,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed
14288934,home,Rio Ave,Cezary Miszta,,,cezary-miszta,C. Miszta,G,1,192,662,M,938292,EUR,1004400000,G,1,1,False,True,30.0,27.0,14.0,11.0,0.0,22.0,23.0,5.0,7.0,1.0,8.0,1.0,4.0,5.0,90.0,41.0,6.9,5.0,0.00102384,33.235152873453,4.0,6.615,6.195,0.183,0,-1.0781,0.02,0.0,-0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288934,home,Rio Ave,Francisco Petrasso,Francisco Petrasso,,petrasso-francisco,F. Petrasso,D,23,191,153,M,1467139,EUR,1014854400,D,23,23,False,,49.0,40.0,8.0,2.0,0.0,37.0,41.0,3.0,8.0,5.0,1.0,,,,90.0,59.0,6.8,10.0,0.00175037,144.33047860166,23.0,68.775,18.795,,0,,-0.04,0.06,0.21,,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,21.130318525758,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14288934,home,Rio Ave,Jakub Brabec,,,jakub-brabec,J. Brabec,D,32,186,152,M,72020,EUR,713059200,D,32,32,False,,41.0,40.0,2.0,1.0,0.0,33.0,34.0,7.0,7.0,5.0,2.0,,,,90.0,52.0,6.5,2.0,0.00152717,71.894027119536,13.0,32.025,11.025,,0,,0.05,0.03,-0.29,,,3.0,3.0,,,,,1.0,,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14288934,home,Rio Ave,Nelson Abbey,Nelson Abbey,,nelson-abbey,N. Abbey,D,6,187,247,M,1064359,EUR,1062028800,D,6,6,False,,46.0,37.0,4.0,1.0,0.0,24.0,26.0,13.0,20.0,8.0,9.0,,,,90.0,61.0,7.0,10.0,0.00718309,186.34197640729,16.0,90.825,37.065,,0,,-0.05,0.14,-0.11,,,,3.0,,,1.0,2.0,,87.647093604524,3.0,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14288934,home,Rio Ave,João Tomé,,,joao-tome,J. Tomé,D,20,183,171,M,1173124,EUR,1045008000,M,20,20,False,,36.0,27.0,4.0,,0.0,18.0,22.0,9.0,14.0,2.0,4.0,,,,90.0,61.0,6.4,14.0,0.0121471,105.97060089769,8.0,82.11,36.96,,0,,0.04,0.08,-0.15,,2.0,10.0,6.0,1.0,,,1.0,1.0,66.373414910888,2.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14288934,home,Rio Ave,Andreas Ndoj,,,andreas-ndoj,A. Ndoj,D,5,190,426,M,1005992,EUR,1044144000,M,5,5,False,,24.0,19.0,2.0,1.0,0.0,15.0,17.0,4.0,7.0,2.0,1.0,,,,73.0,32.0,5.5,6.0,0.010115,47.772862397207,5.0,21.735,8.295,,1,,0.06,0.06,-0.7,,1.0,5.0,2.0,,,,1.0,2.0,,,2.0,1.0,,,1.0,2.0,,,,,1.0,1.0,1.0,0.0308,1.0,-0.03,,,,,,,,,,,
14288934,home,Rio Ave,Brandon Aguilera,,,brandon-aguilera,B. Aguilera,M,10,180,927,M,1020203,EUR,1056758400,M,10,10,False,,31.0,23.0,2.0,1.0,0.0,14.0,18.0,9.0,13.0,2.0,2.0,,,,80.0,41.0,6.7,13.0,0.0304558,135.43574207341,17.0,33.6,22.47,,1,,0.06,0.18,-0.06,,,1.0,2.0,1.0,1.0,,,1.0,22.534216205584,1.0,,,,,3.0,1.0,,,1.0,,,,,0.0375,1.0,-0.13,1.0,,,,,,,,,,
14288934,home,Rio Ave,Nikolaos Athanasiou,,,athanasiou-nikolaos,N. Athanasiou,D,3,177,212,M,1100204,EUR,984614400,M,3,3,False,,25.0,18.0,5.0,2.0,0.0,15.0,22.0,3.0,3.0,5.0,2.0,,,,72.0,49.0,6.4,12.0,0.00366022,95.64224836381,6.0,80.535,32.445,,0,,-0.09,0.19,-0.06,,,2.0,1.0,1.0,1.0,,,1.0,61.491978304316,2.0,1.0,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,
14288934,home,Rio Ave,André Luiz,André Luiz,,andre-luiz,André Luiz,M,17,185,1296,M,1133282,EUR,1014422400,F,11,11,False,,7.0,6.0,,,0.0,3.0,3.0,3.0,4.0,1.0,7.0,,,,73.0,33.0,6.6,15.0,0.0141635,216.8892915924,10.0,103.425,46.725,,1,,0.09,0.28,0.36,,2.0,13.0,4.0,5.0,1.0,,,1.0,127.31832437433,3.0,,,1.0,1.0,4.0,,,2.0,,6.0,,,,0.0447,2.0,-0.14,,,1.0,1.0,0.504,,,,,,
14288934,home,Rio Ave,Dario Špikić,,,dario-spikic,D. Špikić,M,18,183,790,M,826024,EUR,922060800,F,18,18,False,,17.0,15.0,1.0,1.0,0.0,8.0,9.0,7.0,8.0,,3.0,,,,80.0,32.0,6.7,9.0,0.0274808,101.97555990191,9.0,62.895,27.195,,0,,0.03,0.15,0.0,,,5.0,4.0,3.0,1.0,,,2.0,42.864228919139,2.0,,,3.0,2.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,
