match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_outfielderBlock
10385727,home,Crystal Palace,Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,600,M,98427,EUR,733017600,G,21,21,False,15.0,12.0,5.0,2.0,12.0,12.0,3.0,1.0,3.0,2.0,3.0,1.0,90.0,22.0,6.7,3.0,0.0,0.0,3.904e-05,0,-0.3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385727,home,Crystal Palace,Joel Ward,joel-ward,J. Ward,D,25,188,258,M,39183,EUR,625622400,D,2,2,False,53.0,42.0,5.0,1.0,18.0,21.0,34.0,1.0,5.0,,,,90.0,72.0,6.7,16.0,0.0,0.0,0.0267676,0,,,,True,25.0,2.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10385727,home,Crystal Palace,Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2378,M,362682,EUR,833500800,D,16,16,False,102.0,90.0,12.0,6.0,45.0,46.0,56.0,2.0,8.0,,,,90.0,108.0,7.0,12.0,0.0,0.0,0.0300127,0,,,,,45.0,,,1.0,4.0,2.0,4.0,,,,,,,,1.0,1.0,,,,,,,,,,,,
10385727,home,Crystal Palace,Marc Guéhi,marc-guehi,M. Guéhi,D,15,182,22326,M,877994,EUR,963446400,D,6,6,False,103.0,92.0,11.0,6.0,53.0,59.0,44.0,3.0,10.0,,,,90.0,110.0,6.9,13.0,0.1934,0.0,0.0512354,1,,,,,39.0,,,,3.0,2.0,3.0,1.0,,,,1.0,,1.0,,,MarcGuehi13,1.0,,,,,,,,,,
10385727,home,Crystal Palace,Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1388,M,988275,EUR,936144000,D,3,3,False,38.0,29.0,4.0,1.0,12.0,16.0,28.0,1.0,4.0,,,,90.0,60.0,6.6,15.0,0.0,0.0,0.0698862,0,,,,,18.0,6.0,1.0,1.0,,2.0,2.0,1.0,,2.0,1.0,,,,,2.0,,,,,,,,,,,,
10385727,home,Crystal Palace,Cheick Doucouré,cheick-doucoure,C. Doucouré,M,28,181,1463,M,906047,EUR,947289600,M,28,28,False,50.0,47.0,,,14.0,15.0,36.0,1.0,6.0,,,,67.0,59.0,6.9,4.0,0.1571,0.0,0.0834716,2,,,,,33.0,1.0,,3.0,2.0,4.0,4.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,
10385727,home,Crystal Palace,Will Hughes,will-hughes,W. Hughes,M,19,185,1026,M,193554,EUR,798076800,M,19,19,False,35.0,30.0,3.0,1.0,13.0,15.0,20.0,1.0,5.0,,,,89.0,48.0,7.2,10.0,0.0752,0.0577,0.0899108,1,,,,,17.0,,,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,4.0,1.0,,,,,,,1.0,1.0,,,,,,,
10385727,home,Crystal Palace,Michael Olise,michael-olise,M. Olise,M,17,185,76795,M,978838,EUR,1008115200,M,7,7,False,50.0,39.0,2.0,2.0,10.0,10.0,48.0,,2.0,,,,89.0,78.0,8.7,20.0,0.0702,0.0329,0.681202,2,,,,,34.0,8.0,5.0,,,3.0,9.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,,7.0,MOlise,,1.0,1.0,,1.0,4.0,3.0,1.0,,,
10385727,home,Crystal Palace,Eberechi Eze,eberechi-eze,E. Eze,F,10,178,55840,M,864921,EUR,899078400,M,10,10,False,43.0,39.0,1.0,,11.0,11.0,34.0,,6.0,,,,90.0,69.0,6.8,18.0,0.6869,0.036,0.0376958,4,,,,,28.0,2.0,,,1.0,9.0,8.0,3.0,,2.0,1.0,4.0,3.0,2.0,,2.0,eze,1.0,2.0,1.0,,,6.0,2.0,,,,
10385727,home,Crystal Palace,Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,13272,M,103045,EUR,684547200,M,9,9,False,23.0,22.0,,,6.0,6.0,17.0,1.0,4.0,,,,90.0,39.0,6.6,6.0,0.0832,0.0,0.0264076,3,,,,,16.0,,,1.0,,4.0,6.0,1.0,,2.0,,3.0,2.0,,1.0,,jordanayew9,,3.0,,,,3.0,2.0,,1.0,,
