match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoalsOnTarget,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_goals
14064409,home,Toulouse,Guillaume Restes,Guillaume,Restes,guillaume-restes,G. Restes,G,1,188.0,2069,M,1154630,EUR,1110499200,G,1,1,False,28.0,26.0,3.0,2.0,0.0,24.0,24.0,2.0,4.0,8.0,1.0,1.0,90.0,33.0,6.2,2.0,0.00094331,0.0284,0,-0.7373,0.03,-0.03,-0.07,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064409,home,Toulouse,Mark McKenzie,,,mark-mckenzie,M. McKenzie,D,3,183.0,647,M,922759,EUR,919900800,D,3,3,False,47.0,42.0,2.0,2.0,0.0,26.0,26.0,16.0,21.0,1.0,,,82.0,70.0,7.2,8.0,0.221463,,3,,0.32,0.04,-0.16,,1.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,0.1954,2.0,-0.51,,,,,,,,,,,,,,,,
14064409,home,Toulouse,Charlie Cresswell,,,charlie-cresswell,C. Cresswell,D,4,190.0,1084,M,1020744,EUR,1029456000,D,4,4,False,70.0,61.0,6.0,5.0,0.0,44.0,44.0,17.0,26.0,4.0,,,90.0,93.0,7.5,11.0,0.294196,,4,,0.31,0.05,-0.1,,5.0,11.0,7.0,16.0,,1.0,,,3.0,,5.0,2.0,2.0,1.0,,0.4756,2.0,-0.52,1.0,1.0,1.0,1.0,1.0,3.0,0.7421,,,,,,,,,
14064409,home,Toulouse,Rasmus Nicolaisen,,,rasmus-nicolaisen,R. Nicolaisen,D,2,190.0,261,M,798124,EUR,858470400,D,2,2,False,76.0,67.0,7.0,3.0,0.0,42.0,45.0,25.0,31.0,5.0,,,90.0,90.0,6.9,11.0,0.00899821,,2,,0.12,0.09,-0.2,,1.0,6.0,2.0,8.0,1.0,,,,2.0,,2.0,3.0,1.0,,,0.1474,,-0.47,,,,1.0,2.0,1.0,,True,,,,,,,,
14064409,home,Toulouse,Aron Dønnum,,,aron-donnum,A. Dønnum,M,15,179.0,643,M,863133,EUR,893030400,M,15,15,False,35.0,28.0,6.0,5.0,0.0,9.0,10.0,19.0,25.0,6.0,,,90.0,66.0,7.5,22.0,0.454392,,0,,0.63,0.11,-0.06,,,,4.0,3.0,,1.0,2.0,,,,,1.0,,1.0,,,8.0,,,,1.0,,2.0,3.0,,,14.0,7.0,1.0,,,,,
14064409,home,Toulouse,Cristian Cásseres Jr.,,,cristian-casseres-jr,C. Cásseres Jr.,M,23,174.0,1378,M,878938,EUR,948326400,M,23,23,False,57.0,43.0,10.0,9.0,0.0,19.0,20.0,24.0,37.0,6.0,,,90.0,78.0,7.7,19.0,0.0510454,,3,,0.25,0.28,0.22,,1.0,2.0,5.0,10.0,,1.0,3.0,2.0,3.0,,,,5.0,2.0,,0.1218,,-0.16,,,,4.0,,1.0,,,3.0,1.0,,1.0,,,,
14064409,home,Toulouse,Alexis Vossah,,,alexis-vossah,A. Vossah,M,17,181.0,216,M,2193194,EUR,1205193600,M,45,45,False,32.0,25.0,4.0,2.0,0.0,10.0,10.0,15.0,22.0,2.0,,,72.0,43.0,6.6,8.0,0.05019,,2,,0.09,0.12,-0.08,,1.0,1.0,2.0,3.0,,1.0,,,2.0,,,,1.0,1.0,,0.1298,1.0,-0.21,,,,,,1.0,,,2.0,2.0,,,,,,
14064409,home,Toulouse,Dayann Methalie,,,dayann-methalie,D. Methalie,M,24,186.0,426,M,1894003,EUR,1139961600,M,24,24,False,24.0,21.0,2.0,2.0,0.0,11.0,11.0,10.0,13.0,7.0,,,72.0,43.0,6.5,11.0,0.00678122,,3,,0.02,0.28,0.21,,1.0,,8.0,3.0,,6.0,3.0,2.0,1.0,,1.0,,1.0,,,0.0945,,-0.45,,2.0,,,,,0.3115,,,,,,,,,
14064409,home,Toulouse,Frank Magri,Frank Magri,,frank-magri,F. Magri,F,9,178.0,1819,M,1169436,EUR,936403200,F,9,9,False,10.0,8.0,,,0.0,2.0,2.0,6.0,8.0,,,,66.0,23.0,6.3,9.0,0.00548406,,1,,-0.25,0.17,-0.01,,3.0,,5.0,2.0,,,1.0,,,1.0,,,1.0,2.0,,0.0172,1.0,-0.08,,,,,1.0,1.0,,,5.0,,,,,,,
14064409,home,Toulouse,Yann Gboho,,,yann-gboho,Y. Gboho,F,10,173.0,957,M,911851,EUR,979430400,F,10,10,False,41.0,33.0,2.0,1.0,0.0,8.0,9.0,25.0,32.0,9.0,,,90.0,57.0,7.1,13.0,0.174273,,1,,0.24,0.43,0.13,,,,5.0,4.0,1.0,1.0,3.0,1.0,,1.0,,1.0,,1.0,,0.0178,3.0,-0.05,,,,,,3.0,,,2.0,,,,,,,
