match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,captain,stat_challengeLost,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_dispossessed,stat_goals,stat_shotOffTarget,stat_totalOffside,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_outfielderBlock
14053822,home,Excelsior,Stijn van Gassel,,,stijn-van-gassel,S. van Gassel,G,1,185,166,M,367118,EUR,845596800,G,1,1,False,48.0,21.0,32.0,5.0,0.0,17.0,20.0,4.0,28.0,13.0,1.0,2.0,1.0,90.0,57.0,5.2,29.0,0.0020576,89.257279769311,12.0,39.832514936807,-0.0009,0,-1.3637,0.05,0.0,-0.25,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053822,home,Excelsior,Ilias Bronkhorst,Ilias,Bronkhorst,ilias-bronkhorst,I. Bronkhorst,D,2,185,69,M,899644,EUR,863222400,D,2,2,False,48.0,36.0,6.0,2.0,0.0,19.0,24.0,17.0,24.0,5.0,,,,90.0,79.0,7.0,22.0,0.0784129,166.18675936301,16.0,104.19757984625,,0,,0.09,0.05,-0.22,,4.0,1.0,1.0,3.0,8.0,1.0,3.0,5.0,3.0,2.0,1.0,33.590337416172,90.63926308784,3.0,2.0,,,,,,,,,,,,,,,,,,,
14053822,home,Excelsior,Casper Widell,,,widell-casper,C. Widell,D,4,192,137,M,1031721,EUR,1052092800,D,4,4,False,54.0,50.0,6.0,5.0,0.0,36.0,37.0,14.0,17.0,4.0,,,,90.0,67.0,6.5,5.0,0.0113868,139.48773019968,22.0,-3.1559473739223,,0,,0.12,0.02,-0.32,,,1.0,,5.0,3.0,1.0,5.0,2.0,1.0,,2.0,,,,,True,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,
14053822,home,Excelsior,Rick Meissen,Rick Meijssen,,rick-meissen,R. Meissen,D,3,193,44,M,1048906,EUR,1014508800,D,3,3,False,60.0,53.0,5.0,3.0,0.0,38.0,40.0,15.0,20.0,10.0,,,,90.0,71.0,7.0,9.0,0.00753666,287.53290098671,31.0,102.65318143295,,2,,-0.01,0.41,-0.11,,,,4.0,2.0,5.0,,4.0,1.0,,,1.0,37.158617958827,61.949759627424,2.0,,,1.0,,1.0,1.0,1.0,1.0,0.107,0.0549,-0.37,,,,,,,,,
14053822,home,Excelsior,Arthur Zagre,Arthur,Zagre,zagre-arthur,A. Zagre,D,12,168,411,M,910053,EUR,1002153600,D,12,12,False,50.0,43.0,3.0,1.0,0.0,20.0,23.0,23.0,27.0,10.0,,,,90.0,67.0,7.0,13.0,0.0160055,174.4198424434,19.0,95.878085714581,,1,,-0.09,0.36,-0.43,,2.0,,,4.0,1.0,3.0,,,,,,14.996215373745,35.338516161716,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,,0.2197,0.6112,0.51,1.0,1.0,1.0,,,,,,
14053822,home,Excelsior,Lennard Hartjes,,,lennard-hartjes,L. Hartjes,M,20,170,134,M,1126595,EUR,1049673600,M,20,20,False,37.0,36.0,2.0,2.0,0.0,21.0,21.0,15.0,16.0,3.0,,,,89.0,45.0,6.5,3.0,0.0195567,173.41701675673,17.0,50.669012025067,,1,,0.07,0.07,-0.03,,,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,23.234985149468,38.717286016498,2.0,1.0,,,,1.0,1.0,,,0.0217,,-0.14,,,,1.0,,,,,
14053822,home,Excelsior,Derensili Sanches Fernandes,,,derensili-sanches-fernandes,D. S. Fernandes,M,30,176,146,M,1046142,EUR,991008000,M,30,30,False,16.0,12.0,1.0,1.0,0.0,4.0,4.0,8.0,12.0,1.0,,,,63.0,29.0,6.4,9.0,0.00951579,122.79921261744,7.0,98.73021829066,,0,,-0.08,0.23,-0.21,,,,1.0,7.0,5.0,3.0,,1.0,,1.0,2.0,25.899876181101,98.202165652643,4.0,,,2.0,2.0,,2.0,,,,,,,2.0,,,,,,,
14053822,home,Excelsior,Irakli Yegoian,Irakli Yegoian,,yegoian-irakli,I. Yegoian,M,23,168,314,M,1384483,EUR,1079654400,M,23,23,False,44.0,42.0,4.0,3.0,0.0,17.0,17.0,25.0,27.0,4.0,,,,90.0,61.0,6.6,7.0,0.0360151,202.27766523092,25.0,34.652552452008,,3,,0.2,0.2,-0.13,,,2.0,,3.0,3.0,3.0,,1.0,,,,7.9620372178844,11.155106633287,1.0,1.0,,,2.0,3.0,4.0,,,0.1117,,-0.42,,,,3.0,,,,,
14053822,home,Excelsior,Noah Naujoks,,,noah-naujoks,N. Naujoks,M,10,183,201,M,1048487,EUR,1020297600,M,10,10,False,28.0,18.0,2.0,1.0,0.0,6.0,9.0,12.0,19.0,7.0,,,,90.0,35.0,5.8,13.0,0.0174204,65.432546005673,5.0,24.52915704943,,1,,-0.14,0.01,-0.16,,1.0,4.0,,8.0,,,,,,,2.0,22.145784686572,22.998619284644,1.0,,,1.0,,2.0,1.0,1.0,,0.0267,0.1139,0.01,,1.0,,,,,,,
14053822,home,Excelsior,Emil Hansson,,,emil-hansson,E. Hansson,M,7,172,243,M,794362,EUR,897868800,M,7,7,False,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,1.0,,,,62.0,19.0,6.3,7.0,0.0566941,71.059304915179,7.0,52.313018845862,,0,,-0.03,0.14,-0.13,,7.0,,,3.0,,2.0,1.0,,,,,21.311423913353,35.643820111557,2.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,
