match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_dispossessed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_challengeLost,stat_outfielderBlock,stat_goals
13472829,away,Corinthians,Breno Bidon,,,breno-bidon,B. Bidon,M,27,174,9937,M,1199261,EUR,1108857600,M,27,27,False,25.0,21.0,6.0,4.0,0.0,8.0,9.0,13.0,16.0,2.0,,66.0,33.0,6.5,10.0,0.0180702,0,,,,6.0,,1.0,,2.0,,,3.0,,1.0,,,,3.0,1.0,,,,,,,,1.0,BrenoBidon,,,,1.0,,
13472829,away,Corinthians,Raniele,,,raniele,Raniele,M,14,184,6186,M,866392,EUR,851990400,M,14,14,False,33.0,26.0,4.0,2.0,0.0,16.0,20.0,10.0,13.0,3.0,,90.0,45.0,6.9,9.0,0.012246,0,,1.0,,6.0,3.0,,,1.0,1.0,1.0,1.0,,4.0,,2.0,1.0,1.0,,,,,,,,,,R14niele,,,,1.0,2.0,
13472829,away,Corinthians,José Martínez,,,jose-martinez,J. Martínez,M,70,177,7398,M,979325,EUR,776217600,M,70,70,False,31.0,26.0,2.0,1.0,0.0,13.0,15.0,13.0,16.0,3.0,,66.0,45.0,7.6,7.0,0.0115146,2,,1.0,3.0,1.0,10.0,,,2.0,,5.0,,,,,3.0,3.0,,,1.0,0.0332,0.0361,,1.0,,,,elBrujo,,,,1.0,,
13472829,away,Corinthians,Rodrigo Garro,,,rodrigo-garro,R. Garro,M,8,174,33134,M,994454,EUR,883872000,M,8,8,False,46.0,34.0,7.0,4.0,0.0,12.0,15.0,22.0,31.0,6.0,,84.0,57.0,6.8,18.0,0.0684337,0,,6.0,,2.0,3.0,,,,,2.0,,True,1.0,,1.0,1.0,,,,,,1.0,,,,,rodrigarroo,,,,1.0,,
13472829,away,Corinthians,Talles Magno,,,talles-magno,T. Magno,F,43,186,7732,M,985860,EUR,1025049600,F,43,43,False,15.0,12.0,,,0.0,3.0,4.0,9.0,11.0,1.0,,80.0,28.0,7.3,6.0,0.0101919,3,,,1.0,5.0,2.0,1.0,,3.0,,1.0,1.0,,2.0,,,,2.0,,1.0,0.871,0.9938,,2.0,,1.0,,TallesMagico,,,,1.0,,1.0
13472829,away,Corinthians,Gui Negão,,,guilherme-silva-inacio,G. Negão,F,56,179,6638,M,1922597,EUR,1170720000,F,56,56,False,13.0,8.0,2.0,,0.0,1.0,1.0,7.0,12.0,3.0,,90.0,24.0,6.6,9.0,0.0122804,0,,,1.0,8.0,3.0,,,,2.0,2.0,3.0,,4.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,
13472829,away,Corinthians,André Carrillo,,,andre-carrillo,A. Carrillo,M,19,180,14534,M,115182,EUR,676857600,M,19,19,True,16.0,12.0,1.0,1.0,0.0,10.0,11.0,2.0,5.0,2.0,,24.0,21.0,7.1,4.0,0.00083117,0,,,,,2.0,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,18andrecarrillo,,,,,,
13472829,away,Corinthians,Maycon,,,maycon,Maycon,M,8,175,3568,M,831778,EUR,868924800,M,7,7,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,1.0,,17.0,6.0,6.6,2.0,0.00129512,0,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Charles,,,charles,Charles,M,35,187,3576,M,845178,EUR,835142400,M,35,35,True,1.0,,1.0,,0.0,,1.0,,,,,10.0,4.0,6.5,2.0,,0,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
13472829,away,Corinthians,João Pedro Tchoca,,,joao-pedro,J. Pedro,D,4,192,3424,M,1411150,EUR,1072828800,D,47,47,True,1.0,1.0,,,0.0,1.0,1.0,,,,,14.0,4.0,6.7,,2.596e-05,0,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Fabrizio Angileri,,,fabrizio-angileri,F. Angileri,D,26,185,4434,M,311462,EUR,763689600,D,26,26,True,,,,,0.0,,,,,,,13.0,7.0,6.9,,9e-08,0,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
13472829,away,Corinthians,Felipe Longo,,,felipe-longo,F. Longo,G,40,189,2226,M,1485272,EUR,1109980800,G,40,40,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Félix Torres,,,felix-torres,F. Torres,D,4,187,5321,M,881848,EUR,852940800,D,3,3,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,felix_torres,,,,,,
13472829,away,Corinthians,Léo Mana,,,leo-mana,L. Mana,D,33,179,2313,M,1170769,EUR,1081209600,D,33,33,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Kauê Furquim,,,kaue-junior-furquim,K. Furquim,M,57,173,565,M,2063705,EUR,1235692800,M,57,57,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Dieguinho,Diego,da Cruz Lopes,diego-da-cruz-lopes,Dieguinho,M,61,170,2452,M,1916131,EUR,1189900800,M,61,61,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Héctor Hernández,,,hector-hernandez,H. Hernández,F,22,180,2848,M,352448,EUR,811036800,F,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,away,Corinthians,Kayke Ferrari,,,kayke-ferrari,Kayke,F,31,179,2773,M,1411152,EUR,1083110400,F,31,31,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
