match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_totalContest,stat_unsuccessfulTouch,stat_wonContest,stat_bigChanceCreated,player_firstName,player_lastName,captain,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,stat_saves
10434157,home,Adana Demirspor,Ertaç Özbir,ertac-ozbir,E. Özbir,G,186.0,92,M,126077,EUR,625276800,G,25,25,False,39.0,33.0,11.0,5.0,33.0,36.0,3.0,1.0,7.0,2.0,1.0,4.0,4.0,90.0,47.0,6.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434157,home,Adana Demirspor,İsmail Çokçalış,ismail-cokcalis,İ. Çokçalış,D,176.0,32,M,906050,EUR,961545600,D,16,16,False,23.0,21.0,,,6.0,6.0,17.0,,2.0,,,,,89.0,32.0,6.7,3.0,1,16,2.0,15.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
10434157,home,Adana Demirspor,Jorge Morel,jorge-morel,J. Morel,M,180.0,146,M,1175757,EUR,885427200,D,5,5,False,63.0,59.0,7.0,4.0,48.0,49.0,14.0,4.0,7.0,,,,,90.0,72.0,6.7,4.0,0,5,,11.0,1.0,4.0,,,,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10434157,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,184.0,112,M,325155,EUR,786153600,D,4,4,False,49.0,42.0,5.0,1.0,34.0,36.0,13.0,4.0,3.0,,,,,90.0,62.0,6.9,7.0,0,6,,8.0,1.0,2.0,,,,2.0,2.0,1.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,
10434157,home,Adana Demirspor,Kévin Rodrigues,kevin-rodrigues,K. Rodrigues,D,169.0,248,M,234232,EUR,762825600,D,77,77,False,30.0,26.0,2.0,,16.0,17.0,17.0,,7.0,,,,,90.0,49.0,6.8,10.0,1,77,1.0,11.0,2.0,5.0,,,1.0,1.0,2.0,2.0,,2.0,1.0,,,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10434157,home,Adana Demirspor,Benjamin Stambouli,benjamin-stambouli,B. Stambouli,M,180.0,161,M,105951,EUR,650505600,M,90,90,False,46.0,37.0,7.0,2.0,22.0,24.0,22.0,2.0,5.0,,,,,90.0,55.0,6.9,11.0,0,21,1.0,15.0,5.0,6.0,3.0,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,3.0,,2.0,1.0,,,,,,,,,,,,
10434157,home,Adana Demirspor,Gökhan Inler,gokhan-inler,G. Inler,M,183.0,108,M,4252,EUR,457142400,M,88,88,False,27.0,24.0,2.0,2.0,15.0,15.0,12.0,2.0,3.0,,,,,86.0,34.0,6.6,3.0,1,,,9.0,3.0,3.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,True,,,,,,,,,
10434157,home,Adana Demirspor,Yusuf Sarı,yusuf-sari,Y. Sarı,M,168.0,562,M,896364,EUR,911520000,M,26,26,False,23.0,18.0,2.0,,5.0,8.0,15.0,,5.0,,,,,86.0,41.0,7.0,13.0,3,7,,13.0,5.0,6.0,3.0,1.0,1.0,,1.0,,,2.0,,,,,,,6.0,4.0,5.0,,,,,1.0,1.0,1.0,,,,,,
10434157,home,Adana Demirspor,Henry Onyekuru,henry-onyekuru,H. Onyekuru,F,175.0,741,M,809220,EUR,865468800,M,7,7,False,10.0,8.0,,,4.0,4.0,6.0,,2.0,,,,,72.0,17.0,6.9,5.0,1,7,,4.0,3.0,4.0,,1.0,,,,,1.0,,,2.0,,2.0,,,1.0,,,,,,,1.0,,1.0,1.0,2.0,,,,
10434157,home,Adana Demirspor,Cherif Ndiaye,ndiaye-cherif,C. Ndiaye,F,188.0,6602,M,868268,EUR,822355200,F,29,29,False,15.0,13.0,1.0,1.0,7.0,7.0,8.0,,2.0,,,,,90.0,32.0,8.4,9.0,4,19,,6.0,5.0,5.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,,,4.0,4.0,2.0,,,,,2.0,,2.0,,1.0,,,,
