match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_firstName,player_lastName,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_blockedScoringAttempt,stat_fouls,stat_totalCross,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goals,stat_totalOffside
13269059,home,De Graafschap,Joshua Smits,joshua-smits,J. Smits,G,22,187.0,28,M,156563,EUR,721008000.0,G,16,16,False,33.0,23.0,13.0,3.0,0.0,20.0,23.0,3.0,10.0,1.0,2.0,1.0,2.0,2.0,90.0,37.0,6.1,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13269059,home,De Graafschap,Seth Saarinen,seth-saarinen,S. Saarinen,D,27,175.0,17,M,933674,EUR,989020800.0,D,2,2,False,24.0,17.0,5.0,,0.0,8.0,10.0,9.0,14.0,1.0,5.0,,,,68.0,46.0,6.6,10.0,0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
13269059,home,De Graafschap,Rowan Besselink,rowan-besselink,R. Besselink,D,3,190.0,38,M,1392464,EUR,1097452800.0,D,3,3,False,50.0,45.0,4.0,2.0,0.0,35.0,36.0,10.0,14.0,7.0,4.0,,,,90.0,66.0,7.0,6.0,0,1.0,3.0,3.0,,,,1.0,1.0,,1.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
13269059,home,De Graafschap,Rio Hillen,rio-hillen,R. Hillen,D,22,187.0,90,M,1012927,EUR,1046822400.0,D,20,20,False,65.0,55.0,9.0,4.0,0.0,42.0,45.0,13.0,20.0,7.0,5.0,,,,90.0,84.0,6.7,10.0,1,1.0,2.0,4.0,1.0,,,2.0,,,1.0,Rio,Hillen,1.0,,,1.0,1.0,,,,,,,,,,,,,,
13269059,home,De Graafschap,Levi Schoppema,levi-schoppema,L. Schoppema,D,5,179.0,19,M,1387856,EUR,1085616000.0,D,5,5,False,33.0,27.0,2.0,1.0,0.0,16.0,19.0,11.0,14.0,3.0,4.0,,,,82.0,53.0,6.5,8.0,0,2.0,2.0,5.0,,,,2.0,1.0,1.0,1.0,Levi Schoppema,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
13269059,home,De Graafschap,Arjen Van Der Heide,arjen-van-der-heide,A. V. D. Heide,M,26,174.0,93,M,917006,EUR,1006128000.0,M,28,28,False,18.0,15.0,,,0.0,6.0,6.0,9.0,16.0,,3.0,,,,68.0,34.0,6.9,12.0,0,,2.0,4.0,,1.0,,2.0,1.0,3.0,2.0,Arjen,Van Der Heide,,1.0,,1.0,,,4.0,1.0,2.0,,,,,,,,,,
13269059,home,De Graafschap,Philip Brittijn,philip-brittijn,P. Brittijn,M,23,182.0,100,M,1132766,EUR,1081468800.0,M,23,23,False,20.0,15.0,3.0,1.0,0.0,9.0,11.0,7.0,10.0,,4.0,,,,45.0,29.0,6.3,9.0,0,,4.0,3.0,,3.0,1.0,1.0,,1.0,1.0,Philip Brittijn,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,
13269059,home,De Graafschap,Anass Najah,anass-najah,A. Najah,M,21,170.0,31,M,852393,EUR,874368000.0,M,27,27,False,46.0,40.0,3.0,,0.0,24.0,24.0,16.0,22.0,4.0,6.0,,,,90.0,66.0,6.7,9.0,1,,5.0,3.0,1.0,1.0,,1.0,,2.0,2.0,,,1.0,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,
13269059,home,De Graafschap,Ibrahim El Kadiri,ibrahim-el-kadiri,I. E. Kadiri,M,11,170.0,419,M,1006443,EUR,1011744000.0,M,30,30,False,22.0,17.0,1.0,1.0,0.0,5.0,6.0,12.0,18.0,3.0,2.0,,,,90.0,44.0,6.4,16.0,0,,11.0,5.0,4.0,3.0,1.0,3.0,1.0,4.0,1.0,,,1.0,3.0,,1.0,,1.0,2.0,,2.0,,,,,,,,,,
13269059,home,De Graafschap,Ralf Seuntjens,ralf-seuntjens,R. Seuntjens,F,30,192.0,108,M,73795,EUR,608774400.0,F,26,26,False,26.0,15.0,3.0,1.0,0.0,5.0,7.0,10.0,19.0,4.0,3.0,,,,75.0,38.0,6.5,17.0,0,3.0,5.0,5.0,,,,,,2.0,2.0,,,,4.0,,,,1.0,,,,,,True,,,,,,,
13269059,home,De Graafschap,Donny Warmerdam,warmerdam-donny,D. Warmerdam,M,56,174.0,102,M,996987,EUR,1009929600.0,F,8,8,False,17.0,12.0,1.0,,0.0,5.0,6.0,7.0,11.0,2.0,2.0,,,,90.0,25.0,6.4,5.0,2,,5.0,2.0,1.0,,,1.0,1.0,,1.0,,,2.0,,,,1.0,2.0,,,,,1.0,,,,,,,,
13269059,home,De Graafschap,Tristan van Gilst,tristan-van-gilst,T. v. Gilst,M,17,178.0,84,M,1213453,EUR,1045526400.0,F,7,7,True,12.0,8.0,,,0.0,3.0,3.0,5.0,9.0,,3.0,,,,45.0,28.0,6.5,10.0,3,,2.0,4.0,,1.0,1.0,2.0,,3.0,1.0,Tristan van Gilst,,1.0,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,
13269059,home,De Graafschap,Jeffrey Fortes,jeffrey-fortes,J. Fortes,D,22,182.0,33,M,52753,EUR,606528000.0,D,22,22,True,12.0,6.0,2.0,,0.0,2.0,2.0,4.0,12.0,1.0,1.0,,,,22.0,24.0,6.9,9.0,0,1.0,,2.0,,,,1.0,1.0,,,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,
13269059,home,De Graafschap,Mimoun Mahi,mimoun-mahi,M. Mahi,F,,181.0,195,M,252253,EUR,763516800.0,F,10,10,True,7.0,4.0,1.0,,0.0,1.0,1.0,3.0,6.0,,3.0,,,,22.0,11.0,6.7,5.0,1,,1.0,,1.0,,,,,2.0,,Mimoun,Mahi,,,,,,,,,1.0,,1.0,,,,,,,,
13269059,home,De Graafschap,Blind Azad Umer,blind-azad-umer,B. A. Umer,F,19,,49,M,1856240,EUR,,F,19,19,True,3.0,,,,0.0,,,,3.0,,,,,,15.0,5.0,6.6,3.0,0,1.0,3.0,2.0,,,,1.0,1.0,,,Blind,Azad Umer,3.0,,,,,,,,,,,,,,,,,,
13269059,home,De Graafschap,Maas Willemsen,maas-willemsen,M. Willemsen,D,3,190.0,70,M,1132765,EUR,1051574400.0,D,4,4,True,9.0,7.0,3.0,3.0,0.0,3.0,5.0,4.0,4.0,,4.0,,,,8.0,13.0,6.8,3.0,0,,3.0,2.0,,,,2.0,1.0,,,Maas Willemsen,,2.0,,,,,1.0,,,,,,,,,,,,,
13269059,home,De Graafschap,Sten Kremers,sten-kremers,S. Kremers,G,12,185.0,30,M,1142568,EUR,1076889600.0,G,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
