match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_wonContest,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_shotValueNormalized,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_penaltyWon
14015679,home,SV Hemelingen,Marcel Pfarr,Marcel,Pfarr,marcel-pfarr,M. Pfarr,G,1,187.0,1,M,939888,EUR,908668800,G,1,1,False,True,40.0,28.0,19.0,7.0,0.0,25.0,27.0,3.0,13.0,1.0,1.0,11.0,1.0,8.0,1.0,8.0,90.0,56.0,7.0,13.0,1.2338,0,-0.03,-0.02,-0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Dean Hannawald,Dean Hannawald,,dean-hannawald,D. Hannawald,D,2,,0,M,1518759,EUR,1043366400,D,2,2,False,,19.0,12.0,4.0,2.0,0.0,10.0,13.0,2.0,6.0,6.0,4.0,4.0,1.0,,,,90.0,42.0,4.7,11.0,,0,-0.06,0.03,-1.0,,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Kerem Sahan,Kerem,Sahan,kerem-sahan,K. Sahan,D,25,178.0,2,M,800604,EUR,830217600,D,25,25,False,,17.0,13.0,3.0,1.0,0.0,13.0,15.0,,2.0,2.0,1.0,2.0,,,,,67.0,31.0,5.8,9.0,,0,-0.04,0.03,-0.41,,,5.0,,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Florent Berisha,Florent,Berisha,florent-berisha,F. Berisha,D,4,182.0,2,M,978849,EUR,967766400,D,4,4,False,,36.0,31.0,8.0,5.0,0.0,28.0,31.0,3.0,5.0,,7.0,2.0,,,,,90.0,46.0,5.3,5.0,,0,0.13,-0.11,-1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Salem Nouwame,Salem Nouwame,,salem-nouwame,S. Nouwame,D,22,,1,M,2215231,EUR,1045526400,D,22,22,False,,25.0,20.0,4.0,2.0,0.0,15.0,18.0,5.0,7.0,8.0,,5.0,4.0,,,,90.0,52.0,4.6,15.0,,0,0.1,0.24,-1.0,,,9.0,,3.0,6.0,,2.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14015679,home,SV Hemelingen,Yusuf Erten,Yusuf,Erten,erten-yusuf,Y. Erten,D,23,,0,M,1544635,EUR,1078272000,M,23,23,False,,17.0,14.0,3.0,2.0,0.0,10.0,12.0,4.0,5.0,6.0,1.0,2.0,1.0,,,,75.0,28.0,6.6,7.0,,0,0.02,-0.07,-0.1,,1.0,5.0,,1.0,1.0,,1.0,4.0,4.0,2.0,,2.0,,,,1.0,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Berkay Isik,Berkay Isik,,berkay-isik,B. Isik,M,62,,0,M,2215209,EUR,981504000,M,62,62,False,,16.0,14.0,2.0,,0.0,13.0,15.0,1.0,1.0,1.0,1.0,2.0,,,,,66.0,22.0,5.9,3.0,,0,-0.07,0.07,-0.28,,,3.0,,1.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Nicolas Liam George Fenski,,,fenski-nicolas-liam-george,N. L. G. Fenski,D,21,,1,M,1473172,EUR,1046649600,M,21,21,False,,8.0,4.0,1.0,,0.0,3.0,5.0,1.0,3.0,2.0,1.0,2.0,,,,,66.0,15.0,6.2,6.0,,0,-0.06,0.02,-0.25,,,2.0,1.0,,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
14015679,home,SV Hemelingen,Abdula Genaev,,,abdula-genaev,A. Genaev,M,10,166.0,1,M,1034409,EUR,979776000,M,10,10,False,,12.0,8.0,1.0,1.0,0.0,3.0,5.0,5.0,7.0,2.0,1.0,1.0,2.0,,,,90.0,16.0,5.9,4.0,,0,0.01,0.18,-0.55,,,3.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
14015679,home,SV Hemelingen,Leonardo Cristescu,Leonardo Cristescu,,leonardo-cristescu,L. Cristescu,F,7,,1,M,1391718,EUR,1070582400,M,7,7,False,,21.0,14.0,3.0,,0.0,13.0,18.0,1.0,3.0,1.0,,2.0,,,,,90.0,28.0,5.7,10.0,,2,-0.16,0.03,-0.53,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,-0.29,,,,,,,,,
