match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_wasFouled,stat_dispossessed,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,player_sofascoreId,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,captain,stat_penaltyConceded,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals
13981659,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1836,M,308182,EUR,763862400,G,94,94,False,27.0,24.0,11.0,8.0,0.0,21.0,24.0,3.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,90.0,32.0,6.5,3.0,0.00291785,38.202401780722,6.0,30.882570800418,0.0,0.3146,0,-0.4022,0.06,0.0,-0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981659,home,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1140,M,267619,EUR,719280000,D,77,77,False,45.0,37.0,4.0,1.0,0.0,19.0,21.0,18.0,24.0,2.0,,,,,,90.0,60.0,6.1,13.0,0.0117405,73.567579085121,14.0,40.608024558071,0.0,,1,,-0.09,0.11,-0.33,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0628,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981659,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1786,M,965828,EUR,967507200,D,34,34,False,39.0,34.0,6.0,5.0,0.0,29.0,30.0,5.0,9.0,2.0,,1.0,,,,45.0,41.0,6.5,5.0,0.00242046,68.311523830917,11.0,22.949600911717,0.0,,0,,-0.02,0.02,-0.2,,,2.0,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13981659,home,Lazio,Oliver Provstgaard,oliver-provstgaard,O. Provstgaard,D,25,194,606,M,1160559,EUR,1054684800,D,25,25,False,56.0,52.0,5.0,2.0,0.0,35.0,37.0,17.0,19.0,4.0,,6.0,,,,90.0,66.0,6.7,7.0,0.00632794,85.596214569565,15.0,11.14889393917,0.0,,0,,0.1,0.05,-0.18,,,1.0,,1.0,,,2.0,1.0,1.0,,,Oliver Provstgaard,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
13981659,home,Lazio,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4820,M,944973,EUR,948844800,D,17,17,False,72.0,64.0,4.0,3.0,0.0,35.0,37.0,29.0,35.0,1.0,,4.0,,,,90.0,94.0,6.9,16.0,0.474716,295.8092229479,22.0,220.94952877303,7.0,,1,,0.58,0.26,-0.46,,10.0,1.0,,1.0,,,,1.0,,0.0218,-0.04,,,,,,,1.0,1.0,1.0,1.0,nuno_tavares71,4.0,1.0,1.0,2.0,31.746034222118,181.66257447048,3.0,,,,,,,,,,
13981659,home,Lazio,Fisayo Dele-Bashiru,dele-bashiru-oluwafisayo,F. Dele-Bashiru,M,7,186,3768,M,910121,EUR,981417600,M,7,7,False,28.0,25.0,,,0.0,10.0,10.0,15.0,18.0,3.0,,2.0,,,,90.0,34.0,6.3,7.0,0.00899445,81.426061133418,8.0,4.6980961502674,1.0,,0,,-0.15,0.05,-0.1,,2.0,2.0,1.0,2.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,,,10.759977552442,20.167843811375,,,,,,,,,,,
13981659,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,964,M,317301,EUR,776131200,M,32,32,False,24.0,22.0,2.0,1.0,0.0,10.0,10.0,12.0,14.0,,,5.0,,,,67.0,36.0,6.9,4.0,0.186704,31.864842455087,6.0,-1.3011054664443,0.0,,1,,0.33,0.02,-0.13,,2.0,,,3.0,,1.0,,2.0,1.0,0.0451,-0.09,,,1.0,,,,2.0,,,1.0,,2.0,,,,,,1.0,True,1.0,,,,,,,,
13981659,home,Lazio,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3635,M,959806,EUR,1021507200,M,24,24,False,31.0,27.0,4.0,2.0,0.0,14.0,14.0,13.0,17.0,5.0,1.0,2.0,,,,79.0,46.0,7.4,7.0,0.0165421,86.632738780172,11.0,10.994698209914,1.0,,2,,0.04,0.05,-0.1,,,,,6.0,1.0,,1.0,4.0,2.0,0.1478,0.31,,,1.0,,,,,4.0,,,,,,,,13.060629898423,13.109790272922,,,,3.0,1.0,2.0,1.0,1.06,,,
13981659,home,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3347,M,976381,EUR,987638400,F,18,18,False,24.0,17.0,1.0,1.0,0.0,2.0,3.0,15.0,21.0,2.0,,3.0,,,,88.0,40.0,6.7,16.0,0.0100309,234.07801001191,18.0,146.89074826464,3.0,,1,,-0.08,0.31,0.14,,3.0,,,3.0,,1.0,,1.0,,0.0177,-0.12,,,1.0,,,1.0,,1.0,,3.0,,,,,,36.283579434119,86.972818649193,1.0,,,3.0,1.0,,,,,,
13981659,home,Lazio,Daniel Maldini,daniel-maldini,D. Maldini,F,27,187,4692,M,970928,EUR,1002758400,F,27,27,False,37.0,29.0,,,0.0,9.0,13.0,20.0,24.0,3.0,,5.0,,,,90.0,59.0,7.0,14.0,0.0992534,259.92447555484,27.0,136.30289345532,6.0,,5,,-0.16,0.33,0.17,,,,,6.0,1.0,2.0,,2.0,4.0,0.2214,-0.18,,,4.0,,,,2.0,2.0,,5.0,dani.malda,,1.0,2.0,,22.560595886517,107.74080325745,3.0,,,1.0,,1.0,,0.1192,,,
