match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_aerialLost,stat_wonTackle,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_wasFouled,stat_onTargetScoringAttempt,captain,stat_totalOffside,stat_hitWoodwork,stat_totalKeeperSweeper
10407260,home,KV Kortrijk,Tom Vandenberghe,,,tom-vandenberghe,T. Vandenberghe,G,23,190.0,77,M,1046454,EUR,714009600,G,1,1,False,31.0,24.0,19.0,12.0,13.0,14.0,11.0,17.0,1.0,1.0,12.0,2.0,2.0,3.0,90.0,38.0,7.6,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,
10407260,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187.0,281,M,1068519,EUR,916272000,D,44,44,False,34.0,25.0,7.0,3.0,18.0,25.0,7.0,9.0,2.0,4.0,9.0,,,,90.0,52.0,7.3,9.0,1,2.0,1.0,1.0,7.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
10407260,home,KV Kortrijk,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187.0,1372,M,942213,EUR,855100800,D,4,4,False,60.0,46.0,10.0,2.0,37.0,44.0,9.0,16.0,3.0,6.0,5.0,,,,90.0,68.0,6.9,14.0,0,5.0,,,4.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,
10407260,home,KV Kortrijk,Martin Wasinski,Martin Wasinski,,martin-wasinski,M. Wasinski,D,2,185.0,167,M,1131054,EUR,1081296000,D,21,21,False,57.0,50.0,7.0,6.0,29.0,31.0,21.0,26.0,3.0,10.0,3.0,,,,90.0,74.0,7.6,8.0,1,6.0,4.0,,3.0,1.0,4.0,1.0,,3.0,1.0,3.0,3.0,1.0,2.0,2.0,,,,,,,,,
10407260,home,KV Kortrijk,David Henen,,,david-henen,D. Henen,F,10,185.0,74,M,790765,EUR,829872000,M,77,77,False,27.0,18.0,3.0,2.0,9.0,13.0,10.0,17.0,1.0,1.0,7.0,,,,72.0,47.0,6.5,15.0,0,3.0,1.0,,2.0,,,,,,,2.0,,,,,3.0,1.0,1.0,,,,,,
10407260,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170.0,2010,M,1007528,EUR,961804800,M,18,18,False,43.0,33.0,4.0,2.0,9.0,11.0,24.0,33.0,2.0,8.0,9.0,,,,90.0,67.0,6.9,19.0,1,8.0,,1.0,,2.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,,,,1.0,,4.0,2.0,,,,,
10407260,home,KV Kortrijk,Nayel Mehssatou,,,nayel-mehssatou,N. Mehssatou,M,8,172.0,534,M,1064174,EUR,1018569600,M,25,25,False,37.0,28.0,10.0,5.0,10.0,12.0,19.0,27.0,1.0,5.0,5.0,,,,90.0,54.0,6.7,14.0,0,6.0,1.0,,1.0,,2.0,3.0,,2.0,2.0,2.0,2.0,,,,2.0,1.0,2.0,,,,,,
10407260,home,KV Kortrijk,Faïz Selemani,,,faiz-selemani,F. Selemani,F,7,178.0,361,M,842745,EUR,754617600,M,10,10,False,29.0,22.0,4.0,3.0,6.0,7.0,19.0,29.0,3.0,13.0,8.0,,,,90.0,68.0,7.4,21.0,3,13.0,3.0,2.0,,1.0,2.0,1.0,5.0,2.0,3.0,6.0,5.0,,1.0,2.0,7.0,3.0,5.0,3.0,1.0,,,,
10407260,home,KV Kortrijk,Kristof D'Haene,,,kristof-dhaene,K. D'Haene,M,,171.0,15,,121602,EUR,644630400,M,30,30,False,50.0,44.0,10.0,6.0,9.0,10.0,41.0,49.0,,7.0,5.0,,,,89.0,89.0,8.1,14.0,1,4.0,1.0,1.0,2.0,,4.0,2.0,1.0,2.0,,3.0,3.0,,1.0,6.0,9.0,6.0,5.0,,,True,,,
10407260,home,KV Kortrijk,Felipe Avenatti,,,felipe-avenatti,F. Avenatti,F,9,194.0,145,M,308058,EUR,767318400,F,20,20,False,31.0,19.0,2.0,1.0,4.0,4.0,15.0,28.0,9.0,11.0,4.0,,,,90.0,53.0,6.9,21.0,1,6.0,,1.0,6.0,,,,2.0,,3.0,2.0,1.0,,,1.0,1.0,,4.0,1.0,,,1.0,,
