match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_outfielderBlock,stat_interceptionWon,player_firstName,player_lastName,stat_challengeLost,stat_errorLeadToAShot,stat_fouls,stat_totalCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_dispossessed,stat_wasFouled,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_totalOffside,stat_errorLeadToAGoal,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork
12117289,home,Corinthians,Hugo Souza,hugo-souza,H. Souza,G,1,199,25650,M,hugosouza,950454,EUR,917740800,G,1,1,False,True,28.0,17.0,16.0,5.0,0.0,14.0,14.0,3.0,14.0,1.0,13.0,2.0,4.0,4.0,1.0,90.0,43.0,8.1,12.0,0.0010813,0,1.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117289,home,Corinthians,André Ramalho,andre-ramalho,A. Ramalho,D,5,182,5367,M,,148155,EUR,698198400,D,5,5,False,,17.0,17.0,4.0,4.0,0.0,14.0,14.0,3.0,3.0,6.0,,,,,,45.0,29.0,7.4,,0.00075671,0,,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12117289,home,Corinthians,Gustavo Henrique,gustavo-henrique,G. Henrique,D,13,195,5441,M,,243181,EUR,732931200,D,13,13,False,,41.0,31.0,8.0,,0.0,25.0,27.0,6.0,14.0,8.0,1.0,,,,,90.0,52.0,6.9,10.0,0.00098311,0,,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117289,home,Corinthians,Félix Torres,felix-torres,F. Torres,D,4,187,5321,M,felix_torres,881848,EUR,852940800,D,3,3,False,,34.0,27.0,3.0,2.0,0.0,22.0,27.0,5.0,7.0,3.0,5.0,,,,,90.0,40.0,6.8,7.0,0.00354011,0,,,1.0,2.0,1.0,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12117289,home,Corinthians,Matheuzinho,matheuzinho,Matheuzinho,D,2,171,7286,M,mateuzinhoo,931540,EUR,968371200,M,2,2,False,,26.0,21.0,4.0,1.0,1.0,11.0,15.0,10.0,12.0,1.0,7.0,,,,,90.0,48.0,7.4,8.0,0.0578659,0,,2.0,,4.0,4.0,1.0,3.0,,,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12117289,home,Corinthians,José Martínez,jose-martinez,J. Martínez,M,70,177,7398,M,elBrujo,979325,EUR,776217600,M,70,70,False,,33.0,21.0,5.0,3.0,0.0,14.0,22.0,7.0,11.0,3.0,9.0,,,,,90.0,50.0,7.2,14.0,0.0108842,0,,1.0,1.0,4.0,4.0,1.0,4.0,,,1.0,,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
12117289,home,Corinthians,Alex Santana,alex-santana,A. Santana,M,80,182,2736,M,,358166,EUR,800323200,M,80,80,False,,24.0,21.0,3.0,1.0,0.0,15.0,18.0,6.0,6.0,5.0,2.0,,,,,58.0,34.0,6.4,4.0,0.00326347,0,,,3.0,4.0,6.0,,,,,2.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,
12117289,home,Corinthians,Hugo,hugo,Hugo,D,,179,3173,M,,1017827,EUR,872812800,M,46,46,False,,22.0,12.0,3.0,1.0,0.0,6.0,9.0,6.0,14.0,3.0,3.0,,,,,75.0,40.0,7.0,13.0,0.0018513,0,,,3.0,3.0,9.0,1.0,,,,,,2.0,1.0,1.0,,5.0,3.0,,,,1.0,,,,,,,,,,,,
12117289,home,Corinthians,Rodrigo Garro,rodrigo-garro,R. Garro,M,8,174,33134,M,rodrigarroo,994454,EUR,883872000,F,10,10,False,,42.0,32.0,5.0,2.0,1.0,17.0,20.0,15.0,23.0,,8.0,,,,,90.0,73.0,8.4,23.0,0.0660469,1,,2.0,1.0,9.0,11.0,,,,,3.0,,2.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0424,0.2255,,,,,,,
12117289,home,Corinthians,Yuri Alberto,yuri-alberto,Y. Alberto,F,9,183,45110,M,yurialberto,905463,EUR,984873600,F,9,9,False,,5.0,2.0,,,0.0,,,2.0,6.0,1.0,1.0,,,,,75.0,26.0,7.4,11.0,0.00082265,4,,4.0,,9.0,2.0,,,,,,,2.0,1.0,2.0,1.0,,,4.0,,2.0,1.0,,3.0,1.0,0.7156,1.2799,1.0,1.0,,,,,
