match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented
12528268,home,Galatasaray,Fernando Muslera,fernando-muslera,F. Muslera,G,16,190,9264,M,Muslera,28381,EUR,519264000,G,1,1,False,True,43.0,35.0,16.0,9.0,0.0,33.0,35.0,2.0,8.0,1.0,11.0,3.0,90.0,51.0,7.2,8.0,0.00063752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528268,home,Galatasaray,Kaan Ayhan,kaan-ayhan,K. Ayhan,D,23,185,4087,M,,138152,EUR,784425600,D,23,23,False,,44.0,42.0,2.0,2.0,0.0,21.0,21.0,23.0,29.0,3.0,4.0,,89.0,60.0,7.4,7.0,0.30881,1,6.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0219,0.1414,,,,,,,,,,,,,,,,,,,,,
12528268,home,Galatasaray,Davinson Sánchez,davinson-sanchez,D. Sánchez,D,6,187,12299,M,DAVINSON,566102,EUR,834537600,D,6,6,False,,63.0,54.0,6.0,4.0,0.0,31.0,33.0,23.0,30.0,2.0,6.0,,90.0,76.0,7.6,9.0,0.0059548,0,,,,1.0,4.0,1.0,1.0,,,,,1.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12528268,home,Galatasaray,Abdülkerim Bardakcı,abdulkerim-bardakci,A. Bardakcı,D,42,185,6104,M,abdulkerimbard1,178963,EUR,778896000,D,42,42,False,,68.0,58.0,8.0,4.0,0.0,38.0,41.0,21.0,28.0,2.0,4.0,,90.0,82.0,7.3,13.0,0.0595145,1,1.0,1.0,2.0,4.0,2.0,,,1.0,2.0,0.0713,0.109,1.0,,3.0,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,
12528268,home,Galatasaray,Ismail Jakobs,ismail-jakobs,I. Jakobs,D,4,184,7106,M,ismaijakobs,897291,EUR,934848000,D,4,4,False,,54.0,45.0,6.0,3.0,0.0,21.0,21.0,25.0,36.0,2.0,3.0,,90.0,85.0,7.3,17.0,0.113697,1,3.0,1.0,1.0,2.0,2.0,,,,1.0,0.0428,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,
12528268,home,Galatasaray,Lucas Torreira,lucas-torreira,L. Torreira,M,34,168,8760,M,ltorreira34,754794,EUR,823996800,M,34,34,False,,50.0,43.0,8.0,7.0,0.0,17.0,17.0,26.0,33.0,,3.0,,90.0,61.0,7.3,9.0,0.0613087,1,,,,4.0,3.0,,,,2.0,0.0427,,1.0,,1.0,3.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
12528268,home,Galatasaray,Gabriel Sara,gabriel-sara,G. Sara,M,8,178,11687,M,gabrielsara,913593,EUR,930355200,M,20,20,False,,45.0,38.0,4.0,3.0,1.0,15.0,17.0,25.0,32.0,1.0,7.0,,90.0,70.0,8.1,14.0,0.47091,3,4.0,2.0,1.0,7.0,6.0,2.0,2.0,1.0,1.0,0.2234,0.1202,1.0,,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,,,1.0,1.0,1.0,,,,,
12528268,home,Galatasaray,Yunus Akgün,yunus-akgun,Y. Akgün,M,11,173,9047,M,yunusakgun17,857738,EUR,962928000,M,11,11,False,,22.0,19.0,1.0,,0.0,5.0,6.0,14.0,19.0,,2.0,,81.0,42.0,7.7,14.0,0.0859088,3,3.0,,,4.0,4.0,4.0,3.0,2.0,,0.5964,0.5089,1.0,,,,,1.0,,2.0,5.0,1.0,1.0,,,,,,1.0,,,,
12528268,home,Galatasaray,Dries Mertens,dries-mertens,D. Mertens,M,,169,10127,M,driesmertens,32493,EUR,547257600,M,10,10,False,,20.0,15.0,,,0.0,3.0,3.0,14.0,25.0,,4.0,,65.0,39.0,7.7,14.0,0.0734719,2,8.0,2.0,,1.0,4.0,,,2.0,,0.0556,0.4693,,,1.0,2.0,1.0,2.0,,1.0,2.0,2.0,,,,,,,,,,,
12528268,home,Galatasaray,Barış Alper Yılmaz,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13210,M,barisalperyilmaz,904096,EUR,959040000,M,53,53,False,,32.0,28.0,3.0,2.0,0.0,3.0,4.0,25.0,32.0,,2.0,,89.0,56.0,7.4,12.0,0.0631441,4,4.0,,,5.0,4.0,3.0,2.0,2.0,4.0,0.1915,0.6176,1.0,,,1.0,1.0,1.0,,,3.0,1.0,,,,,1.0,2.0,,1.0,,,
