match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_keyPass,player_firstName,stat_outfielderBlock,stat_errorLeadToAGoal,stat_fouls,player_lastName,stat_aerialLost,stat_wasFouled,stat_dispossessed,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_goals,stat_wonTackle,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed
12450968,home,RC Strasbourg,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,1,1,False,53.0,49.0,10.0,6.0,0.0,44.0,45.0,5.0,8.0,1.0,14.0,2.0,5.0,5.0,1.0,1.0,90.0,65.0,8.1,4.0,0.00287402,0,1.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450968,home,RC Strasbourg,Guéla Doué,guela-doue,G. Doué,D,22,187,10608,M,,1002033,EUR,1034812800,D,22,22,False,70.0,57.0,6.0,1.0,0.0,44.0,50.0,14.0,23.0,6.0,8.0,,,,,,90.0,96.0,6.7,21.0,0.210643,0,,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
12450968,home,RC Strasbourg,Mamadou Sarr,sarr-mamadou,M. Sarr,D,19,194,21849,M,,1154657,EUR,1125273600,D,23,23,False,72.0,69.0,4.0,3.0,0.0,66.0,67.0,3.0,5.0,5.0,4.0,,,,,,90.0,82.0,6.7,6.0,0.00233978,0,,,,,2.0,,,1.0,,,,,1.0,1.0,Mamadou Sarr,1.0,1.0,1.0,,,,,,,,,,,,,,,
12450968,home,RC Strasbourg,Ismael Doukouré,ismael-doukoure,I. Doukouré,D,6,183,1100,M,,1049517,EUR,1059004800,D,29,29,False,52.0,46.0,2.0,1.0,0.0,40.0,42.0,6.0,10.0,6.0,4.0,,,,,,90.0,63.0,6.2,7.0,0.00413021,0,,,,1.0,3.0,3.0,,,,,,,,,Ismael Doukoure,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,,
12450968,home,RC Strasbourg,Diego Moreira,diego-moreira,D. Moreira,F,7,179,6007,M,diegzyyy,1142233,EUR,1091750400,D,7,7,False,22.0,17.0,2.0,1.0,0.0,13.0,17.0,5.0,14.0,2.0,7.0,,,,,,89.0,56.0,6.6,22.0,0.0559576,0,,9.0,1.0,1.0,7.0,5.0,2.0,6.0,4.0,4.0,,,3.0,1.0,Diego,,,,Moreira,,,3.0,,,,,,,,,,,
12450968,home,RC Strasbourg,Habib Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,,1128532,EUR,1073088000,M,19,19,False,23.0,21.0,3.0,2.0,1.0,18.0,19.0,6.0,8.0,4.0,2.0,,,,,,90.0,41.0,7.3,8.0,0.761387,1,,4.0,3.0,,6.0,2.0,,3.0,,,1.0,,1.0,3.0,Habib,,,1.0,Diarra,1.0,1.0,1.0,True,1.0,1.0,0.0265,0.298,,,,,,
12450968,home,RC Strasbourg,Andrey Santos,santos-andrey,A. Santos,M,17,180,27949,M,andreysantos_5,1105779,EUR,1083542400,M,8,8,False,32.0,28.0,2.0,1.0,0.0,23.0,24.0,5.0,8.0,2.0,4.0,,,,,,90.0,45.0,7.4,5.0,0.0070492,2,,,,,5.0,2.0,2.0,,,1.0,,,,,Andrey Santos,1.0,,2.0,,1.0,2.0,,,,2.0,0.0703,0.311,1.0,,,,,
12450968,home,RC Strasbourg,Abdoul Ouattara,abdoul-ouattara,A. Ouattara,M,42,180,1131,M,,1930811,EUR,1129939200,M,42,42,False,22.0,19.0,1.0,1.0,0.0,14.0,14.0,5.0,8.0,1.0,4.0,,,,,,80.0,34.0,6.7,7.0,0.00150194,0,,,,1.0,3.0,4.0,,,,1.0,2.0,,3.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,2.0,,,,
12450968,home,RC Strasbourg,Félix Lemaréchal,felix-lemarechal,F. Lemaréchal,M,80,181,791,M,,1130942,EUR,1060214400,M,6,6,False,26.0,21.0,2.0,1.0,0.0,15.0,17.0,6.0,10.0,1.0,1.0,,,,,,80.0,43.0,6.3,13.0,0.00252892,2,,1.0,,,9.0,,1.0,1.0,,1.0,,,1.0,,,,,2.0,,1.0,,4.0,,,1.0,0.0418,0.4245,,,1.0,1.0,,
12450968,home,RC Strasbourg,Sebastian Nanasi,sebastian-nanasi,S. Nanasi,M,11,178,2778,M,,962068,EUR,1021507200,M,15,15,False,16.0,14.0,,,0.0,10.0,10.0,4.0,7.0,,1.0,,,,,,45.0,21.0,6.7,4.0,0.0618099,0,,1.0,,,1.0,,,1.0,,,,,,2.0,Sebastian Nanasi,,,,,,,,,,,,,,,,,,
