match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_interceptionWon,stat_wasFouled,stat_blockedScoringAttempt,stat_totalContest,stat_unsuccessfulTouch,stat_totalOffside,stat_challengeLost,stat_fouls,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_punches,player_sofascoreId
10887715,home,Dagenham & Redbridge,Elliot Justham,Elliot,Justham,elliot-justham,E. Justham,G,1,190.0,4,M,363154,EUR,648259200.0,G,1,1,False,32.0,13.0,27.0,9.0,6.0,7.0,7.0,25.0,13.0,1.0,1.0,90.0,35.0,6.5,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Josh Hare,,,josh-hare,J. Hare,D,12,183.0,8,M,288975,EUR,776649600.0,D,2,2,False,34.0,17.0,9.0,3.0,9.0,15.0,9.0,23.0,2.0,,,90.0,70.0,7.4,25.0,1,4.0,1.0,5.0,2.0,5.0,7.0,1.0,7.0,1.0,5.0,4.0,2.0,,,,,,,,,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Manny Onariase,,,onariase-manny,M. Onariase,D,,186.0,11,M,792123,EUR,845856000.0,D,5,5,False,19.0,10.0,6.0,1.0,6.0,10.0,4.0,9.0,2.0,,,90.0,36.0,7.6,9.0,0,,,2.0,6.0,2.0,11.0,,5.0,2.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Harry Phipps,,,harry-phipps,H. Phipps,D,6,174.0,17,M,876228,EUR,909100800.0,D,16,16,False,28.0,18.0,9.0,2.0,14.0,18.0,4.0,10.0,3.0,,,90.0,53.0,7.6,15.0,3,,,2.0,6.0,2.0,11.0,1.0,7.0,2.0,5.0,3.0,,1.0,,2.0,,,,,,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Myles Weston,Myles,Weston,myles-weston,M. Weston,M,40,180.0,16,M,21587,EUR,574128000.0,M,11,11,False,27.0,19.0,7.0,3.0,6.0,8.0,20.0,38.0,7.0,,,90.0,62.0,7.7,26.0,2,19.0,7.0,2.0,2.0,5.0,6.0,,1.0,1.0,1.0,1.0,8.0,1.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Omar Mussa,,,omar-mussa,O. Mussa,M,4,184.0,30,M,973124,EUR,966729600.0,M,6,6,False,34.0,26.0,5.0,2.0,3.0,6.0,24.0,30.0,5.0,,,78.0,48.0,7.0,11.0,3,2.0,1.0,,1.0,2.0,4.0,1.0,1.0,,3.0,2.0,2.0,,,2.0,,2.0,,1.0,1.0,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Dean Rance,,,dean-rance,D. Rance,M,,180.0,1,M,162743,EUR,674179200.0,M,4,4,False,39.0,24.0,7.0,3.0,13.0,23.0,11.0,16.0,4.0,,,90.0,54.0,7.2,15.0,0,,,2.0,5.0,3.0,10.0,,3.0,,3.0,1.0,,3.0,2.0,,,,,,1.0,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Matt Robinson,,,matt-robinson,M. Robinson,M,,188.0,7,M,262387,EUR,770428800.0,M,12,12,False,40.0,31.0,3.0,2.0,7.0,10.0,24.0,30.0,9.0,,,90.0,60.0,6.8,16.0,4,,,1.0,3.0,5.0,6.0,3.0,,,2.0,1.0,1.0,,1.0,1.0,2.0,4.0,,,1.0,True,1.0,,,,,,,,
10887715,home,Dagenham & Redbridge,Mo Sagaf,Mo,Sagaf,mo-sagaf,M. Sagaf,M,8,178.0,48,M,910194,EUR,879292800.0,M,8,8,False,33.0,25.0,4.0,1.0,10.0,12.0,15.0,23.0,14.0,,,90.0,53.0,6.1,18.0,0,2.0,,3.0,,8.0,2.0,,2.0,,1.0,,1.0,1.0,1.0,,4.0,4.0,,1.0,1.0,,,,,,,,,,
10887715,home,Dagenham & Redbridge,Junior Morias,Junior,Morias,junior-morias,J. Morias,M,7,173.0,27,M,255187,EUR,804816000.0,F,24,24,False,29.0,21.0,1.0,1.0,7.0,9.0,14.0,20.0,8.0,,,90.0,49.0,7.2,18.0,5,,,1.0,,6.0,3.0,1.0,,,1.0,1.0,2.0,,2.0,,3.0,4.0,,,,,2.0,4.0,,,,,,,
