match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_bigChanceMissed,player_firstName,player_lastName,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalAssist,stat_bigChanceCreated
11352516,home,Wolverhampton,Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,242,M,101367,EUR,742521600,G,25,25,False,45.0,28.0,24.0,7.0,22.0,27.0,6.0,18.0,1.0,1.0,7.0,90.0,47.0,5.6,17.0,0.00135694,0,-1.3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352516,home,Wolverhampton,Nélson Semedo,nelson-semedo,N. Semedo,M,27,177,7696,M,252821,EUR,753408000,D,22,22,False,59.0,52.0,7.0,4.0,24.0,26.0,28.0,34.0,5.0,,5.0,90.0,83.0,6.3,14.0,0.0187054,0,,nelsonsemedo50,1.0,1.0,7.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11352516,home,Wolverhampton,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,894474,EUR,864345600,D,23,23,False,80.0,75.0,6.0,3.0,56.0,58.0,19.0,22.0,3.0,,6.0,90.0,89.0,6.8,7.0,0.00633924,1,,,,3.0,3.0,1.0,,,1.0,2.0,,,1.0,,True,2.0,1.0,2.0,0.0356,,,,,,,,,,,,,,,,,
11352516,home,Wolverhampton,Toti Gomes,toti-gomes,T. Gomes,D,24,187,1047,M,973418,EUR,916444800,D,24,24,False,58.0,49.0,7.0,2.0,30.0,32.0,19.0,27.0,2.0,1.0,3.0,89.0,72.0,6.7,11.0,0.00925181,0,,,1.0,4.0,7.0,,,,2.0,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
11352516,home,Wolverhampton,Matt Doherty,matt-doherty,M. Doherty,D,2,182,1449,M,143047,EUR,695520000,M,2,2,False,46.0,37.0,2.0,2.0,16.0,17.0,21.0,30.0,9.0,1.0,7.0,79.0,68.0,6.9,11.0,0.0179495,1,,,1.0,2.0,4.0,1.0,,,1.0,1.0,2.0,2.0,,,,7.0,,,0.1112,,,1.0,1.0,0.0804,,,,,,,,,,,,
11352516,home,Wolverhampton,João Gomes,joao-gomes,J. Gomes,M,8,176,14959,M,1015267,EUR,981936000,M,8,8,False,43.0,34.0,2.0,,12.0,12.0,25.0,36.0,8.0,1.0,8.0,90.0,76.0,7.1,20.0,0.0650246,2,,joaogomes.01,5.0,,10.0,4.0,3.0,2.0,,,7.0,2.0,1.0,2.0,,,1.0,1.0,0.1101,3.0,2.0,,,,3.0,1.0,,,,,,,,,,
11352516,home,Wolverhampton,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,307284,EUR,746841600,M,5,5,False,71.0,62.0,8.0,4.0,35.0,39.0,27.0,33.0,7.0,1.0,3.0,90.0,88.0,6.7,12.0,0.00737005,2,,,1.0,1.0,6.0,,2.0,,3.0,1.0,5.0,3.0,,,,2.0,,,0.1127,,2.0,1.0,,0.0641,,1.0,,,,,,,,,,
11352516,home,Wolverhampton,Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1011,M,982613,EUR,998265600,M,6,6,False,33.0,30.0,1.0,,19.0,19.0,12.0,16.0,8.0,1.0,3.0,45.0,43.0,6.4,7.0,0.0263677,0,,,2.0,1.0,4.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,,3.0,,,,1.0,3.0,,,,1.0,,,,,,,,,,,
11352516,home,Wolverhampton,Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,44710,M,931278,EUR,991785600,M,3,3,False,18.0,15.0,1.0,,10.0,12.0,6.0,8.0,1.0,,1.0,61.0,35.0,7.1,7.0,0.10077,2,,r_aitnouri,2.0,,3.0,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,,,0.1856,1.0,,2.0,,0.2292,1.0,,1.0,,,,,,,,,
11352516,home,Wolverhampton,Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,69408,M,886363,EUR,927763200,F,12,12,False,27.0,22.0,2.0,2.0,5.0,5.0,17.0,26.0,7.0,,2.0,90.0,50.0,7.7,14.0,0.0441548,4,,Cunha,4.0,1.0,5.0,1.0,4.0,2.0,,,,,2.0,,,2.0,,,0.3561,1.0,2.0,3.0,,0.2855,,1.0,,1.0,,,,,,,,
