match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_lastName,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,player_sofascoreId,stat_bigChanceCreated,stat_ownGoals,stat_bigChanceMissed,stat_totalOffside
14429559,home,Al-Riyadh,Milan Borjan,milan-borjan,M. Borjan,G,82,193.0,807,M,79413,EUR,561945600.0,G,82,82,False,True,25.0,16.0,13.0,4.0,0.0,15.0,18.0,1.0,7.0,2.0,8.0,1.0,2.0,3.0,1.0,1.0,1.0,90.0,35.0,7.0,9.0,0.00045216,0.6329,0,-0.0148,0.02,-0.26,-0.34,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429559,home,Al-Riyadh,Ammar Al Harfi,ammar-al-harfi,A. A. Harfi,D,33,175.0,18,M,1549076,EUR,985478400.0,D,33,33,False,,16.0,13.0,4.0,2.0,0.0,10.0,11.0,3.0,5.0,2.0,4.0,,,,,,,45.0,30.0,6.6,5.0,0.00111347,,0,,0.0,0.06,-0.27,,Ammar Al Harfi,1.0,1.0,6.0,7.0,3.0,1.0,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
14429559,home,Al-Riyadh,Sergio González,sergio-gonzalez,S. González,D,4,186.0,273,M,377234,EUR,703728000.0,D,4,4,False,,45.0,38.0,8.0,3.0,0.0,34.0,35.0,4.0,10.0,8.0,6.0,,,,,,,90.0,60.0,6.4,7.0,0.00510987,,0,,0.09,0.12,-0.2,,,3.0,3.0,5.0,3.0,1.0,,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,
14429559,home,Al-Riyadh,Yoann Barbet,yoann-barbet,Y. Barbet,D,5,190.0,128,M,369544,EUR,736992000.0,D,5,5,False,,41.0,35.0,6.0,4.0,0.0,26.0,29.0,9.0,12.0,3.0,2.0,,,,,,,90.0,49.0,5.8,7.0,0.00242033,,0,,-0.02,0.05,-0.57,,,2.0,1.0,4.0,1.0,1.0,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
14429559,home,Al-Riyadh,Mohammed Al Saeed,mohammed-al-saeed,M. A. Saeed,D,81,172.0,23,M,870365,EUR,847929600.0,D,2,2,False,,13.0,11.0,2.0,2.0,0.0,7.0,8.0,4.0,5.0,1.0,2.0,,,,,,,63.0,26.0,5.9,4.0,0.0018688,,1,,0.03,0.02,-0.54,,,,,3.0,1.0,2.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0069,0.01,,,,,,,,,,,
14429559,home,Al-Riyadh,Ibrahim Bayesh,ibrahim-bayesh,I. Bayesh,M,29,177.0,2466,M,920815,EUR,957139200.0,M,8,8,False,,24.0,18.0,1.0,,0.0,9.0,9.0,9.0,15.0,1.0,6.0,,,,,,,90.0,36.0,6.5,10.0,0.010324,,0,,-0.07,0.09,-0.09,,,1.0,2.0,2.0,5.0,,,,,,1.0,,,3.0,1.0,4.0,3.0,,2.0,,,1.0,,,,,,,,,,
14429559,home,Al-Riyadh,Ismaila Soro,ismaila-soro,I. Soro,M,19,173.0,162,M,892808,EUR,894499200.0,M,19,19,False,,25.0,20.0,1.0,,0.0,14.0,16.0,6.0,9.0,,3.0,,,,,,,70.0,34.0,6.6,7.0,0.0102704,,2,,0.03,0.14,-0.07,,,,,2.0,4.0,,,4.0,4.0,,2.0,,,1.0,,,,2.0,1.0,0.0267,-0.05,,,,,,,,,,,
14429559,home,Al-Riyadh,Tozé,toze,Tozé,M,20,165.0,386,M,1089231,EUR,726969600.0,M,20,20,False,,29.0,21.0,4.0,1.0,0.0,7.0,9.0,14.0,20.0,,5.0,,,,,,,90.0,50.0,6.3,23.0,0.0735646,,1,,0.16,0.16,-0.19,,,1.0,,3.0,1.0,,1.0,,,1.0,,,,,11.0,1.0,,1.0,2.0,0.0185,-0.1,1.0,1.0,,,,,,,,,
14429559,home,Al-Riyadh,Khalil Al-Absi,khalil-al-absi,K. Al-Absi,M,11,165.0,52,M,1019289,EUR,991008000.0,M,11,11,False,,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,,2.0,,,,,,,70.0,18.0,7.3,5.0,0.0170151,,2,,0.07,-0.39,-0.16,,,,,4.0,2.0,,,,,1.0,1.0,,,,,4.0,1.0,,1.0,0.1535,0.54,,,2.0,1.0,0.1884,,,,,,
14429559,home,Al-Riyadh,Teddy Okou,teddy-okou,T. Okou,M,10,165.0,622,M,878821,EUR,895190400.0,F,10,10,False,,17.0,12.0,3.0,,1.0,2.0,3.0,10.0,14.0,,2.0,,,,,,,82.0,35.0,7.0,11.0,0.0750762,,2,,0.01,0.17,0.13,,,1.0,,2.0,3.0,,,,,2.0,,,,2.0,2.0,2.0,1.0,1.0,4.0,0.0792,0.15,2.0,1.0,1.0,,0.1902,,,,,,
