match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_dispossessed,stat_interceptionWon,stat_shotOffTarget,stat_penaltyWon,captain,stat_challengeLost,stat_totalOffside,stat_bigChanceMissed,stat_penaltyFaced,stat_penaltyConceded,player_sofascoreId
12530842,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,38.0,25.0,25.0,12.0,0.0,19.0,21.0,6.0,17.0,1.0,10.0,3.0,2.0,2.0,90.0,49.0,7.0,13.0,0.00046483,0,0.5626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530842,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,36.0,27.0,8.0,3.0,1.0,15.0,16.0,14.0,22.0,3.0,5.0,,,,90.0,61.0,8.5,15.0,0.063367,2,,2.0,2.0,2.0,6.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.8979,1.2395,2.0,,,,,,,,,,,,,,,,,,
12530842,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,38.0,31.0,9.0,5.0,0.0,20.0,22.0,11.0,16.0,8.0,4.0,,,,90.0,52.0,6.7,10.0,0.00639714,0,,,,4.0,3.0,,,,,,,,,,,,3.0,3.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,
12530842,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,33.0,25.0,10.0,5.0,0.0,21.0,23.0,4.0,10.0,2.0,4.0,,,,90.0,42.0,6.8,9.0,0.113157,1,,,,3.0,4.0,,,,,,2.0,2.0,2.0,0.0177,,,2.0,,,,,1.0,1.0,,,,,,,,,,,
12530842,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,35.0,22.0,3.0,2.0,0.0,11.0,16.0,12.0,20.0,,3.0,,,,69.0,52.0,6.3,16.0,0.0607517,0,,1.0,1.0,3.0,4.0,1.0,1.0,,,,2.0,,1.0,,,2.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,
12530842,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,40.0,31.0,3.0,,0.0,19.0,20.0,12.0,20.0,3.0,5.0,,,,90.0,62.0,6.8,14.0,0.0566972,0,,,,8.0,9.0,3.0,1.0,,,,2.0,1.0,3.0,,,,1.0,3.0,1.0,,2.0,5.0,,1.0,4.0,,,,,,,,,
12530842,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,32.0,29.0,,,0.0,11.0,12.0,18.0,20.0,,6.0,,,,90.0,41.0,7.3,6.0,0.0860895,2,,,,1.0,1.0,,,,,,,,1.0,0.1528,,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,
12530842,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,14.0,11.0,1.0,1.0,0.0,7.0,7.0,4.0,11.0,1.0,3.0,,,,63.0,23.0,6.4,8.0,0.0862679,0,,4.0,,6.0,2.0,,,,,,2.0,2.0,,,,,1.0,,,,,3.0,,1.0,,,,True,1.0,2.0,,,,
12530842,home,Alanyaspor,Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,28.0,21.0,2.0,1.0,0.0,7.0,8.0,17.0,24.0,,3.0,,,,72.0,41.0,7.1,9.0,0.0746205,1,,4.0,3.0,1.0,6.0,,,,,,3.0,3.0,2.0,0.0503,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,
12530842,home,Alanyaspor,Loide Augusto,Loide Augusto,,loide-augusto,L. Augusto,M,50,183,1033,M,1110708,EUR,951523200,M,27,27,False,25.0,19.0,,,0.0,10.0,11.0,10.0,16.0,,4.0,,,,90.0,41.0,7.2,14.0,0.250392,1,,2.0,1.0,5.0,3.0,4.0,1.0,,1.0,1.0,,,2.0,0.068,0.3225,1.0,,,,,3.0,1.0,,,,,,,1.0,,,,,
