match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_outfielderBlock,stat_interceptionWon,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_penaltyWon,stat_totalOffside,captain,stat_errorLeadToAShot,stat_penaltyFaced,stat_penaltyConceded,stat_goodHighClaim
14771934,home,Al-Hilal,Mohammed Al-Rubaie,,,mohammed-al-rubaie,M. Al-Rubaie,G,17,190,648,M,920497,EUR,871516800,G,17,17,False,24.0,21.0,10.0,7.0,0.0,19.0,19.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,90.0,32.0,6.7,3.0,0.0002662,37.393307989746,5.0,16.065,12.285,0.0001,0,-0.5929,0.04,0.01,-0.09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182,1188,M,881837,EUR,918518400,D,87,87,False,44.0,43.0,3.0,3.0,0.0,28.0,28.0,15.0,16.0,7.0,2.0,4.0,2.0,,,89.0,57.0,7.2,2.0,0.00688014,175.74297688268,22.0,84.63,14.7,,0,,0.14,0.1,0.18,,1.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Rúben Neves,,,ruben-neves,R. Neves,M,8,181,15472,M,280955,EUR,858211200,D,8,8,False,53.0,42.0,11.0,5.0,1.0,27.0,28.0,15.0,25.0,3.0,2.0,8.0,,,,90.0,68.0,7.9,18.0,0.36459,146.86604862215,20.0,87.15,23.31,,3,,0.46,0.15,-0.17,,,2.0,1.0,,1.0,,rubenneves,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8768,0.7677,44.886999952511,2.0,1.0,0.32,,,,,,,,,,,,
14771934,home,Al-Hilal,Moteb Al-Harbi,,,moteb-al-harbi,M. Al-Harbi,D,24,171,848,M,1022679,EUR,950918400,D,24,24,False,44.0,39.0,2.0,1.0,0.0,21.0,22.0,18.0,22.0,2.0,1.0,,,,,76.0,54.0,6.7,6.0,0.00633616,227.52488557391,23.0,170.835,32.445,,0,,0.03,0.15,-0.06,,,,2.0,1.0,,,,,,,,,,,,,,,58.88824956097,2.0,,,1.0,1.0,,,,,,,,,,
14771934,home,Al-Hilal,Hamad Al Yami,Hamad,Al Yami,hamad-al-yami,H. A. Yami,D,88,170,585,M,981158,EUR,926899200,M,88,88,False,35.0,31.0,4.0,1.0,0.0,15.0,17.0,16.0,18.0,2.0,1.0,2.0,,,,90.0,50.0,6.9,8.0,0.18586,44.388899423176,3.0,37.59,28.14,,0,,0.34,0.03,0.19,,1.0,5.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,28.18728479297,1.0,1.0,,,,1.0,,,,,,,,,
14771934,home,Al-Hilal,Sergej Milinković-Savić,,,sergej-milinkovic-savic,S. Milinković-Savić,M,22,191,13384,M,331447,EUR,793843200,M,22,22,False,38.0,30.0,6.0,5.0,0.0,14.0,17.0,16.0,21.0,11.0,4.0,4.0,1.0,,,90.0,58.0,7.3,14.0,0.047526,77.516894770816,11.0,-5.985,4.2,,1,,0.31,-0.24,-0.08,,,8.0,2.0,1.0,1.0,1.0,sms,,,6.0,2.0,5.0,,1.0,,,0.0805,,,,,-0.13,,,2.0,2.0,,,,,,,,
14771934,home,Al-Hilal,Nasser Al-Dawsari,,,nasser-al-dawsari,N. Al-Dawsari,M,16,178,1153,M,872607,EUR,914025600,M,16,16,False,20.0,17.0,3.0,2.0,0.0,7.0,7.0,10.0,13.0,,,1.0,,,,76.0,26.0,6.4,3.0,0.0211914,65.90418878467,7.0,2.415,8.295,,1,,0.17,0.06,-0.16,,,2.0,,,,,,,,,2.0,,,,,,0.102,,,,,-0.43,,1.0,,,1.0,,,,,,,
14771934,home,Al-Hilal,Theo Hernández,,,theo-hernandez,T. Hernández,D,19,184,26472,M,788027,EUR,876096000,M,19,19,False,35.0,31.0,,,0.0,10.0,11.0,21.0,24.0,2.0,1.0,4.0,1.0,,,90.0,44.0,6.4,7.0,0.0132786,147.29618001798,10.0,120.96,32.235,,0,,-0.31,0.25,-0.03,,1.0,1.0,,,1.0,,TheoHdez,2.0,,1.0,,,,,,,,,75.432551430572,3.0,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171,13905,M,551772,EUR,856915200,F,10,10,False,37.0,33.0,3.0,1.0,0.0,6.0,6.0,27.0,31.0,3.0,,1.0,2.0,,,89.0,53.0,7.2,10.0,0.0477372,114.73086330166,16.0,36.33,16.065,,1,,0.05,0.33,-0.01,,1.0,3.0,1.0,,3.0,,malcomoliveira_97,1.0,,,,1.0,,,,,0.0173,,5.5421303665648,1.0,1.0,-0.04,,,1.0,,1.0,1.0,1.0,,,,,
14771934,home,Al-Hilal,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,70302,M,924871,EUR,930182400,F,7,7,False,10.0,9.0,,,0.0,2.0,2.0,7.0,8.0,4.0,,3.0,,,,89.0,23.0,6.5,7.0,0.0122262,61.667463523372,7.0,23.73,21.735,,0,,-0.15,0.19,-0.05,,,6.0,3.0,1.0,2.0,3.0,Darwin,1.0,,1.0,1.0,,,,,,,,34.804937315461,2.0,,,,,2.0,,,,,,,,,
14771934,home,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171,11126,M,160893,EUR,682560000,F,29,29,False,42.0,39.0,2.0,2.0,0.0,9.0,10.0,30.0,32.0,6.0,1.0,3.0,4.0,,,90.0,60.0,7.8,12.0,0.0383429,166.80554157427,21.0,56.385,12.285,,1,,0.06,0.18,-0.2,,,2.0,,,5.0,,29salem,2.0,,,,4.0,,,1.0,1.0,0.7884,0.7997,36.075120878422,3.0,,0.32,,,,2.0,,1.0,2.0,True,2.0,,,
14771934,home,Al-Hilal,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1742,M,208988,EUR,746755200,D,30,30,True,11.0,7.0,3.0,,0.0,2.0,4.0,5.0,7.0,1.0,,,,,,14.0,12.0,6.7,4.0,0.001239,24.35076691062,3.0,14.595,11.13,,0,,0.06,0.02,0.14,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191,1575,M,828524,EUR,780192000,M,28,28,True,14.0,13.0,,,0.0,1.0,1.0,12.0,13.0,,,,,,,14.0,15.0,7.6,1.0,0.00542082,21.63608111176,4.0,-2.73,1.575,,1,,-0.02,0.01,0.0,,,,,,,,,,,,,,,,1.0,1.0,0.2544,0.1475,,,,0.5,,,,,,,,,,,,
14771934,home,Al-Hilal,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175,1281,M,818667,EUR,830390400,D,78,78,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,1.0,1.0,,,3.79e-06,6.6571562246953,1.0,-6.615,-6.615,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Marcos Leonardo,,,marcos-leonardo,M. Leonardo,F,9,177,22653,M,1047227,EUR,1051833600,F,9,9,True,1.0,,,,0.0,,1.0,,,,,1.0,,,,9.0,1.0,6.5,1.0,,28.4976441307,1.0,8.925,8.925,,0,,-0.06,0.01,-0.01,,,,,,,,marcosleonardo09,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Sultan Mandash,,,sultan-mandash,S. Mandash,F,23,175,362,M,818568,EUR,782352000,F,23,23,True,3.0,3.0,,,0.0,,,3.0,3.0,1.0,,,,,,8.0,4.0,6.6,,0.00056679,,,,,,0,,0.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Ahmad Abu Rasen,Ahmad Abu Rasen,,ahmad-abu-rasen,A. A. Rasen,G,40,190,435,M,1504802,EUR,1067731200,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Yusuf Akçiçek,,,akcicek-yusuf,Y. Akçiçek,D,4,193,4010,M,1479523,EUR,1138147200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Abdulkarim Darisi,,,abdulkarim-darisi,A. Darisi,F,14,184,469,M,1548394,EUR,1050537600,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,home,Al-Hilal,Abdullah Al-Hamdan,,,abdullah-al-hamdan,A. Al-Hamdan,F,9,185,1411,M,915991,EUR,937094400,F,99,99,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14771934,away,Al-Nassr,Nawaf Al-Aqidi,,,nawaf-al-aqidi,N. Al-Aqidi,G,1,188,1512,M,1014518,EUR,957916800,G,1,1,False,21.0,15.0,12.0,6.0,0.0,11.0,11.0,4.0,10.0,,,7.0,,,,60.0,27.0,5.5,6.0,0.00135344,18.964721148035,4.0,13.755,5.46,,0,-0.2003,0.1,-0.02,-0.07,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
14771934,away,Al-Nassr,Nawaf Boushal,,,nawaf-boushal,N. Boushal,D,12,178,1391,M,986400,EUR,937440000,D,12,12,False,33.0,26.0,6.0,3.0,0.0,15.0,16.0,11.0,17.0,3.0,5.0,1.0,1.0,,,90.0,58.0,6.2,16.0,0.0104968,63.217157864921,13.0,21.315,9.975,,0,,0.12,0.02,-0.39,,,2.0,1.0,1.0,1.0,,,5.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
14771934,away,Al-Nassr,Mohamed Simakan,,,mohamed-simakan,M. Simakan,D,3,187,5883,M,945063,EUR,957312000,D,3,3,False,28.0,26.0,5.0,4.0,0.0,22.0,22.0,4.0,6.0,3.0,1.0,,2.0,,,72.0,33.0,6.4,2.0,0.00249891,76.630574413999,13.0,41.055,17.325,,0,,0.05,0.11,-0.3,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,
14771934,away,Al-Nassr,Iñigo Martínez,,,inigo-martinez,I. Martínez,D,26,181,62014,M,173883,EUR,674438400,D,26,26,False,41.0,37.0,5.0,3.0,0.0,24.0,24.0,13.0,17.0,6.0,2.0,2.0,1.0,,,90.0,53.0,6.6,5.0,0.00795889,153.08519133673,21.0,65.94,14.7,,0,,0.24,0.09,-0.41,,1.0,2.0,4.0,,,,IñigoMartínez,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,
14771934,away,Al-Nassr,Ayman Yahya,,,ayman-ahmed,A. Yahya,M,23,168,1412,M,1130539,EUR,989798400,D,23,23,False,40.0,33.0,7.0,4.0,0.0,14.0,17.0,19.0,23.0,6.0,1.0,4.0,,,,83.0,62.0,6.5,17.0,0.0925455,73.098836105055,10.0,33.705,11.13,,0,,0.26,0.03,-0.36,,1.0,4.0,4.0,2.0,4.0,1.0,,5.0,3.0,2.0,,,,,,,,,,,3.0,,,1.0,2.0,,,,,,,,,
14771934,away,Al-Nassr,Kingsley Coman,,,kingsley-coman,K. Coman,M,21,178,32898,M,280441,EUR,834624000,M,21,21,False,27.0,21.0,,,1.0,6.0,6.0,15.0,21.0,,2.0,4.0,,,,90.0,45.0,5.7,13.0,0.0442359,136.55542016784,16.0,15.645,19.95,,4,,-0.19,0.31,-0.26,,1.0,10.0,,,3.0,3.0,KingComan,,,,2.0,2.0,1.0,3.0,,,0.1235,,32.380233688105,2.0,2.0,-0.53,,1.0,2.0,,1.0,,,,,,,
14771934,away,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178,1250,M,867179,EUR,840153600,M,17,17,False,38.0,35.0,2.0,1.0,0.0,22.0,23.0,13.0,15.0,2.0,,4.0,,,,90.0,41.0,6.3,3.0,0.011393,41.664115867246,9.0,13.965,4.41,,0,,0.06,0.1,-0.25,,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,3.0,,,,,1.0,,,,,,,,
14771934,away,Al-Nassr,Marcelo Brozović,,,marcelo-brozovic,M. Brozović,M,11,181,13081,M,108800,EUR,721872000,M,11,11,False,47.0,46.0,4.0,3.0,0.0,19.0,19.0,27.0,28.0,,,1.0,,,,90.0,54.0,6.2,4.0,0.0428351,106.01541737152,15.0,-8.82,9.345,,1,,0.09,0.08,-0.21,,2.0,4.0,,,1.0,1.0,marcelo_brozovic,2.0,,,1.0,,,1.0,,,0.1198,,,,,-0.33,,1.0,,,,,,,,,,
