match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_challengeLost,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,player_firstName,player_lastName,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_goals,stat_bigChanceMissed,stat_errorLeadToAShot
10388318,home,Borussia M'gladbach,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,396,M,571622,EUR,758160000,G,1,1,False,39.0,23.0,20.0,5.0,23.0,27.0,12.0,3.0,12.0,2.0,2.0,2.0,1.0,90.0,55.0,7.4,16.0,0.0,0.0,0.00018741,0,0.2523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Stefan Lainer,stefan-lainer,S. Lainer,D,22,176,447,M,113920,EUR,714873600,D,18,18,False,45.0,30.0,6.0,2.0,16.0,21.0,25.0,5.0,8.0,,,,,89.0,74.0,7.5,22.0,0.0299,0.0924,0.0609029,1,,14.0,1.0,4.0,3.0,5.0,8.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,42.0,29.0,5.0,2.0,17.0,25.0,17.0,5.0,5.0,,,,,90.0,59.0,7.3,15.0,0.0718,0.0,0.0177107,1,,12.0,,7.0,7.0,8.0,9.0,1.0,,1.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,43.0,33.0,6.0,3.0,30.0,33.0,10.0,1.0,2.0,,,,,90.0,47.0,6.8,10.0,0.0426,0.0,0.00263593,1,,3.0,,2.0,7.0,5.0,7.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29068,M,577726,EUR,797990400,D,25,25,False,47.0,36.0,7.0,3.0,19.0,21.0,27.0,1.0,7.0,,,,,90.0,65.0,8.0,16.0,0.1749,0.0,0.292794,3,,18.0,1.0,5.0,7.0,5.0,8.0,,,,,,,2.0,1.0,3.0,,3.0,,,rbens,1.0,1.0,1.0,1.0,1.0,,,,,,,,
10388318,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,33.0,30.0,3.0,2.0,18.0,18.0,15.0,1.0,4.0,,,,,90.0,40.0,6.9,4.0,0.026,0.0,0.0152987,1,,12.0,,1.0,1.0,1.0,3.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,
10388318,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6974,M,974087,EUR,990057600,M,17,17,False,31.0,24.0,2.0,,6.0,6.0,25.0,4.0,8.0,,,,,90.0,58.0,7.1,14.0,0.1409,0.0,0.060888,2,,18.0,,2.0,,6.0,5.0,6.0,,1.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,32,32,False,33.0,25.0,2.0,,10.0,10.0,24.0,,2.0,,,,,81.0,47.0,7.3,12.0,0.1391,0.375,0.0374425,4,,15.0,1.0,,,2.0,3.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,
10388318,home,Borussia M'gladbach,Jonas Hofmann,jonas-hofmann,J. Hofmann,F,7,176,2115,M,142390,EUR,711072000,M,23,23,False,48.0,36.0,4.0,2.0,12.0,15.0,45.0,,10.0,,,,,89.0,75.0,8.8,23.0,0.3546,0.4302,0.813918,3,,29.0,12.0,1.0,1.0,6.0,4.0,1.0,3.0,,1.0,2.0,1.0,1.0,,8.0,1.0,,3.0,,,,5.0,,,,,,,True,2.0,1.0,,
10388318,home,Borussia M'gladbach,Nathan N'Goumou,nathan-ngoumou,N. Ngoumou,M,19,182,657,M,962409,EUR,952992000,M,19,19,False,13.0,11.0,,,3.0,5.0,8.0,1.0,4.0,,,,,81.0,33.0,6.3,8.0,0.5414,0.7914,0.0183068,5,,8.0,,,1.0,2.0,3.0,2.0,2.0,,,1.0,1.0,4.0,1.0,,,1.0,,,,,,,1.0,1.0,,,2.0,,,,2.0,
10388318,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,F,14,14,False,23.0,17.0,2.0,1.0,3.0,3.0,20.0,,1.0,,,,,81.0,33.0,6.7,7.0,0.0,0.0,0.0282373,0,,14.0,,5.0,1.0,6.0,4.0,,,,,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,D,20,20,True,2.0,2.0,,,2.0,2.0,,,,,,,,9.0,3.0,6.4,1.0,0.0,0.0,1.318e-05,0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10388318,home,Borussia M'gladbach,Lars Stindl,lars-stindl,L. Stindl,M,,180,394,M,23996,EUR,588556800,M,13,13,True,7.0,6.0,,,1.0,1.0,7.0,,2.0,,,,,9.0,16.0,8.2,1.0,0.4158,0.1815,0.0311852,4,,6.0,1.0,1.0,1.0,1.0,4.0,,2.0,,,1.0,1.0,,2.0,1.0,,,,,,,1.0,,,,,,2.0,,,1.0,,
