match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,captain,stat_aerialWon,stat_interceptionWon,stat_aerialLost,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_clearanceOffLine,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_goalAssist,stat_goals,stat_hitWoodwork,stat_errorLeadToAShot
11452964,home,Al Wehda,Abdulquddus Atiah,abdulquddus-atiah,A. Atiah,G,13,183.0,100,M,925459,EUR,857174400,G,13,13,False,18.0,13.0,8.0,3.0,11.0,13.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,24.0,5.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452964,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800,D,2,2,False,51.0,42.0,4.0,2.0,22.0,26.0,20.0,29.0,1.0,6.0,,,,,,90.0,70.0,6.3,19.0,0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11452964,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,911303,EUR,626832000,D,4,4,False,31.0,29.0,1.0,,20.0,20.0,9.0,11.0,1.0,3.0,,,,,,90.0,38.0,6.3,3.0,0,,2.0,4.0,2.0,,2.0,2.0,1.0,1.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11452964,home,Al Wehda,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190.0,4432,M,877103,EUR,699321600,D,5,5,False,42.0,38.0,8.0,7.0,30.0,33.0,8.0,9.0,4.0,4.0,,,,,,90.0,57.0,7.4,4.0,2,,2.0,6.0,,1.0,2.0,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11452964,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,1106232,EUR,1009411200,D,27,27,False,14.0,12.0,1.0,,8.0,8.0,4.0,8.0,1.0,7.0,,,,,,69.0,41.0,7.3,11.0,1,2.0,2.0,7.0,,3.0,2.0,2.0,2.0,2.0,,,1.0,,3.0,1.0,1.0,,,,Hawsawi Islam Ahmed,,2.0,1.0,,,,,,,,,,
11452964,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,826242,EUR,817948800,M,88,88,False,39.0,33.0,5.0,2.0,23.0,23.0,10.0,16.0,3.0,9.0,,,,,,77.0,48.0,6.8,7.0,0,,1.0,4.0,,1.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
11452964,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,1085115,EUR,916617600,M,24,24,False,22.0,13.0,3.0,1.0,6.0,11.0,7.0,11.0,,1.0,,,,,,69.0,30.0,6.2,11.0,1,,4.0,3.0,,1.0,1.0,1.0,,,,2.0,,,,,,2.0,,,Abdulaziz Noor,,1.0,,1.0,,,,,,,,,
11452964,home,Al Wehda,Abdulkarim Al Qahtani,abdulkarim-al-qahtani,A. Al Qahtani,M,8,173.0,8,M,804094,EUR,729216000,M,12,12,False,44.0,40.0,6.0,5.0,21.0,23.0,19.0,22.0,,4.0,,,,,,89.0,52.0,6.9,5.0,0,1.0,5.0,4.0,2.0,,2.0,,,2.0,,,2.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,
11452964,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,False,51.0,45.0,8.0,6.0,16.0,18.0,31.0,39.0,,8.0,,,,,,90.0,67.0,7.4,12.0,1,6.0,1.0,2.0,,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,4.0,,,,,,2.0,,,,,,,,
11452964,home,Al Wehda,Hazzaa Al-Ghamdi,hazzaa-al-ghamdi,H. Al-Ghamdi,F,90,174.0,33,M,1095802,EUR,979171200,M,90,90,False,17.0,14.0,1.0,1.0,5.0,7.0,9.0,11.0,,1.0,,,,,,69.0,30.0,6.3,7.0,2,1.0,7.0,2.0,3.0,2.0,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,Hazzaa Ahmed Al-Ghamdi,,,,1.0,,,,,,,,,
11452964,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182.0,171,M,256671,EUR,603936000,F,87,87,False,21.0,19.0,4.0,4.0,7.0,7.0,13.0,15.0,2.0,2.0,,,,,,90.0,42.0,7.0,7.0,4,1.0,9.0,5.0,2.0,2.0,3.0,3.0,2.0,1.0,,,,3.0,1.0,2.0,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,,,,
