match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_jerseyNumber,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_lastName,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,captain,stat_hitWoodwork,stat_dispossessed,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock,stat_errorLeadToAShot
12448357,home,SC Heerenveen,Mickey van der Hart,mickey-van-der-hart,M. v. d. Hart,G,188,97,M,242313,EUR,771465600,G,13,13,False,44.0,35.0,15.0,6.0,0.0,32.0,36.0,3.0,8.0,13.0,1.0,1.0,1.0,90.0,49.0,6.6,9.0,0.00051098,0,-0.2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448357,home,SC Heerenveen,Oliver Braude,braude-oliver,O. Braude,D,174,214,M,1150061,EUR,1077321600,D,45,45,False,44.0,36.0,4.0,,0.0,11.0,12.0,25.0,32.0,3.0,,,,83.0,61.0,6.9,8.0,0.0131594,0,,Oliver Braude,45,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448357,home,SC Heerenveen,Nikolai Soyset Hopland,hopland-nikolai-soyset,N. S. Hopland,D,186,224,M,1121247,EUR,1090627200,D,17,17,False,68.0,66.0,7.0,7.0,0.0,40.0,41.0,26.0,27.0,3.0,,,,90.0,77.0,7.1,2.0,0.0178387,2,,,17,,4.0,2.0,3.0,2.0,,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.2252,,,,,,,,,,,,,,,,,,,
12448357,home,SC Heerenveen,Paweł Bochniewicz,pawel-bochniewicz,P. Bochniewicz,D,194,794,M,286097,EUR,822960000,D,5,5,False,68.0,58.0,8.0,4.0,0.0,35.0,39.0,23.0,29.0,4.0,,,,67.0,76.0,7.0,11.0,0.00870575,0,,,4,6.0,8.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
12448357,home,SC Heerenveen,Mats Köhlert,mats-kohlert,M. Köhlert,D,168,173,M,794998,EUR,894067200,D,11,11,False,70.0,65.0,2.0,1.0,0.0,34.0,37.0,38.0,49.0,3.0,,,,90.0,100.0,7.8,16.0,0.39283,0,,,27,2.0,5.0,2.0,2.0,,,,7.0,8.0,1.0,1.0,,,,,1.0,16.0,7.0,1.0,2.0,1.0,1.0,5.0,,,,,,,,,,,
12448357,home,SC Heerenveen,Espen Van Ee,van-ee-espen,E. v. Ee,M,179,71,M,1126965,EUR,1057363200,M,21,21,False,52.0,50.0,3.0,3.0,1.0,18.0,18.0,33.0,36.0,6.0,,,,83.0,63.0,7.5,3.0,0.254799,2,,,22,,2.0,,1.0,1.0,1.0,,,3.0,,,,1.0,2.0,0.047,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,0.2757,,,,,,,,,
12448357,home,SC Heerenveen,Simon Olsson,simon-olsson,S. Olsson,M,185,159,M,850851,EUR,874195200,M,19,19,False,47.0,42.0,5.0,3.0,0.0,13.0,13.0,29.0,34.0,7.0,,,,90.0,57.0,6.5,9.0,0.0277104,0,,,10,,1.0,,,,1.0,,,5.0,2.0,,,,2.0,,2.0,,,1.0,,2.0,,,,,,,,,,,,,
12448357,home,SC Heerenveen,Jacob Trenskow,trenskow-jacob,J. Trenskow,M,178,432,M,1015627,EUR,975196800,M,20,20,False,46.0,37.0,2.0,1.0,0.0,5.0,6.0,33.0,42.0,3.0,,,,90.0,65.0,8.1,13.0,0.133248,4,,,20,,4.0,,2.0,1.0,1.0,,1.0,3.0,3.0,1.0,,,,0.2185,,2.0,1.0,,,1.0,,3.0,2.0,0.5799,2.0,1.0,,,,,,,
12448357,home,SC Heerenveen,Luuk Brouwers,luuk-brouwers,L. Brouwers,M,180,141,M,794014,EUR,894153600,M,8,8,False,30.0,23.0,3.0,2.0,0.0,9.0,10.0,14.0,20.0,1.0,,,,90.0,41.0,7.1,8.0,0.0529408,6,,,8,3.0,6.0,1.0,2.0,1.0,1.0,,2.0,6.0,,,2.0,5.0,3.0,0.8564,,,,1.0,,1.0,,,1.0,0.3317,,,True,1.0,,,,,
12448357,home,SC Heerenveen,Ilias Sebaoui,ilias-sebaoui,I. Sebaoui,M,180,683,M,1154586,EUR,1002153600,M,10,10,False,30.0,26.0,6.0,4.0,0.0,9.0,9.0,18.0,24.0,6.0,,,,90.0,57.0,7.6,16.0,0.638003,3,,Ilias Sebaoui,10,1.0,6.0,,1.0,1.0,2.0,,,7.0,7.0,2.0,,1.0,1.0,0.121,,3.0,1.0,1.0,1.0,4.0,,4.0,1.0,0.0121,1.0,,,,1.0,,,,
