match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_totalTackle,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_keyPass,captain,stat_accurateCross,stat_wonTackle,stat_totalOffside,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
12421057,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,20.0,14.0,9.0,3.0,0.0,13.0,16.0,1.0,4.0,15.0,1.0,5.0,6.0,90.0,36.0,8.7,6.0,0.00018205,0,2.4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421057,home,KAA Gent,Hugo Gambor,,,gambor-hugo,H. Gambor,D,23,186,141,M,1082541,EUR,1041206400,D,12,12,False,46.0,40.0,1.0,,0.0,20.0,22.0,20.0,25.0,4.0,,,,79.0,61.0,6.8,9.0,0.0175865,0,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12421057,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,63.0,58.0,7.0,5.0,0.0,34.0,37.0,24.0,26.0,7.0,,,,90.0,72.0,7.5,6.0,0.230222,0,,,3.0,3.0,,1.0,,2.0,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12421057,home,KAA Gent,Stefan Mitrović,,,stefan-mitrovic,S. Mitrović,D,23,189,432,M,108736,EUR,643334400,D,13,13,False,73.0,68.0,6.0,4.0,0.0,43.0,44.0,25.0,29.0,2.0,,,,90.0,80.0,7.4,6.0,0.0114408,2,,,3.0,3.0,,,,,1.0,,1.0,1.0,3.0,,,1.0,1.0,1.0,4.0,0.1256,0.0562,,,,,,,,,,,,
12421057,home,KAA Gent,Noah Fadiga,,,fadiga-noah,N. Fadiga,M,27,187,700,M,960437,EUR,944179200,M,22,22,False,34.0,28.0,,,0.0,5.0,6.0,23.0,29.0,1.0,,,,90.0,52.0,7.6,11.0,0.0442649,3,,1.0,4.0,3.0,,4.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0972,0.1596,1.0,1.0,1.0,3.0,,,,,,,,
12421057,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,37.0,34.0,2.0,1.0,0.0,13.0,13.0,23.0,29.0,5.0,,,,61.0,46.0,7.1,7.0,0.220775,0,,5.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,3.0,True,2.0,,,,,,
12421057,home,KAA Gent,Mathias Delorge,Mathias Delorge-Knieper,,mathias-delorge-knieper,M. Delorge,M,17,189,582,M,1124749,EUR,1091232000,M,16,16,False,63.0,53.0,7.0,5.0,1.0,26.0,26.0,27.0,39.0,6.0,,,,90.0,76.0,8.0,12.0,0.0767395,2,,2.0,2.0,5.0,,,,1.0,,1.0,1.0,,,,4.0,1.0,1.0,1.0,,0.1453,0.0472,,,,2.0,,,2.0,1.0,,,,
12421057,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,M,3,3,False,35.0,29.0,3.0,2.0,0.0,12.0,13.0,19.0,29.0,5.0,,,,90.0,71.0,7.2,21.0,0.0414151,2,,7.0,3.0,5.0,,3.0,1.0,1.0,5.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,3.0,0.1273,0.0091,,,,,,2.0,1.0,,,,,
12421057,home,KAA Gent,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,1075,M,1019125,EUR,958435200,F,6,6,False,16.0,13.0,2.0,,1.0,4.0,5.0,9.0,11.0,3.0,,,,69.0,24.0,7.0,5.0,0.0164412,1,,,3.0,2.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,0.0774,,,,,1.0,,,1.0,,,,,
12421057,home,KAA Gent,Franck Surdez,,,franck-surdez,F. Surdez,F,19,184,273,M,1092662,EUR,1020556800,F,19,19,False,19.0,15.0,,,0.0,2.0,4.0,13.0,17.0,2.0,,,,79.0,34.0,7.6,10.0,0.0121968,5,,2.0,3.0,,1.0,1.0,,,2.0,,,,,,,1.0,3.0,1.0,,0.3894,0.8563,,1.0,1.0,2.0,,,,,1.0,,,
