match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_goals,stat_lastManTackle,captain,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyConceded,stat_wasFouled,stat_errorLeadToAGoal,stat_errorLeadToAShot,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_penaltyWon
10438050,home,Vizela,Fabijan Buntić,,,fabijan-buntic,F. Buntić,G,97,194,2915,M,827377,EUR,856742400,G,97,97,False,17.0,12.0,7.0,2.0,11.0,11.0,1.0,6.0,7.0,1.0,1.0,2.0,90.0,22.0,6.2,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Tomás Silva,,,tomas-silva,Tomás,D,10,172,134,M,1176102,EUR,939945600,D,82,82,False,35.0,28.0,5.0,2.0,8.0,11.0,20.0,26.0,5.0,,,,84.0,68.0,7.0,13.0,1,2.0,2.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Bruno Wilson,,,bruno-wilson,B. Wilson,D,,192,89,M,830293,EUR,851644800,D,3,3,False,40.0,28.0,11.0,2.0,18.0,23.0,10.0,18.0,5.0,,,,90.0,50.0,6.6,13.0,0,1.0,2.0,2.0,3.0,,,3.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Anderson,,,anderson,Anderson,D,3,185,60,M,922629,EUR,794102400,D,5,5,False,42.0,34.0,9.0,4.0,28.0,31.0,6.0,11.0,5.0,,,,90.0,57.0,7.8,9.0,2,,,,3.0,,2.0,7.0,1.0,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10438050,home,Vizela,Kiki Afonso,,,kiki-afonso,K. Afonso,D,24,181,59,M,324345,EUR,787017600,D,24,24,False,39.0,28.0,10.0,3.0,16.0,16.0,13.0,30.0,6.0,,,,90.0,66.0,7.3,18.0,1,7.0,3.0,3.0,9.0,,,2.0,3.0,5.0,4.0,,2.0,,3.0,,,1.0,1.0,,,True,1.0,1.0,1.0,,,,,,,,,,,,
10438050,home,Vizela,Diego Rosa,,,diego-rosa,D. Rosa,M,33,180,531,M,1002415,EUR,1034380800,M,17,17,False,11.0,9.0,3.0,2.0,5.0,5.0,4.0,6.0,1.0,,,,37.0,19.0,7.0,3.0,1,,,,1.0,,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Raphael Guzzo,,,raphael-guzzo,R. Guzzo,M,14,180,92,M,190151,EUR,789350400,M,8,8,False,55.0,46.0,5.0,3.0,21.0,24.0,26.0,36.0,3.0,,,,84.0,74.0,7.5,16.0,1,5.0,1.0,4.0,5.0,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,4.0,,,2.0,1.0,,,,1.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,,
10438050,home,Vizela,Samu,,,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,51.0,47.0,4.0,1.0,18.0,19.0,30.0,34.0,10.0,,,,90.0,73.0,7.4,7.0,5,2.0,1.0,7.0,9.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,1.0,1.0,,4.0,,,,,,,1.0,1.0,4.0,,,,,1.0,,,,,,,
10438050,home,Vizela,Kévin Zohi,,,kevin-zohi,K. Zohi,F,9,177,150,M,891793,EUR,850953600,F,22,22,False,8.0,5.0,,,1.0,1.0,4.0,8.0,,,,,45.0,12.0,6.7,5.0,1,1.0,2.0,1.0,3.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
10438050,home,Vizela,Kiko Bondoso,,,bondoso-kiko,K. Bondoso,M,10,171,86,M,1082948,EUR,816566400,F,10,10,False,33.0,26.0,5.0,2.0,7.0,8.0,19.0,25.0,7.0,,,,90.0,51.0,7.7,11.0,1,,1.0,6.0,8.0,,1.0,,,,,1.0,,1.0,2.0,3.0,,2.0,1.0,1.0,,,,2.0,,,,,,6.0,,,,,,,
10438050,home,Vizela,Nuno Moreira,,,nuno-moreira,N. Moreira,M,17,173,4313,M,851285,EUR,929491200,F,79,79,False,24.0,14.0,3.0,,2.0,3.0,12.0,22.0,5.0,,,,84.0,41.0,7.5,16.0,1,1.0,1.0,4.0,10.0,,1.0,,,2.0,2.0,1.0,1.0,,2.0,1.0,1.0,4.0,3.0,,,,,1.0,,,,,,4.0,,,,,,,
10438050,home,Vizela,Alex Méndez,,,alex-mendez,A. Méndez,M,19,178,126,M,985125,EUR,968198400,M,19,19,True,28.0,26.0,3.0,2.0,4.0,4.0,22.0,26.0,4.0,,,,53.0,45.0,7.2,9.0,2,2.0,,4.0,4.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,1.0,,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,
10438050,home,Vizela,Milutin Osmajić,,,milutin-osmajic,M. Osmajić,F,28,186,445,M,928047,EUR,932860800,F,9,9,True,8.0,5.0,,,1.0,1.0,4.0,8.0,1.0,,,,45.0,15.0,6.8,5.0,2,1.0,,3.0,2.0,,1.0,,,,,1.0,,2.0,,3.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,
10438050,home,Vizela,Igor Julião,,,igor-juliao,I. Julião,D,2,175,73,M,243579,EUR,777600000,D,14,14,True,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,13.0,6.0,6.7,2.0,0,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Claudemir,,,claudemir,Claudemir,M,,185,38,M,34257,EUR,575424000,M,6,6,True,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,13.0,4.0,6.6,,0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Francis Cann,,,francis-cann,F. Cann,F,70,162,40,M,867262,EUR,886723200,F,99,99,True,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,13.0,6.0,6.7,1.0,0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
10438050,home,Vizela,Luiz Felipe,,,luis-felipe,L. Felipe,G,,197,35,M,928228,EUR,861840000,G,13,13,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Ivanildo Fernandes,,,ivanildo-fernandes,I. Fernandes,D,14,193,63,M,806515,EUR,827798400,D,4,4,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Alejandro Alvarado Jr,,,alejandro-alvarado-jr,A. Alvarado Jr,M,70,172,77,M,1025305,EUR,1059436800,M,70,70,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,home,Vizela,Osama Rashid,,,osama-rashid,O. Rashid,M,20,180,711,M,786038,EUR,695260800,M,23,23,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438050,away,Gil Vicente,Andrew,,,andrew,Andrew,G,42,189,2669,M,947893,EUR,993945600,G,42,42,False,50.0,42.0,19.0,12.0,40.0,44.0,2.0,6.0,25.0,6.0,,7.0,90.0,74.0,7.0,8.0,0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,
10438050,away,Gil Vicente,Carraça,,,carraca,Carraça,D,15,177,50,M,589020,EUR,730944000,D,15,15,False,60.0,51.0,9.0,4.0,28.0,31.0,23.0,31.0,10.0,,,,90.0,79.0,5.7,18.0,0,2.0,3.0,10.0,4.0,1.0,,1.0,,,,3.0,3.0,,,2.0,,1.0,,,,,,3.0,,,,,,1.0,,,,,,,
10438050,away,Gil Vicente,Lucas Cunha,,,lucas-cunha,L. Cunha,D,3,186,169,M,794139,EUR,853977600,D,3,3,False,96.0,83.0,12.0,5.0,65.0,67.0,18.0,29.0,3.0,,,,90.0,106.0,6.9,14.0,0,,2.0,3.0,4.0,,,4.0,,1.0,1.0,1.0,2.0,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,
10438050,away,Gil Vicente,Rúben Fernandes,,,ruben-fernandes,R. Fernandes,D,26,186,38,M,59751,EUR,515721600,D,26,26,False,66.0,56.0,10.0,4.0,49.0,58.0,7.0,8.0,4.0,,,,90.0,74.0,6.3,10.0,0,,1.0,3.0,1.0,2.0,,4.0,2.0,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,
