match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_fouls,stat_possessionLostCtrl,stat_keyPass,captain,stat_aerialWon,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_outfielderBlock,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_dispossessed,stat_wonContest,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_challengeLost,stat_bigChanceMissed,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_lastManTackle
12764975,home,NK Olimpija Ljubljana,Matevž Vidovšek,matevz-vidovsek,M. Vidovšek,G,26,199.0,166,M,921405,EUR,941241600,G,69,69,False,18.0,18.0,2.0,2.0,0.0,18.0,18.0,5.0,1.0,1.0,90.0,22.0,7.0,9.427e-05,0,0.0945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764975,home,NK Olimpija Ljubljana,Manuel Pedreno,manuel-pedreno,M. Pedreño,D,16,,27,M,1216283,EUR,971049600,D,21,21,False,72.0,70.0,6.0,5.0,0.0,24.0,24.0,,,,45.0,75.0,7.1,0.139747,0,,Manuel Pedreño,,47.0,49.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12764975,home,NK Olimpija Ljubljana,Marcel Ratnik,ratnik-marcel,M. Ratnik,D,14,186.0,331,M,1131229,EUR,1072137600,D,14,14,False,115.0,107.0,15.0,12.0,0.0,52.0,55.0,5.0,,,90.0,122.0,8.2,0.0701919,2,,,,55.0,60.0,,,,,1.0,,8.0,1.0,True,4.0,5.0,1.0,1.0,1.0,2.0,0.063,0.071,,,,,,,,,,,,,,,,
12764975,home,NK Olimpija Ljubljana,Ahmet Muhamedbegović,ahmet-muhamedbegovic,A. Muhamedbegović,D,17,186.0,79,M,863265,EUR,909705600,D,17,17,False,131.0,127.0,17.0,17.0,0.0,72.0,75.0,3.0,,,90.0,148.0,8.2,0.0261396,4,,,,55.0,56.0,,,2.0,4.0,5.0,1.0,5.0,,,6.0,9.0,1.0,1.0,,2.0,0.1401,0.1118,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,
12764975,home,NK Olimpija Ljubljana,Peter Agba,peter-agba,P. Agba,M,80,165.0,186,M,1002520,EUR,1040342400,M,6,6,False,71.0,63.0,8.0,5.0,0.0,32.0,35.0,8.0,,,90.0,87.0,6.6,0.0502026,2,,,,31.0,36.0,,,2.0,6.0,,1.0,13.0,1.0,,1.0,3.0,,1.0,,1.0,0.0441,,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,
12764975,home,NK Olimpija Ljubljana,Jorge Silva,jorge-silva,J. Silva,D,7,183.0,110,M,790787,EUR,827452800,M,2,2,False,63.0,63.0,1.0,1.0,0.0,23.0,23.0,1.0,,,88.0,98.0,7.3,0.235894,0,,Jorge,Silva,46.0,58.0,18.0,6.0,2.0,9.0,2.0,2.0,18.0,4.0,,2.0,6.0,,,,2.0,,,5.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,
12764975,home,NK Olimpija Ljubljana,Thalisson,thalisson,Thalisson,M,88,183.0,60,M,1138175,EUR,920332800,M,88,88,False,7.0,6.0,,,0.0,3.0,3.0,2.0,,,45.0,13.0,6.4,0.00355719,0,,Thalisson,,3.0,4.0,,,,1.0,,,6.0,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,
12764975,home,NK Olimpija Ljubljana,Agustín Doffo,agustin-doffo,A. Doffo,M,34,179.0,87,M,796118,EUR,801360000,M,34,34,False,71.0,63.0,7.0,4.0,0.0,28.0,30.0,16.0,,,90.0,89.0,8.3,0.152129,1,,,,35.0,42.0,1.0,,2.0,3.0,3.0,,10.0,2.0,,3.0,12.0,,,,4.0,0.0188,,2.0,1.0,1.0,4.0,3.0,,,1.0,,1.0,,,,,,
12764975,home,NK Olimpija Ljubljana,David Sualehe,david-sualehe,D. Sualehe,D,33,183.0,78,M,796161,EUR,859075200,M,3,3,False,95.0,85.0,6.0,3.0,0.0,34.0,38.0,5.0,,,90.0,133.0,7.7,0.331306,1,,,,54.0,64.0,7.0,3.0,1.0,6.0,2.0,,19.0,2.0,,2.0,8.0,,,,1.0,0.0247,,4.0,1.0,,3.0,2.0,,1.0,2.0,2.0,,2.0,,,,,
12764975,home,NK Olimpija Ljubljana,Raul Florucz,raul-florucz,R. Florucz,F,30,182.0,962,M,1022491,EUR,992131200,F,10,10,False,21.0,17.0,3.0,2.0,1.0,2.0,2.0,3.0,,,89.0,45.0,7.3,0.564967,3,,,,16.0,23.0,4.0,1.0,,8.0,,,16.0,3.0,,,5.0,1.0,1.0,,1.0,0.2871,0.2167,7.0,1.0,1.0,1.0,1.0,,2.0,3.0,3.0,1.0,2.0,1.0,,,,
