match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_totalClearance,stat_interceptionWon,captain,stat_aerialWon,stat_shotOffTarget,stat_totalCross,stat_dispossessed,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed,stat_goodHighClaim,stat_errorLeadToAShot,stat_totalOffside
10382097,home,FC Twente,Przemysław Tytoń,przemyslaw-tyton,P. Tytoń,G,22,195,453,M,27691,EUR,536716800,G,22,22,False,14.0,12.0,3.0,1.0,11.0,11.0,1.0,3.0,6.0,1.0,1.0,90.0,19.0,7.1,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382097,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,63.0,50.0,5.0,3.0,20.0,21.0,30.0,42.0,13.0,,,90.0,89.0,8.0,18.0,2,1.0,5.0,7.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10382097,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,42.0,38.0,1.0,1.0,23.0,26.0,15.0,16.0,6.0,,,83.0,57.0,7.5,5.0,0,2.0,2.0,7.0,,,,,,,,6.0,6.0,1.0,1.0,,meeshilgerss,2.0,3.0,,,,,,,,,,,,,,,,
10382097,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,64.0,59.0,5.0,2.0,41.0,42.0,18.0,22.0,4.0,,,90.0,73.0,7.0,5.0,2,1.0,3.0,4.0,1.0,,,,1.0,,,3.0,2.0,,,1.0,,1.0,1.0,True,1.0,1.0,,,,,,,,,,,,,
10382097,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,99.0,81.0,13.0,8.0,39.0,45.0,42.0,61.0,9.0,,,90.0,134.0,8.8,27.0,1,1.0,3.0,6.0,1.0,,,1.0,,1.0,1.0,4.0,1.0,,1.0,,,2.0,3.0,,1.0,,7.0,1.0,1.0,,,,,,,,,,
10382097,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,21.0,15.0,,,5.0,6.0,10.0,16.0,2.0,,,75.0,29.0,6.6,11.0,1,,2.0,1.0,,1.0,,,1.0,,,1.0,1.0,3.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
10382097,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,77.0,69.0,12.0,9.0,23.0,25.0,48.0,55.0,9.0,,,90.0,97.0,8.1,12.0,1,,7.0,9.0,1.0,1.0,1.0,1.0,,,,7.0,3.0,2.0,,5.0,rramizz_,1.0,2.0,,1.0,,3.0,1.0,1.0,,,2.0,,,,,,,
10382097,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,167,M,966546,EUR,993600000,M,21,21,False,50.0,45.0,3.0,2.0,17.0,18.0,29.0,33.0,4.0,,,87.0,64.0,7.5,6.0,3,1.0,2.0,2.0,,,,2.0,,,,1.0,1.0,,1.0,,,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,
10382097,home,FC Twente,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,F,7,7,False,44.0,34.0,5.0,3.0,11.0,12.0,24.0,36.0,6.0,,,75.0,60.0,8.2,14.0,4,,3.0,3.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,4.0,,2.0,,,1.0,1.0,2.0,1.0,,,,
10382097,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,F,9,9,False,15.0,10.0,1.0,1.0,2.0,2.0,8.0,14.0,1.0,,,83.0,22.0,6.5,6.0,2,2.0,3.0,2.0,,,,,1.0,,,,,,,1.0,,,2.0,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,
