match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_duelLost,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_interceptionWon,stat_totalOffside,stat_keyPass,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_penaltyWon,player_sofascoreId,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_wonContest,stat_errorLeadToAShot,stat_outfielderBlock,stat_penaltyConceded
12499671,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,31.0,18.0,21.0,8.0,0.0,11.0,12.0,7.0,19.0,14.0,5.0,1.0,3.0,90.0,44.0,7.2,14.0,0.011089,0,0.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,24.0,13.0,8.0,2.0,0.0,10.0,11.0,3.0,13.0,3.0,,,,90.0,33.0,6.7,12.0,0.00256926,1,,,,2.0,5.0,1.0,3.0,3.0,0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,18.0,14.0,2.0,,0.0,9.0,9.0,5.0,9.0,3.0,,,,60.0,25.0,7.0,4.0,0.00119715,1,,,,1.0,2.0,,1.0,,0.7884,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.8509,,,,,,,,,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,31.0,20.0,10.0,3.0,1.0,9.0,11.0,12.0,21.0,5.0,,,,90.0,47.0,7.4,11.0,0.112637,1,,,,1.0,6.0,,2.0,2.0,0.0328,1.0,3.0,1.0,,3.0,2.0,,0.0187,1.0,1.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,28.0,18.0,7.0,1.0,0.0,7.0,9.0,12.0,25.0,2.0,,,,90.0,50.0,6.9,17.0,0.0494184,0,,,,,6.0,,1.0,2.0,,,4.0,,,4.0,4.0,2.0,,6.0,1.0,2.0,,,,True,,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Aljoscha Kemlein,aljoscha-kemlein,A. Kemlein,M,6,185,331,M,1198074,EUR,1091404800,M,36,36,False,25.0,16.0,4.0,1.0,0.0,10.0,14.0,6.0,11.0,6.0,,,,67.0,32.0,6.5,10.0,0.00398268,1,,Aljoscha Kemlein,,2.0,4.0,1.0,1.0,,0.0321,,3.0,,,2.0,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,23.0,13.0,3.0,1.0,0.0,6.0,7.0,7.0,17.0,4.0,,,,90.0,31.0,6.6,13.0,0.0210755,0,,,,2.0,5.0,,1.0,1.0,,2.0,4.0,,,2.0,1.0,2.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Tom Rothe,rothe-tom,T. Rothe,M,15,192,809,M,1210666,EUR,1099008000,M,15,15,False,28.0,20.0,3.0,1.0,0.0,6.0,8.0,15.0,22.0,6.0,,,,90.0,70.0,7.0,20.0,0.126825,1,,,,1.0,9.0,,3.0,1.0,0.0233,1.0,9.0,,,7.0,5.0,2.0,,2.0,1.0,2.0,3.0,,,,2.0,1.0,3.0,1.0,,,,,,,,,,,
12499671,home,1. FC Union Berlin,Woo-Yeong Jeong,woo-yeong-jeong,W. Jeong,M,11,179,1574,M,927405,EUR,937785600,F,11,11,False,22.0,20.0,,,0.0,8.0,8.0,13.0,17.0,4.0,,,,67.0,33.0,6.8,6.0,0.0881598,2,,,,1.0,3.0,2.0,,1.0,0.1185,,3.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,
12499671,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,F,16,16,False,21.0,13.0,1.0,,0.0,4.0,4.0,9.0,17.0,3.0,,,,77.0,39.0,7.2,15.0,0.358947,2,,,,1.0,6.0,,,2.0,0.1757,5.0,11.0,,,3.0,1.0,1.0,,,,,1.0,1.0,2.0,,2.0,2.0,3.0,2.0,,1.0,1.0,,,,,,,,
